method,source,evaluation_mode,num_seeds,num_queries,num_skipped_no_gt,num_corpus_chunks,num_original_corpus_chunks,n_clusters,context_dim,seed,mrr@1,mrr@10,mrr@10_mean,mrr@10_std,mrr@1_mean,mrr@1_std,mrr@5,mrr@5_mean,mrr@5_std,ndcg@1,ndcg@10,ndcg@10_mean,ndcg@10_std,ndcg@1_mean,ndcg@1_std,ndcg@5,ndcg@5_mean,ndcg@5_std,recall@1,recall@10,recall@10_mean,recall@10_std,recall@1_mean,recall@1_std,recall@5,recall@5_mean,recall@5_std
bm25,bm25_emanual_rankings.json,strict_chunk_id,1,130,2,,,,,,,,0.024432234432234433,0.0,0.0,0.0,,0.017564102564102565,0.0,,,0.02557123361023166,0.0,0.0,0.0,,0.01092345107183531,0.0,,,0.11538461538461539,0.0,0.0,0.0,,0.06153846153846154,0.0
bm25,bm25_emanual_rankings.json,text_equivalent,1,130,2,,,,,,,,0.30592796092796093,0.0,0.2923076923076923,0.0,,0.29423076923076924,0.0,,,0.16197974785580327,0.0,0.2923076923076923,0.0,,0.15304620754303105,0.0,,,0.38461538461538464,0.0,0.2923076923076923,0.0,,0.3,0.0
dense,dense_emanual_rankings.json,strict_chunk_id,1,130,2,,,,,,,,0.05506715506715505,0.0,0.0,0.0,,0.026794871794871795,0.0,,,0.052594986874256705,0.0,0.0,0.0,,0.01537723682334962,0.0,,,0.3230769230769231,0.0,0.0,0.0,,0.08461538461538462,0.0
dense,dense_emanual_rankings.json,text_equivalent,1,130,2,,,,,,,,0.4715995115995117,0.0,0.4307692307692308,0.0,,0.4653846153846154,0.0,,,0.20304903059070042,0.0,0.4307692307692308,0.0,,0.20987973451028014,0.0,,,0.5615384615384615,0.0,0.4307692307692308,0.0,,0.5076923076923077,0.0
hybrid_rrf,hybrid_emanual_rankings.json,strict_chunk_id,1,130,2,,,,,,,,0.0365995115995116,0.0,0.0,0.0,,0.025256410256410254,0.0,,,0.028659493973459554,0.0,0.0,0.0,,0.014215547452366502,0.0,,,0.16923076923076924,0.0,0.0,0.0,,0.07692307692307693,0.0
hybrid_rrf,hybrid_emanual_rankings.json,text_equivalent,1,130,2,,,,,,,,0.48947496947496955,0.0,0.4461538461538462,0.0,,0.48410256410256414,0.0,,,0.226264166220681,0.0,0.4461538461538462,0.0,,0.2283766148289166,0.0,,,0.5846153846153846,0.0,0.4461538461538462,0.0,,0.5461538461538461,0.0
linucb_soft,linucb_soft_emanual_prequential_rankings.json,strict_chunk_id,3,130,2,,,,,,,,0.03368437118437118,0.001113983794678381,0.0,0.0,,0.026794871794871795,0.0,,,0.024772291031367966,0.0010290570744915656,0.0,0.0,,0.01537723682334962,0.0,,,0.1435897435897436,0.009593993299420362,0.0,0.0,,0.0846153846153846,1.3877787807814457e-17
linucb_soft,linucb_soft_emanual_prequential_rankings.json,text_equivalent,3,130,2,,,,,,,,0.4761090761090761,0.0007886781593437538,0.4307692307692308,0.0,,0.46538461538461534,5.551115123125783e-17,,,0.2138886618736866,0.0011735073480566404,0.4307692307692308,0.0,,0.20987973451028016,2.7755575615628914e-17,,,0.5794871794871794,0.003626188621469514,0.4307692307692308,0.0,,0.5076923076923077,0.0
dedup_bm25,,deduplicated_text_corpus,,130,2,1729,18812,,,,0.2692307692307692,0.42177045177045186,,,,,0.403974358974359,,,0.2692307692307692,0.2999893343446762,,,,,0.2664381833381832,,,0.2692307692307692,0.7307692307692307,,,,,0.5923076923076923,,
dedup_dense,,deduplicated_text_corpus,,130,2,1729,18812,,,,0.4307692307692308,0.5735775335775337,,,,,0.5593589743589745,,,0.4307692307692308,0.3807230833441931,,,,,0.3538192691692564,,,0.4307692307692308,0.8615384615384616,,,,,0.7538461538461538,,
