run_id,source_label,method,seed,num_queries,num_skipped_no_gt,avg_bm25_candidates,avg_bm25_candidates_mean,avg_cluster_candidates,avg_cluster_candidates_mean,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_dense_candidates,avg_dense_candidates_mean,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,avg_source_candidate_cost,avg_source_candidate_cost_mean,confidence_mode,context_token_delta_vs_baseline@1,context_token_delta_vs_baseline@10,context_token_delta_vs_baseline@5,context_token_ratio_vs_baseline@1,context_token_ratio_vs_baseline@10,context_token_ratio_vs_baseline@5,cost_interpretation,dataset,dense_query_rate,dense_query_rate_mean,dense_saved_rate,dense_saved_rate_mean,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@10,hit@5,hit_delta_vs_baseline@1,hit_delta_vs_baseline@10,hit_delta_vs_baseline@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,metrics_path,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,ranking_path,recall@1,recall@10,recall@5,reward_attribution,routing_mode,task
banking77:dense,banking77:dense,banking77:dense,,3080,0,,,,,1.0,10.0,5.0,11.890584415584415,121.08798701298701,60.41883116883117,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,final_context_tokens,banking77,,,,,0.007821107200720462,0.0734178471267776,0.03795396639627805,0.9204545454545454,0.9805194805194806,0.9701298701298702,0.0,0.0,0.0,81.0,556.0,272.0,10.0,104.0,51.0,,0.9204545454545454,0.941565914244486,0.9401461038961041,0.9204545454545454,0.8797407300703027,0.8996290465746148,27.0,250.0,131.04999999999973,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/dense_banking77_rankings.json,0.9204545454545454,0.9805194805194806,0.9701298701298702,,,baseline
linucb_cost_banking77_heldout-test_test_corpus-full_q3080:full_multi_route:seed13,linucb_cost_banking77_heldout-test_test_corpus-full_q3080,full_multi_route,13,3080,0,100.0,100.0,100.0,100.0,1.0,10.0,5.0,11.890584415584415,121.45551948051948,60.41883116883117,100.0,100.0,0.0,0.0,0.0,300.0,300.0,,0.0,0.36753246753247026,0.0,1.0,1.0030352512796588,1.0,source_candidate_proxy_and_final_context_tokens,banking77,1.0,1.0,,,0.007821107200720462,0.07319890386735527,0.03795396639627805,0.9204545454545454,0.9844155844155844,0.9701298701298702,0.0,0.003896103896103842,0.0,81.0,556.0,272.0,10.0,104.0,51.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_metrics.json,0.9204545454545454,0.9421639868068441,0.9401461038961041,0.9204545454545454,0.8791236413000529,0.8996290465746148,27.0,244.0,131.04999999999973,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_rankings.json,0.9204545454545454,0.9844155844155844,0.9701298701298702,,full_multi_route,task16
linucb_cost_banking77_heldout-test_test_corpus-full_q3080:full_multi_route:seed17,linucb_cost_banking77_heldout-test_test_corpus-full_q3080,full_multi_route,17,3080,0,100.0,100.0,100.0,100.0,1.0,10.0,5.0,11.890584415584415,121.53084415584415,60.41883116883117,100.0,100.0,0.0,0.0,0.0,300.0,300.0,,0.0,0.44285714285713595,0.0,1.0,1.0036573169129457,1.0,source_candidate_proxy_and_final_context_tokens,banking77,1.0,1.0,,,0.007821107200720462,0.07335594565381197,0.03795396639627805,0.9204545454545454,0.9834415584415584,0.9701298701298702,0.0,0.0029220779220778814,0.0,81.0,556.0,272.0,10.0,104.0,51.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_metrics.json,0.9204545454545454,0.9420183982683984,0.9401461038961041,0.9204545454545454,0.8791563695291531,0.8996290465746148,27.0,246.09999999999945,131.04999999999973,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_rankings.json,0.9204545454545454,0.9834415584415584,0.9701298701298702,,full_multi_route,task16
linucb_cost_banking77_heldout-test_test_corpus-full_q3080:full_multi_route:seed19,linucb_cost_banking77_heldout-test_test_corpus-full_q3080,full_multi_route,19,3080,0,100.0,100.0,100.0,100.0,1.0,10.0,5.0,11.890584415584415,121.4948051948052,60.41883116883117,100.0,100.0,0.0,0.0,0.0,300.0,300.0,,0.0,0.4068181818181813,0.0,1.0,1.0033596906832265,1.0,source_candidate_proxy_and_final_context_tokens,banking77,1.0,1.0,,,0.007821107200720462,0.07325402062346065,0.03795396639627805,0.9204545454545454,0.9853896103896104,0.9701298701298702,0.0,0.004870129870129802,0.0,81.0,556.0,272.0,10.0,104.0,51.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_metrics.json,0.9204545454545454,0.9422973356009072,0.9401461038961041,0.9204545454545454,0.8785571762604961,0.8996290465746148,27.0,253.0,131.04999999999973,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_rankings.json,0.9204545454545454,0.9853896103896104,0.9701298701298702,,full_multi_route,task16
linucb_cost_banking77_heldout-test_test_corpus-full_q3080:gated_cost_aware:seed13,linucb_cost_banking77_heldout-test_test_corpus-full_q3080,gated_cost_aware,13,3080,0,21.238095238095237,21.255411255411257,100.0,100.0,1.0,10.0,5.0,11.890584415584415,120.55032467532467,60.66038961038961,21.238095238095237,21.255411255411257,0.0,0.0,0.0,142.47619047619048,142.51082251082252,,0.0,-0.53766233766234,0.24155844155843909,1.0,0.9955597384106759,1.0039980654522005,source_candidate_proxy_and_final_context_tokens,banking77,1.0,1.0,,,0.007821107200720462,0.0724673211109122,0.03758302652396648,0.9204545454545454,0.9811688311688311,0.974025974025974,0.0,0.0006493506493505663,0.003896103896103842,81.0,556.0,266.0,10.0,104.0,52.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_metrics.json,0.9204545454545454,0.9423596938775515,0.9413690476190478,0.9204545454545454,0.8743532142797785,0.8951652751247862,27.0,244.0,132.04999999999973,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_rankings.json,0.9204545454545454,0.9811688311688311,0.974025974025974,,gated_cost_aware,task16
linucb_cost_banking77_heldout-test_test_corpus-full_q3080:gated_cost_aware:seed17,linucb_cost_banking77_heldout-test_test_corpus-full_q3080,gated_cost_aware,17,3080,0,21.41125541125541,21.255411255411257,100.0,100.0,1.0,10.0,5.0,11.890584415584415,120.89188311688312,60.73506493506493,21.41125541125541,21.255411255411257,0.0,0.0,0.0,142.82251082251082,142.51082251082252,,0.0,-0.19610389610389234,0.31623376623376487,1.0,0.9983804842995461,1.0052340265462947,source_candidate_proxy_and_final_context_tokens,banking77,1.0,1.0,,,0.007821107200720462,0.07301722959867366,0.03771950867002208,0.9204545454545454,0.9818181818181818,0.9737012987012987,0.0,0.0012987012987012436,0.0035714285714285587,81.0,556.0,266.0,10.0,104.0,52.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_metrics.json,0.9204545454545454,0.9424458874458879,0.9413419913419916,0.9204545454545454,0.8760840908416945,0.8962471839528119,27.0,250.0,135.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_rankings.json,0.9204545454545454,0.9818181818181818,0.9737012987012987,,gated_cost_aware,task16
linucb_cost_banking77_heldout-test_test_corpus-full_q3080:gated_cost_aware:seed19,linucb_cost_banking77_heldout-test_test_corpus-full_q3080,gated_cost_aware,19,3080,0,21.116883116883116,21.255411255411257,100.0,100.0,1.0,10.0,5.0,11.890584415584415,121.01168831168832,60.70811688311688,21.116883116883116,21.255411255411257,0.0,0.0,0.0,142.23376623376623,142.51082251082252,,0.0,-0.07629870129869687,0.28928571428571104,1.0,0.9993698904145585,1.0047880058036434,source_candidate_proxy_and_final_context_tokens,banking77,1.0,1.0,,,0.007821107200720462,0.07284521456246187,0.037642997163863774,0.9204545454545454,0.9808441558441559,0.9737012987012987,0.0,0.00032467532467528315,0.0035714285714285587,81.0,556.0,270.0,10.0,104.0,52.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_metrics.json,0.9204545454545454,0.942259585652443,0.9412987012987016,0.9204545454545454,0.874286550983401,0.8950985898149484,27.0,250.0,133.04999999999973,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_banking77_heldout-test_test_corpus-full_q3080_prequential_rankings.json,0.9204545454545454,0.9808441558441559,0.9737012987012987,,gated_cost_aware,task16
cuad:dense,cuad:dense,cuad:dense,,2056,494,,,,,0.03842412451361868,0.3842412451361868,0.1921206225680934,1.5569066147859922,14.96692607003891,7.08511673151751,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,final_context_tokens,cuad,,,,,0.0009727626459143969,0.0018257181277180133,0.0012159533073929961,0.0009727626459143969,0.0029182879377431907,0.0014591439688715954,0.0,0.0,0.0,119.0,747.0,445.0,0.0,0.0,0.0,,0.0009727626459143969,0.0012848573281452659,0.0010943579766536965,0.0009727626459143969,0.0013398260759919839,0.0011012004487220774,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/dense_cuad_rankings.json,0.0009727626459143969,0.0029182879377431907,0.0014591439688715954,,,baseline
linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100:full_multi_route:seed13,linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100,full_multi_route,13,2056,494,100.0,100.0,100.0,100.0,0.03842412451361868,0.3842412451361868,0.1921206225680934,1.5569066147859922,17.166828793774318,7.08511673151751,100.0,100.0,0.0,0.0,0.0,300.0,300.0,,0.0,2.1999027237354074,0.0,1.0,1.1469842714155725,1.0,source_candidate_proxy_and_final_context_tokens,cuad,1.0,1.0,,,0.0009727626459143969,0.0020671206225680934,0.0012159533073929961,0.0009727626459143969,0.0029182879377431907,0.0014591439688715954,0.0,0.0,0.0,119.0,1061.0,445.0,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100_prequential_metrics.json,0.0009727626459143969,0.0012989469458341053,0.0010943579766536965,0.0009727626459143969,0.001427518331610351,0.0011012004487220774,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100_prequential_rankings.json,0.0009727626459143969,0.0029182879377431907,0.0014591439688715954,,full_multi_route,task16
linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100:full_multi_route:seed17,linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100,full_multi_route,17,2056,494,100.0,100.0,100.0,100.0,0.03842412451361868,0.3842412451361868,0.1921206225680934,1.5569066147859922,17.137645914396888,7.08511673151751,100.0,100.0,0.0,0.0,0.0,300.0,300.0,,0.0,2.1707198443579774,0.0,1.0,1.145034446899779,1.0,source_candidate_proxy_and_final_context_tokens,cuad,1.0,1.0,,,0.0009727626459143969,0.0020689087891966125,0.0012159533073929961,0.0009727626459143969,0.003404669260700389,0.0014591439688715954,0.0,0.00048638132295719845,0.0,119.0,1077.0,445.0,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100_prequential_metrics.json,0.0009727626459143969,0.0013421808412080786,0.0010943579766536965,0.0009727626459143969,0.0014548940019427593,0.0011012004487220774,0.0,0.0,0.0,/home/damon/.openclaw/workspace/IntentWeight/paper/experiments/results/linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100_prequential_rankings.json,0.0009727626459143969,0.003404669260700389,0.0014591439688715954,,full_multi_route,task16
