source_label,method,avg_context_tokens@10_mean,avg_context_tokens@10_std,avg_source_candidate_cost_mean,avg_source_candidate_cost_mean_mean,avg_source_candidate_cost_mean_std,avg_source_candidate_cost_std,context_token_ratio_vs_baseline@10_mean,context_token_ratio_vs_baseline@10_std,context_token_saving_pct@10,dataset,dense_query_rate_mean,dense_query_rate_mean_mean,dense_query_rate_mean_std,dense_query_rate_std,dense_saved_rate_mean,dense_saved_rate_mean_mean,dense_saved_rate_mean_std,dense_saved_rate_std,evidence_recall@10_mean,evidence_recall@10_std,hit@10_mean,hit@10_std,hit_delta_vs_baseline@10_mean,hit_delta_vs_baseline@10_std,mrr@10_mean,mrr@10_std,ndcg@10_mean,ndcg@10_std,runs,task
banking77:dense,banking77:dense,121.08798701298701,0.0,,,,,1.0,0.0,0.0,banking77,,,,,,,,,0.0734178471267776,0.0,0.9805194805194806,0.0,0.0,0.0,0.941565914244486,0.0,0.8797407300703027,0.0,1,baseline
linucb_cost_banking77_heldout-test_test_corpus-full_q3080,full_multi_route,121.49372294372294,0.03767399804567272,300.0,300.0,0.0,0.0,1.0033507529586103,0.00031112911342423864,-0.33507529586103146,banking77,1.0,1.0,0.0,0.0,,,,,0.07326962338154262,7.967506020205882e-05,0.9844155844155844,0.0009740259740259605,0.003896103896103842,0.0009740259740259605,0.9421599068920499,0.00013951341564642344,0.8789457290299008,0.000336894234447544,3,task16
linucb_cost_banking77_heldout-test_test_corpus-full_q3080,gated_cost_aware,120.81796536796537,0.23939919891986208,142.51082251082252,142.51082251082252,0.0,0.2958962336040702,0.9977700377082601,0.0019770681206731444,0.22299622917398843,banking77,1.0,1.0,0.0,0.0,,,,,0.07277658842401591,0.00028130409948404054,0.9812770562770563,0.0004959497505363434,0.0007575757575756977,0.0004959497505363434,0.9423550556586274,9.323746224709473e-05,0.874907952034958,0.001019111313009815,3,task16
cuad:dense,cuad:dense,14.96692607003891,0.0,,,,,1.0,0.0,0.0,cuad,,,,,,,,,0.0018257181277180133,0.0,0.0029182879377431907,0.0,0.0,0.0,0.0012848573281452659,0.0,0.0013398260759919839,0.0,1,baseline
linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100,full_multi_route,17.024156939040207,0.2223211376967834,300.0,300.0,0.0,0.0,1.137451796005026,0.01485416154635983,-13.74517960050261,cuad,1.0,1.0,0.0,0.0,,,,,0.0022501096742198823,0.0003153990042256165,0.003404669260700389,0.00048638132295719845,0.00048638132295719845,0.00048638132295719845,0.001339028369670393,3.860185313823992e-05,0.0014905236332040937,8.651008216405395e-05,3,task16
linucb_cost_cuad_smoke-only_test_corpus-gt-anchored-10000_q100,gated_cost_aware,18.01750972762646,1.9050500308971816,203.46666666666667,203.46666666666667,0.0,7.466666666666667,1.2038216560509554,0.1272839875056742,-20.382165605095537,cuad,1.0,1.0,0.0,0.0,,,,,0.001784363226483849,0.0005496955868408801,0.0024319066147859923,0.0009727626459143969,-0.00048638132295719845,0.0009727626459143969,0.0012451619212319601,0.0001434931052585585,0.0013151243061168061,0.0001978484430716629,3,task16
emanual:dense,emanual:dense,18.235747303543913,0.0,,,,,1.0,0.0,0.0,emanual,,,,,,,,,0.00992049916356542,0.0,0.032357473035439135,0.0,0.0,0.0,0.005515200430454666,0.0,0.005267602691566542,0.0,1,baseline
linucb_cost_emanual_heldout-test_test_corpus-full_q132,full_multi_route,18.737801746276322,0.04910357200739584,300.0,300.0,0.0,0.0,1.0275313336149838,0.002692709609869052,-2.7531333614983833,emanual,1.0,1.0,0.0,0.0,,,,,0.0038059024095233648,0.0002063355834574984,0.014894709809964046,0.00044479989922159194,-0.01746276322547509,0.00044479989922159395,0.0034246826619707977,2.2769518650629102e-05,0.0025566025326496564,0.00012908322487446,3,task16
linucb_cost_emanual_heldout-test_test_corpus-full_q132,gated_cost_aware,17.923728813559322,0.16306087668155042,214.07407407407408,214.0740740740741,0.0,6.443568330723608,0.9828897338403042,0.008941825852668051,1.7110266159695797,emanual,1.0,1.0,0.0,0.0,,,,,0.002689155847861549,0.0005103313130363529,0.011556240369799691,0.002038329207291672,-0.020801232665639442,0.0020383292072916706,0.00268361581920904,0.000484203692625686,0.001866400626994792,0.00034783787932801956,3,task16
lotte_technology_search:dense,lotte_technology_search:dense,1115.2,0.0,,,,,1.0,0.0,0.0,lotte_technology_search,,,,,,,,,0.8,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.8077032943161073,0.0,1,baseline
linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20,full_multi_route,1235.65,0.0,150.0,150.0,0.0,0.0,1.1080075322812053,0.0,-10.80075322812053,lotte_technology_search,1.0,1.0,0.0,0.0,,,,,0.88125,0.0,1.0,0.0,0.09999999999999998,0.0,0.9133333333333333,0.0,0.8285575839936344,0.0,1,task18
linucb_cost_lotte-technology-search_heldout-test_test_corpus-full_q20,gated_cost_aware,1207.1,0.0,129.5,129.5,0.0,0.0,1.0824067431850788,0.0,-8.240674318507878,lotte_technology_search,0.95,0.95,0.0,0.0,,,,,0.83125,0.0,0.95,0.0,0.04999999999999993,0.0,0.9083333333333334,0.0,0.816229616368247,0.0,1,task18
lotte_technology_search_100k:dense,lotte_technology_search_100k:dense,1472.3875838926174,0.0,,,,,1.0,0.0,0.0,lotte_technology_search_100k,,,,,,,,,0.7025930894139937,0.0,0.8674496644295302,0.0,0.0,0.0,0.7080929743261957,0.0,0.6486573605022944,0.0,1,baseline
linucb_cost_lotte-technology-search-100k_heldout-test_test_corpus-full_q596,full_multi_route,1558.0872483221476,14.80808749694999,300.0,300.0,0.0,0.0,1.058204555218377,0.010057193947398815,-5.820455521837697,lotte_technology_search_100k,1.0,1.0,0.0,0.0,,,,,0.7250436898102373,0.0023879293225056615,0.8825503355704698,0.0044391800521218,0.015100671140939567,0.0044391800521218,0.7105256382940945,0.0005355037147913065,0.6573081162087393,0.0009573823582383944,3,task18
linucb_cost_lotte-technology-search-100k_heldout-test_test_corpus-full_q596,gated_cost_aware,1473.7209172259506,42.20195627362221,191.68158090976883,191.68158090976885,0.0,12.692518157681574,1.000905558663982,0.028662260355422804,-0.0905558663981898,lotte_technology_search_100k,0.8219612229679344,0.8219612229679344,0.0,0.0790657115379627,,,,,0.6216744524514717,0.018242195305241047,0.8439597315436241,0.013104445764944057,-0.023489932885906062,0.013104445764944057,0.6949526827882532,0.011293890007632978,0.5889312364469573,0.013094025969519741,3,task18
task19_ablation_A,gated_cost_aware,1474.5721476510066,53.18427779013615,199.55816554809843,199.55816554809846,0.0,13.798194315158515,1.0014836879788227,0.03612111265535834,-0.1483687978822701,lotte_technology_search_100k,0.8249440715883669,0.824944071588367,0.0,0.08313039265144957,,,,,0.6197500762242719,0.016143844163447996,0.8378076062639821,0.010655793558868901,-0.029642058165548102,0.010655793558868901,0.6911073825503355,0.007861000645670182,0.5871598395351363,0.01155283144027302,3,task19_ablation_A
task19_ablation_B,gated_cost_aware,1502.0117449664428,16.4140480943451,205.96010439970172,205.9601043997017,0.0,11.214281578548848,1.0201198117926984,0.011147912597137353,-2.0119811792698394,lotte_technology_search_100k,0.813758389261745,0.813758389261745,0.0,0.06789488034905594,,,,,0.6292433692536391,0.023611667992197796,0.8478747203579419,0.019374170107034395,-0.019574944071588368,0.019374170107034395,0.6935187404566598,0.00817510095229508,0.5922874952441582,0.016326652796329902,3,task19_ablation_B
task19_ablation_C,gated_cost_aware,1482.9161073825503,44.164875890724886,198.7695749440716,198.76957494407156,0.0,14.188841828598179,1.0071506467489342,0.029995414504898343,-0.7150646748934175,lotte_technology_search_100k,0.8275540641312453,0.8275540641312453,0.0,0.08141827067311183,,,,,0.6458745286006048,0.012363264338499621,0.8495525727069351,0.006352246471812419,-0.01789709172259509,0.006352246471812419,0.6941390575618763,0.007311479459076597,0.6041742059056878,0.008463981921185372,3,task19_ablation_C
