scale,split,source_label,run_id,policy,seed,num_queries,hit@10,hit_delta_vs_dense@10,context_token_ratio_vs_dense@10,context_token_saving_percent_vs_dense@10,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,method,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,num_skipped_no_gt,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.98_m4,token_budget_r0.98_m4,13,179,0.7932960893854749,-0.011173184357541888,0.914451888120089,8.554811187991096,1.0,9.0,5.0,169.30167597765364,1393.9720670391062,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.550312583133812,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4747.0,2636.0,101.0,1257.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.4875107223223557,0.4505500111031496,0,688.5999999999998,2783.7,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.98_m5,token_budget_r0.98_m5,13,179,0.7932960893854749,-0.011173184357541888,0.914451888120089,8.554811187991096,1.0,9.0,5.0,169.30167597765364,1393.9720670391062,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.550312583133812,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4747.0,2636.0,101.0,1257.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.4875107223223557,0.4505500111031496,0,688.5999999999998,2783.7,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.98_m6,token_budget_r0.98_m6,13,179,0.7932960893854749,-0.011173184357541888,0.914451888120089,8.554811187991096,1.0,9.0,5.0,169.30167597765364,1393.9720670391062,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.550312583133812,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4747.0,2636.0,101.0,1257.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.4875107223223557,0.4505500111031496,0,688.5999999999998,2783.7,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.98_m7,token_budget_r0.98_m7,13,179,0.7932960893854749,-0.011173184357541888,0.914451888120089,8.554811187991096,1.0,9.0,5.0,169.30167597765364,1393.9720670391062,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.550312583133812,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4747.0,2636.0,101.0,1257.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.4875107223223557,0.4505500111031496,0,688.5999999999998,2783.7,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.98_m8,token_budget_r0.98_m8,13,179,0.7932960893854749,-0.011173184357541888,0.914451888120089,8.554811187991096,1.0,9.0,5.0,169.30167597765364,1393.9720670391062,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.550312583133812,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4747.0,2636.0,101.0,1257.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.4875107223223557,0.4505500111031496,0,688.5999999999998,2783.7,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,token_budget_r0.95_m4,13,179,0.7877094972067039,-0.016759776536312887,0.8948633751612525,10.513662483874754,1.0,8.927374301675977,5.0,169.30167597765364,1364.1117318435754,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5481400195087345,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4527.0,2636.0,101.0,1238.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48687485675778314,0.4505500111031496,0,688.5999999999998,2765.4,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.95_m5,token_budget_r0.95_m5,13,179,0.7877094972067039,-0.016759776536312887,0.8948633751612525,10.513662483874754,1.0,8.927374301675977,5.0,169.30167597765364,1364.1117318435754,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5481400195087345,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4527.0,2636.0,101.0,1238.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48687485675778314,0.4505500111031496,0,688.5999999999998,2765.4,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.95_m6,token_budget_r0.95_m6,13,179,0.7877094972067039,-0.016759776536312887,0.8948633751612525,10.513662483874754,1.0,8.927374301675977,5.0,169.30167597765364,1364.1117318435754,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5481400195087345,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4527.0,2636.0,101.0,1238.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48687485675778314,0.4505500111031496,0,688.5999999999998,2765.4,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.95_m7,token_budget_r0.95_m7,13,179,0.7877094972067039,-0.016759776536312887,0.8948633751612525,10.513662483874754,1.0,8.927374301675977,5.0,169.30167597765364,1364.1117318435754,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5481400195087345,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4527.0,2636.0,101.0,1238.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48687485675778314,0.4505500111031496,0,688.5999999999998,2765.4,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.95_m8,token_budget_r0.95_m8,13,179,0.7877094972067039,-0.016759776536312887,0.8965528614987686,10.344713850123144,1.0,8.899441340782124,5.0,169.30167597765364,1366.6871508379888,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5481400195087345,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4527.0,2636.0,101.0,1238.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48687485675778314,0.4505500111031496,0,688.5999999999998,2765.4,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.92_m4,token_budget_r0.92_m4,13,179,0.7877094972067039,-0.016759776536312887,0.877711973730503,12.228802626949697,1.0,8.743016759776536,5.0,169.30167597765364,1337.9664804469273,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.547596878602465,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4418.0,2636.0,101.0,1221.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48650967139060564,0.4505500111031496,0,688.5999999999998,2739.0,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.92_m5,token_budget_r0.92_m5,13,179,0.7877094972067039,-0.016759776536312887,0.877711973730503,12.228802626949697,1.0,8.743016759776536,5.0,169.30167597765364,1337.9664804469273,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.547596878602465,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4418.0,2636.0,101.0,1221.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48650967139060564,0.4505500111031496,0,688.5999999999998,2739.0,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.92_m6,token_budget_r0.92_m6,13,179,0.7877094972067039,-0.016759776536312887,0.877711973730503,12.228802626949697,1.0,8.743016759776536,5.0,169.30167597765364,1337.9664804469273,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.547596878602465,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4418.0,2636.0,101.0,1221.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48650967139060564,0.4505500111031496,0,688.5999999999998,2739.0,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.92_m7,token_budget_r0.92_m7,13,179,0.7877094972067039,-0.016759776536312887,0.877711973730503,12.228802626949697,1.0,8.743016759776536,5.0,169.30167597765364,1337.9664804469273,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.547596878602465,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4418.0,2636.0,101.0,1221.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48650967139060564,0.4505500111031496,0,688.5999999999998,2739.0,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.92_m8,token_budget_r0.92_m8,13,179,0.7877094972067039,-0.016759776536312887,0.8838615574058871,11.613844259411287,1.0,8.720670391061452,5.0,169.30167597765364,1347.340782122905,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.547596878602465,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4418.0,2636.0,101.0,1230.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48650967139060564,0.4505500111031496,0,688.5999999999998,2741.4999999999995,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.90_m4,token_budget_r0.90_m4,13,179,0.7877094972067039,-0.016759776536312887,0.8582920429224814,14.17079570775186,1.0,8.636871508379889,5.0,169.30167597765364,1308.36312849162,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5438059767668705,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4313.0,2636.0,101.0,1189.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48454594157156894,0.4505500111031496,0,688.5999999999998,2645.3999999999996,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.90_m5,token_budget_r0.90_m5,13,179,0.7877094972067039,-0.016759776536312887,0.8582920429224814,14.17079570775186,1.0,8.636871508379889,5.0,169.30167597765364,1308.36312849162,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5438059767668705,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4313.0,2636.0,101.0,1189.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48454594157156894,0.4505500111031496,0,688.5999999999998,2645.3999999999996,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.90_m6,token_budget_r0.90_m6,13,179,0.7877094972067039,-0.016759776536312887,0.8582920429224814,14.17079570775186,1.0,8.636871508379889,5.0,169.30167597765364,1308.36312849162,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5438059767668705,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4313.0,2636.0,101.0,1189.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48454594157156894,0.4505500111031496,0,688.5999999999998,2645.3999999999996,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.90_m7,token_budget_r0.90_m7,13,179,0.7877094972067039,-0.016759776536312887,0.860139116922716,13.986088307728394,1.0,8.620111731843576,5.0,169.30167597765364,1311.1787709497207,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.546599272856256,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4313.0,2636.0,101.0,1189.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48568774267541526,0.4505500111031496,0,688.5999999999998,2647.2,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.90_m8,token_budget_r0.90_m8,13,179,0.7877094972067039,-0.016759776536312887,0.8723943063210977,12.760569367890229,1.0,8.614525139664805,5.0,169.30167597765364,1329.8603351955308,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5486166533652567,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4418.0,2636.0,101.0,1213.0,664.0,gated_cost_aware,0.48044692737430167,0.5698656557595103,0.5544692737430165,0.48044692737430167,0.48678997624890935,0.4505500111031496,0,688.5999999999998,2739.0,1692.4999999999998,0.48044692737430167,0.7877094972067039,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.88_m4,token_budget_r0.88_m4,13,179,0.7932960893854749,-0.011173184357541888,0.8367025331300574,16.329746686994262,1.0,8.525139664804469,5.0,169.30167597765364,1275.4525139664804,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5462002305577723,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4167.0,2636.0,101.0,1169.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.48520695538902814,0.4505500111031496,0,688.5999999999998,2454.8999999999987,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.88_m5,token_budget_r0.88_m5,13,179,0.7932960893854749,-0.011173184357541888,0.8367025331300574,16.329746686994262,1.0,8.525139664804469,5.0,169.30167597765364,1275.4525139664804,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5462002305577723,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4167.0,2636.0,101.0,1169.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.48520695538902814,0.4505500111031496,0,688.5999999999998,2454.8999999999987,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.88_m6,token_budget_r0.88_m6,13,179,0.7932960893854749,-0.011173184357541888,0.839491468277237,16.0508531722763,1.0,8.497206703910615,5.0,169.30167597765364,1279.703910614525,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5462002305577723,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4167.0,2636.0,101.0,1169.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.48520695538902814,0.4505500111031496,0,688.5999999999998,2459.999999999998,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
400k,calibration,task37_source,task37_source:gated_cost_aware:seed13:token_budget_r0.88_m7,token_budget_r0.88_m7,13,179,0.7932960893854749,-0.011173184357541888,0.8482577401196201,15.174225988037993,1.0,8.474860335195531,5.0,169.30167597765364,1293.0670391061453,793.9944134078212,0.0,0.0,0.0,0.20452691318613112,0.5489935266471578,0.43321583754544635,0.48044692737430167,0.6871508379888268,1140.0,4167.0,2636.0,101.0,1169.0,664.0,gated_cost_aware,0.48044692737430167,0.5704863882238181,0.5544692737430165,0.48044692737430167,0.4863487564928744,0.4505500111031496,0,688.5999999999998,2647.2,1692.4999999999998,0.48044692737430167,0.7932960893854749,0.6871508379888268
