protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
same_query_retry,13,budgeted_before_feedback,,14,,0.0,,,0,0,1553.642857142857,0.8344906963360829,16.550930366391714
same_query_retry,13,same_arm_boost,,14,,0.0,,,0,0,1555.5714285714287,0.8355265681948975,16.447343180510256
same_query_retry,13,same_arm_boost_conservative,,14,,0.35714285714285715,,,5,0,1797.5,0.9654709380395167,3.452906196048333
same_query_retry,13,same_full_context,,14,,0.42857142857142855,,,6,0,1998.642857142857,1.0735085363514292,-7.350853635142918
same_query_retry_all_queries,13,budgeted_before_feedback,596,,0,0.8859060402684564,-0.006711409395973145,0.0,,,1524.6258389261745,0.8128130196495165,18.718698035048355
same_query_retry_all_queries,13,same_arm_boost,596,,0,0.8859060402684564,-0.006711409395973145,0.0,,,1524.6711409395973,0.8128371711923975,18.71628288076025
same_query_retry_all_queries,13,same_arm_boost_conservative,596,,0,0.8942953020134228,0.001677852348993203,0.008389261744966348,,,1530.3540268456377,0.8158668480715888,18.413315192841118
same_query_retry_all_queries,13,same_full_context,596,,0,0.8959731543624161,0.003355704697986517,0.010067114093959662,,,1535.0788590604027,0.818385764543925,18.1614235456075
calibration_to_test,13,budgeted_before_feedback,417,,3,0.8872901678657075,-0.007194244604316502,0.0,,,1559.4220623501199,0.8123775710088148,18.76224289911852
calibration_to_test,13,generalized_arm_boost,417,,3,0.882494004796163,-0.011990407673860948,-0.004796163069544446,,,1561.63309352518,0.8135294029462912,18.647059705370882
calibration_to_test,13,generalized_arm_boost_conservative,417,,3,0.8872901678657075,-0.007194244604316502,0.0,,,1614.3932853717026,0.841014711467349,15.898528853265104
calibration_to_test,13,generalized_conservative_budget,417,,3,0.8872901678657075,-0.007194244604316502,0.0,,,1619.1510791366907,0.8434932739011374,15.650672609886263
calibration_to_test,13,generalized_full_context,417,,3,0.8896882494004796,-0.004796163069544335,0.0023980815347721673,,,1677.4028776978416,0.8738394231345818,12.616057686541815
