protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
same_query_retry,13,budgeted_before_feedback,,15,,0.0,,,0,0,866.8,0.8616873218901187,13.831267810988134
same_query_retry,13,same_arm_boost,,15,,0.13333333333333333,,,2,0,909.3333333333334,0.9039697793094308,9.603022069056921
same_query_retry,13,same_arm_boost_conservative,,15,,0.13333333333333333,,,2,0,938.4666666666667,0.9329312744383327,6.706872556166732
same_query_retry,13,same_full_context,,15,,0.26666666666666666,,,4,0,1046.4666666666667,1.0402942540923852,-4.029425409238518
same_query_retry_all_queries,13,budgeted_before_feedback,596,,0,0.8657718120805369,-0.001677852348993314,0.0,,,1355.8187919463087,0.9208300903773377,7.916990962266235
same_query_retry_all_queries,13,same_arm_boost,596,,0,0.8691275167785235,0.001677852348993314,0.003355704697986628,,,1356.8892617449665,0.9215571202778667,7.844287972213326
same_query_retry_all_queries,13,same_arm_boost_conservative,596,,0,0.8691275167785235,0.001677852348993314,0.003355704697986628,,,1357.6224832214766,0.9220551015733703,7.794489842662966
same_query_retry_all_queries,13,same_full_context,596,,0,0.87248322147651,0.005033557046979831,0.006711409395973145,,,1360.3406040268455,0.9239011649571588,7.60988350428412
calibration_to_test,13,budgeted_before_feedback,417,,4,0.86810551558753,-0.0023980815347721673,0.0,,,1375.6450839328538,0.9357366566618819,6.426334333811812
calibration_to_test,13,generalized_arm_boost,417,,4,0.8657074340527577,-0.004796163069544446,-0.0023980815347722784,,,1378.8585131894483,0.9379224846665797,6.207751533342032
calibration_to_test,13,generalized_arm_boost_conservative,417,,4,0.86810551558753,-0.0023980815347721673,0.0,,,1386.0815347721823,0.9428357040323634,5.716429596763661
calibration_to_test,13,generalized_conservative_budget,417,,4,0.8657074340527577,-0.004796163069544446,-0.0023980815347722784,,,1381.5347721822543,0.9397429205272088,6.025707947279124
calibration_to_test,13,generalized_full_context,417,,4,0.8705035971223022,0.0,0.0023980815347721673,,,1408.242206235012,0.9579097611901345,4.2090238809865514
same_query_retry,17,budgeted_before_feedback,,12,,0.0,,,0,0,989.3333333333334,0.8269137006338372,17.30862993661628
same_query_retry,17,same_arm_boost,,12,,0.25,,,3,0,1000.9166666666666,0.8365953890088458,16.340461099115423
same_query_retry,17,same_arm_boost_conservative,,12,,0.3333333333333333,,,4,0,1020.6666666666666,0.8531030159504074,14.689698404959262
same_query_retry,17,same_full_context,,12,,0.4166666666666667,,,5,0,1163.5,0.9724872884307306,2.7512711569269377
same_query_retry_all_queries,17,budgeted_before_feedback,596,,0,0.8640939597315436,-0.003355704697986628,0.0,,,1349.1308724832215,0.9162878628169788,8.371213718302117
same_query_retry_all_queries,17,same_arm_boost,596,,0,0.8691275167785235,0.001677852348993314,0.005033557046979942,,,1349.3640939597315,0.916446259613489,8.355374038651098
same_query_retry_all_queries,17,same_arm_boost_conservative,596,,0,0.8708053691275168,0.003355704697986628,0.006711409395973256,,,1349.7617449664428,0.9167163318492655,8.328366815073451
same_query_retry_all_queries,17,same_full_context,596,,0,0.87248322147651,0.005033557046979831,0.008389261744966459,,,1352.6375838926174,0.9186695124911258,8.133048750887417
calibration_to_test,17,budgeted_before_feedback,417,,3,0.8657074340527577,-0.004796163069544446,0.0,,,1365.1966426858514,0.9286294532167559,7.1370546783244055
calibration_to_test,17,generalized_arm_boost,417,,3,0.8657074340527577,-0.004796163069544446,0.0,,,1363.6762589928057,0.9275952629518466,7.240473704815342
calibration_to_test,17,generalized_arm_boost_conservative,417,,3,0.86810551558753,-0.0023980815347721673,0.0023980815347722784,,,1376.5059952038368,0.9363222628213493,6.367773717865067
calibration_to_test,17,generalized_conservative_budget,417,,3,0.8657074340527577,-0.004796163069544446,0.0,,,1371.5299760191847,0.9329374918439254,6.706250815607461
calibration_to_test,17,generalized_full_context,417,,3,0.86810551558753,-0.0023980815347721673,0.0023980815347722784,,,1409.537170263789,0.9587906172517292,4.120938274827079
same_query_retry,19,budgeted_before_feedback,,15,,0.0,,,0,0,968.1333333333333,0.8094309124352043,19.056908756479572
same_query_retry,19,same_arm_boost,,15,,0.2,,,3,0,1015.6666666666666,0.8491722869405273,15.082771305947274
same_query_retry,19,same_arm_boost_conservative,,15,,0.2,,,3,0,1030.2,0.8613232261300932,13.867677386990685
same_query_retry,19,same_full_context,,15,,0.2,,,3,0,1146.2,0.958307786633967,4.169221336603302
same_query_retry_all_queries,19,budgeted_before_feedback,596,,0,0.8741610738255033,0.006711409395973145,0.0,,,1370.9010067114093,0.9310734630667671,6.892653693323291
same_query_retry_all_queries,19,same_arm_boost,596,,0,0.8791946308724832,0.011744966442952975,0.005033557046979831,,,1372.0973154362416,0.9318859588646938,6.811404113530617
same_query_retry_all_queries,19,same_arm_boost_conservative,596,,0,0.8791946308724832,0.011744966442952975,0.005033557046979831,,,1372.4630872483222,0.9321343797397963,6.786562026020371
same_query_retry_all_queries,19,same_full_context,596,,0,0.8791946308724832,0.011744966442952975,0.005033557046979831,,,1375.3825503355704,0.934117188559421,6.588281144057895
calibration_to_test,19,budgeted_before_feedback,417,,3,0.8776978417266187,0.007194244604316502,0.0,,,1396.9016786570744,0.9501957457914656,4.98042542085344
calibration_to_test,19,generalized_arm_boost,417,,3,0.8776978417266187,0.007194244604316502,0.0,,,1396.4340527577938,0.9498776588803342,5.012234111966585
calibration_to_test,19,generalized_arm_boost_conservative,417,,3,0.8776978417266187,0.007194244604316502,0.0,,,1397.9016786570744,0.9508759624168082,4.912403758319184
calibration_to_test,19,generalized_conservative_budget,417,,3,0.8752997601918465,0.004796163069544335,-0.0023980815347721673,,,1398.1247002398081,0.9510276654051938,4.897233459480621
calibration_to_test,19,generalized_full_context,417,,3,0.8776978417266187,0.007194244604316502,0.0,,,1405.0503597122301,0.9557386141197964,4.426138588020356
