scale,split,source_group,compressor,budget_ratio,method_label,run_id,source_run_id,num_queries,hit@10,hit_delta_vs_dense@10,hit_delta_vs_source@10,evidence_recall@10,avg_context_tokens@10,context_token_saving_percent_vs_dense@10,context_token_saving_percent_vs_source@10,avg_selected_sentences@10,avg_supported_chunks@10,avg_budget_tokens@10,budget_fill_ratio@10,budget_target_run_id,context_token_ratio_vs_dense@10,context_token_ratio_vs_source@10,evidence_recall@1,evidence_recall@5,hit@1,hit@5,max_context_tokens@10,median_context_tokens@10,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,num_skipped_no_gt,p95_context_tokens@10,recall@1,recall@10,recall@5
100k,test,dense,none,,dense_top10,dense,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1470.1199040767385,0.0,0.0,0.0,10.0,1470.1199040767385,1.0,,1.0,1.0,0.27574778809584055,0.6149272625488204,0.6139088729016786,0.8105515587529976,7585.0,1318.0,0.6139088729016786,0.6989018309162194,0.690767386091127,0.6139088729016786,0.6474609527788745,0.623847826353136,0,2741.2,0.6139088729016786,0.8705035971223022,0.8105515587529976
100k,test,dense,sent_mmr,0.85,dense_top10_sent_mmr,dense:sent_mmr_r0.85_l0.70,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1247.2589928057555,15.159369698551473,15.159369698551473,49.357314148681056,10.0,1249.1175059952038,0.9985121390257296,dense,0.8484063030144853,0.8484063030144853,0.281038706875968,0.6070463378513489,0.6139088729016786,0.8225419664268585,6446.0,1116.0,0.6139088729016786,0.7052700696585588,0.6984812150279776,0.6139088729016786,0.6446122260699481,0.6152025353186956,0,2329.2,0.6139088729016786,0.8705035971223022,0.8225419664268585
100k,test,dense,sent_mmr,0.9,dense_top10_sent_mmr,dense:sent_mmr_r0.90_l0.70,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1319.9184652278177,10.216951585540912,10.216951585540912,53.03597122302158,10.0,1322.6498800959232,0.9979348919852414,dense,0.8978304841445909,0.8978304841445909,0.281038706875968,0.6070463378513489,0.6139088729016786,0.8225419664268585,6826.0,1182.0,0.6139088729016786,0.7052700696585588,0.6984812150279776,0.6139088729016786,0.6446122260699481,0.6152025353186956,0,2464.4,0.6139088729016786,0.8705035971223022,0.8225419664268585
100k,test,dense,sent_mmr,0.95,dense_top10_sent_mmr,dense:sent_mmr_r0.95_l0.70,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1391.8345323741007,5.325101135325583,5.325101135325583,56.74820143884892,10.0,1396.1247002398081,0.9969270883432042,dense,0.9467489886467442,0.9467489886467442,0.281038706875968,0.6070463378513489,0.6139088729016786,0.8225419664268585,7205.0,1248.0,0.6139088729016786,0.7052700696585588,0.6984812150279776,0.6139088729016786,0.6446122260699481,0.6152025353186956,0,2601.2000000000003,0.6139088729016786,0.8705035971223022,0.8225419664268585
100k,test,intentweight,none,,intentweight,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1375.6450839328538,6.426334333811812,0.0,0.0,8.908872901678658,1375.6450839328538,1.0,,0.9357366566618819,1.0,0.28339785851569516,0.6016340875649978,0.6282973621103117,0.8201438848920863,12046.0,1254.0,0.6282973621103117,0.7081810741882681,0.7016386890487608,0.6282973621103117,0.6296322387912997,0.6135239876852729,0,2486.3999999999996,0.6282973621103117,0.86810551558753,0.8201438848920863
100k,test,intentweight,sent_mmr,0.85,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.85_l0.70,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1166.5011990407675,20.652649093044495,15.203331683064757,45.65467625899281,8.906474820143885,1168.8177458033574,0.9980180427864759,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,0.793473509069555,0.8479666831693524,0.29654630080082806,0.597121420642259,0.6498800959232613,0.8321342925659473,10238.0,1063.0,0.6498800959232613,0.726041071904381,0.7209832134292564,0.6498800959232613,0.6318456480484271,0.6115778393028729,0,2112.6,0.6498800959232613,0.86810551558753,0.8321342925659473
100k,test,intentweight,sent_mmr,0.9,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.90_l0.70,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1234.2805755395684,16.042183218060803,10.276234040624498,49.04556354916067,8.906474820143885,1237.6714628297361,0.9972602686641776,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,0.839578167819392,0.897237659593755,0.29654630080082806,0.597121420642259,0.6498800959232613,0.8321342925659473,10841.0,1123.0,0.6498800959232613,0.726041071904381,0.7209832134292564,0.6498800959232613,0.6318456480484271,0.6115778393028729,0,2234.3999999999996,0.6498800959232613,0.86810551558753,0.8321342925659473
100k,test,intentweight,sent_mmr,0.95,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.95_l0.70,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1301.7002398081536,11.456185567010301,5.375285019977549,52.3621103117506,8.908872901678658,1306.4148681055156,0.9963911706667892,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,0.885438144329897,0.9462471498002245,0.29654630080082806,0.597121420642259,0.6498800959232613,0.8321342925659473,11443.0,1183.0,0.6498800959232613,0.726041071904381,0.7209832134292564,0.6498800959232613,0.6318456480484271,0.6115778393028729,0,2359.3999999999996,0.6498800959232613,0.86810551558753,0.8321342925659473
100k,test,intentweight,none,,intentweight,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,417,0.8657074340527577,-0.004796163069544446,0.0,0.6766259510677767,1365.1966426858514,7.1370546783244055,0.0,0.0,8.88968824940048,1365.1966426858514,1.0,,0.9286294532167559,1.0,0.28581592406325707,0.604265791725479,0.6282973621103117,0.8249400479616307,12779.0,1216.0,0.6282973621103117,0.7078917818126449,0.7017585931254995,0.6282973621103117,0.6280985518662682,0.6140147122186009,0,2555.3999999999996,0.6282973621103117,0.8657074340527577,0.8249400479616307
100k,test,intentweight,sent_mmr,0.85,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:sent_mmr_r0.85_l0.70,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,417,0.8657074340527577,-0.004796163069544446,0.0,0.6766259510677767,1157.9352517985612,21.23531906564008,15.181797581887524,45.52278177458034,8.887290167865707,1159.9400479616306,0.9982716381190627,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,0.7876468093435992,0.8481820241811248,0.2870339107128984,0.5939491965167975,0.6235011990407674,0.8321342925659473,10861.0,1033.0,0.6235011990407674,0.7130876251379846,0.7083533173461231,0.6235011990407674,0.6257968452809893,0.6057954454279981,0,2168.3999999999996,0.6235011990407674,0.8657074340527577,0.8321342925659473
