scale,method_label,method_run_id,num_queries,method_hit@10,baseline_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,token_ratio,token_saving_percent,token_saving_ci_low,token_saving_ci_high,token_saving_wilcoxon_p_greater,method_only_hits,baseline_only_hits,mcnemar_p_two_sided,baseline_run_id,baseline_tokens_mean,budget_ratio,budget_target_run_id,comparison,compressor,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_losses,hit_ties,hit_wins,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_margin,source_group,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_saving_mean
100k,dense_top10_sent_mmr,dense:sent_mmr_r0.85_l0.70,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.8484063030144853,15.159369698551473,211.3994004796163,234.60881294964028,2.2749229504418563e-70,0,0,1.0,dense,1470.1199040767385,0.85,dense,vs_dense,sent_mmr,0.0,0.0,0.0,0,417,0,1247.2589928057555,0.006368238742339462,-0.0028487267089264256,0.01,dense,-211.38213429256595,-234.93009592326138,-222.86091127098322,0,417,0,1.0,222.86091127098322
100k,dense_top10_sent_mmr,dense:sent_mmr_r0.90_l0.70,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.8978304841445909,10.216951585540912,142.63057553956835,158.09604316546762,2.272663072545563e-70,0,0,1.0,dense,1470.1199040767385,0.9,dense,vs_dense,sent_mmr,0.0,0.0,0.0,0,417,0,1319.9184652278177,0.006368238742339462,-0.0028487267089264256,0.01,dense,-142.8224220623501,-158.28129496402877,-150.20143884892087,0,417,0,1.0,150.20143884892087
100k,dense_top10_sent_mmr,dense:sent_mmr_r0.95_l0.70,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.9467489886467442,5.325101135325583,74.33075539568345,82.24736211031174,2.2619826848817315e-70,0,0,1.0,dense,1470.1199040767385,0.95,dense,vs_dense,sent_mmr,0.0,0.0,0.0,0,417,0,1391.8345323741007,0.006368238742339462,-0.0028487267089264256,0.01,dense,-74.46031175059952,-82.55887290167865,-78.28537170263789,0,417,0,1.0,78.28537170263789
100k,intentweight,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.016786570743405275,False,0.9357366566618819,6.426334333811812,46.66558752997603,139.41780575539568,1.155320141562371e-13,10,11,1.0,dense,1470.1199040767385,,,vs_dense,none,-0.002130537397220623,-0.04796835609583686,-0.02567624359983576,11,396,10,1375.6450839328538,0.009279243272049027,-0.017828713987575184,0.01,intentweight,-48.11720623501199,-139.55047961630694,-94.4748201438849,6,273,9,0.6690647482014388,94.4748201438849
100k,intentweight,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.011990407673860911,False,0.9286294532167559,7.1370546783244055,53.57673860911273,153.0410071942446,6.177566253542725e-14,7,9,0.803619384765625,dense,1470.1199040767385,,,vs_dense,none,-0.012055598206909924,-0.05280140524093637,-0.03149777684942656,9,401,7,1365.1966426858514,0.008989950896425717,-0.01936240091260671,0.01,intentweight,-51.78153477218233,-155.0333333333333,-104.92326139088729,3,277,8,0.6714628297362111,104.92326139088729
100k,intentweight,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.016786570743405275,0.03117505995203837,False,0.9501957457914656,4.98042542085344,25.969544364508412,111.77511990407672,1.0736501239574712e-10,14,11,0.6900379657745361,dense,1470.1199040767385,,,vs_dense,none,0.002671647910810021,-0.04359580323500566,-0.02106850122230921,11,392,14,1396.9016786570744,0.0255405199649804,-0.010880343802186084,0.01,intentweight,-29.93423261390889,-113.44994004796163,-73.21822541966426,7,258,8,0.6354916067146283,73.21822541966426
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.85_l0.70,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.019184652278177457,False,0.793473509069555,20.652649093044495,262.6640887290168,347.3195443645084,1.906740302923118e-48,10,11,1.0,dense,1470.1199040767385,0.85,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_dense,sent_mmr,-0.0029641633013935374,-0.04893567986333429,-0.02567624359983576,11,396,10,1166.5011990407675,0.027139240988161853,-0.015615304730447572,0.01,intentweight,-260.78818944844124,-348.20233812949635,-303.61870503597123,7,354,10,0.8657074340527577,303.61870503597123
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:sent_mmr_r0.85_l0.70,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.014388489208633094,False,0.7876468093435992,21.23531906564008,264.93645083932853,355.9696642685851,1.6003531455252037e-50,7,9,0.803619384765625,dense,1470.1199040767385,0.85,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_dense,sent_mmr,-0.010564804612497501,-0.05146156559600804,-0.03149777684942656,9,401,7,1157.9352517985612,0.014185794221765444,-0.021664107497885318,0.01,intentweight,-267.3661270983214,-360.5249400479616,-312.18465227817745,7,352,8,0.8609112709832134,312.18465227817745
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:sent_mmr_r0.85_l0.70,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.016786570743405275,0.03117505995203837,False,0.805947409630693,19.4052590369307,244.29016786570745,322.0246402877698,8.416326814742505e-48,14,11,0.6900379657745361,dense,1470.1199040767385,0.85,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_dense,sent_mmr,0.002426864002155469,-0.04442483675397345,-0.02106850122230921,11,392,14,1184.8393285371703,0.02047504853260249,-0.013592616226576188,0.01,intentweight,-246.98884892086343,-322.4712829736211,-285.28057553956836,12,340,11,0.8441247002398081,285.28057553956836
100k,intentweight_sent_mmr,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:sent_mmr_r0.90_l0.70,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.019184652278177457,False,0.839578167819392,16.042183218060803,193.23003597122303,279.81354916067147,6.775996774406896e-40,10,11,1.0,dense,1470.1199040767385,0.9,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_dense,sent_mmr,-0.0023874852946423656,-0.048611092988573745,-0.02567624359983576,11,396,10,1234.2805755395684,0.027139240988161853,-0.015615304730447572,0.01,intentweight,-194.72278177458034,-280.63555155875304,-235.83932853717027,7,336,9,0.8225419664268585,235.83932853717027
