scale,split,source_label,run_id,policy,seed,num_queries,hit@10,hit_delta_vs_dense@10,context_token_ratio_vs_dense@10,context_token_saving_percent_vs_dense@10,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,method,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,num_skipped_no_gt,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.98_m4,token_budget_r0.98_m4,13,179,0.88268156424581,-0.033519553072625774,0.8959961161736437,10.400388382635628,1.0,8.994413407821229,5.0,193.3072625698324,1525.9664804469273,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6821233602224741,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3904.0,3157.0,130.0,1378.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6575333915577249,0.6496016243563528,0,528.3999999999991,2762.0999999999995,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.98_m5,token_budget_r0.98_m5,13,179,0.88268156424581,-0.033519553072625774,0.8959961161736437,10.400388382635628,1.0,8.994413407821229,5.0,193.3072625698324,1525.9664804469273,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6821233602224741,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3904.0,3157.0,130.0,1378.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6575333915577249,0.6496016243563528,0,528.3999999999991,2762.0999999999995,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.98_m6,token_budget_r0.98_m6,13,179,0.88268156424581,-0.033519553072625774,0.8959961161736437,10.400388382635628,1.0,8.994413407821229,5.0,193.3072625698324,1525.9664804469273,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6821233602224741,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3904.0,3157.0,130.0,1378.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6575333915577249,0.6496016243563528,0,528.3999999999991,2762.0999999999995,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.98_m7,token_budget_r0.98_m7,13,179,0.88268156424581,-0.033519553072625774,0.8959961161736437,10.400388382635628,1.0,8.994413407821229,5.0,193.3072625698324,1525.9664804469273,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6821233602224741,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3904.0,3157.0,130.0,1378.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6575333915577249,0.6496016243563528,0,528.3999999999991,2762.0999999999995,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.98_m8,token_budget_r0.98_m8,13,179,0.88268156424581,-0.033519553072625774,0.8959961161736437,10.400388382635628,1.0,8.994413407821229,5.0,193.3072625698324,1525.9664804469273,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6821233602224741,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3904.0,3157.0,130.0,1378.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6575333915577249,0.6496016243563528,0,528.3999999999991,2762.0999999999995,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.95_m4,token_budget_r0.95_m4,13,179,0.88268156424581,-0.033519553072625774,0.8758192446220158,12.418075537798423,1.0,8.899441340782124,5.0,193.3072625698324,1491.6033519553073,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6787714049152114,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3718.0,3157.0,130.0,1327.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6561321070871442,0.6496016243563528,0,528.3999999999991,2695.3999999999996,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.95_m5,token_budget_r0.95_m5,13,179,0.88268156424581,-0.033519553072625774,0.8758192446220158,12.418075537798423,1.0,8.899441340782124,5.0,193.3072625698324,1491.6033519553073,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6787714049152114,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3718.0,3157.0,130.0,1327.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6561321070871442,0.6496016243563528,0,528.3999999999991,2695.3999999999996,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.95_m6,token_budget_r0.95_m6,13,179,0.88268156424581,-0.033519553072625774,0.8758192446220158,12.418075537798423,1.0,8.899441340782124,5.0,193.3072625698324,1491.6033519553073,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6787714049152114,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3718.0,3157.0,130.0,1327.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6561321070871442,0.6496016243563528,0,528.3999999999991,2695.3999999999996,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.95_m7,token_budget_r0.95_m7,13,179,0.88268156424581,-0.033519553072625774,0.8758192446220158,12.418075537798423,1.0,8.899441340782124,5.0,193.3072625698324,1491.6033519553073,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6787714049152114,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3718.0,3157.0,130.0,1327.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6561321070871442,0.6496016243563528,0,528.3999999999991,2695.3999999999996,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
100k,calibration,task53_bge,task53_bge:gated_cost_aware:seed13:token_budget_r0.95_m8,token_budget_r0.95_m8,13,179,0.88268156424581,-0.033519553072625774,0.8774626542541676,12.253734574583241,1.0,8.893854748603353,5.0,193.3072625698324,1494.4022346368715,884.6648044692737,0.0,0.0,0.0,0.3629147343484661,0.6787714049152114,0.6221939688877659,0.7150837988826816,0.8491620111731844,2133.0,3718.0,3157.0,130.0,1327.0,748.0,gated_cost_aware,0.7150837988826816,0.7679036977919658,0.7628491620111731,0.7150837988826816,0.6561321070871442,0.6496016243563528,0,528.3999999999991,2695.3999999999996,1766.0999999999995,0.7150837988826816,0.88268156424581,0.8491620111731844
