scale,split,source_label,run_id,policy,seed,num_queries,hit@10,hit_delta_vs_dense@10,context_token_ratio_vs_dense@10,context_token_saving_percent_vs_dense@10,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,method,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,num_skipped_no_gt,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.98_m4,token_budget_r0.98_m4,13,179,0.8212290502793296,-0.05027932960893855,0.9719969496262517,2.8003050373748284,1.0,8.994413407821229,5.0,177.75418994413408,1402.7653631284916,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.6118741804760875,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4350.0,3275.0,122.0,1271.0,761.0,gated_cost_aware,0.6256983240223464,0.6948634388578523,0.6882681564245808,0.6256983240223464,0.5809286207423837,0.5718209233973041,0,424.09999999999997,2574.699999999999,1740.6999999999998,0.6256983240223464,0.8212290502793296,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.98_m5,token_budget_r0.98_m5,13,179,0.8212290502793296,-0.05027932960893855,0.9719969496262517,2.8003050373748284,1.0,8.994413407821229,5.0,177.75418994413408,1402.7653631284916,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.6118741804760875,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4350.0,3275.0,122.0,1271.0,761.0,gated_cost_aware,0.6256983240223464,0.6948634388578523,0.6882681564245808,0.6256983240223464,0.5809286207423837,0.5718209233973041,0,424.09999999999997,2574.699999999999,1740.6999999999998,0.6256983240223464,0.8212290502793296,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.98_m6,token_budget_r0.98_m6,13,179,0.8212290502793296,-0.05027932960893855,0.9719969496262517,2.8003050373748284,1.0,8.994413407821229,5.0,177.75418994413408,1402.7653631284916,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.6118741804760875,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4350.0,3275.0,122.0,1271.0,761.0,gated_cost_aware,0.6256983240223464,0.6948634388578523,0.6882681564245808,0.6256983240223464,0.5809286207423837,0.5718209233973041,0,424.09999999999997,2574.699999999999,1740.6999999999998,0.6256983240223464,0.8212290502793296,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.98_m7,token_budget_r0.98_m7,13,179,0.8212290502793296,-0.05027932960893855,0.9719969496262517,2.8003050373748284,1.0,8.994413407821229,5.0,177.75418994413408,1402.7653631284916,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.6118741804760875,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4350.0,3275.0,122.0,1271.0,761.0,gated_cost_aware,0.6256983240223464,0.6948634388578523,0.6882681564245808,0.6256983240223464,0.5809286207423837,0.5718209233973041,0,424.09999999999997,2574.699999999999,1740.6999999999998,0.6256983240223464,0.8212290502793296,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.98_m8,token_budget_r0.98_m8,13,179,0.8212290502793296,-0.05027932960893855,0.9719969496262517,2.8003050373748284,1.0,8.994413407821229,5.0,177.75418994413408,1402.7653631284916,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.6118741804760875,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4350.0,3275.0,122.0,1271.0,761.0,gated_cost_aware,0.6256983240223464,0.6948634388578523,0.6882681564245808,0.6256983240223464,0.5809286207423837,0.5718209233973041,0,424.09999999999997,2574.699999999999,1740.6999999999998,0.6256983240223464,0.8212290502793296,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.95_m4,token_budget_r0.95_m4,13,179,0.8268156424581006,-0.04469273743016755,0.9497888351675576,5.021116483244237,1.0,8.972067039106145,5.0,177.75418994413408,1370.7150837988827,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.613685590667386,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4221.0,3275.0,122.0,1237.0,761.0,gated_cost_aware,0.6256983240223464,0.6954841713221602,0.6882681564245808,0.6256983240223464,0.5817178217080811,0.5718209233973041,0,424.09999999999997,2493.1,1740.6999999999998,0.6256983240223464,0.8268156424581006,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.95_m5,token_budget_r0.95_m5,13,179,0.8268156424581006,-0.04469273743016755,0.9497888351675576,5.021116483244237,1.0,8.972067039106145,5.0,177.75418994413408,1370.7150837988827,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.613685590667386,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4221.0,3275.0,122.0,1237.0,761.0,gated_cost_aware,0.6256983240223464,0.6954841713221602,0.6882681564245808,0.6256983240223464,0.5817178217080811,0.5718209233973041,0,424.09999999999997,2493.1,1740.6999999999998,0.6256983240223464,0.8268156424581006,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.95_m6,token_budget_r0.95_m6,13,179,0.8268156424581006,-0.04469273743016755,0.9497888351675576,5.021116483244237,1.0,8.972067039106145,5.0,177.75418994413408,1370.7150837988827,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.613685590667386,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4221.0,3275.0,122.0,1237.0,761.0,gated_cost_aware,0.6256983240223464,0.6954841713221602,0.6882681564245808,0.6256983240223464,0.5817178217080811,0.5718209233973041,0,424.09999999999997,2493.1,1740.6999999999998,0.6256983240223464,0.8268156424581006,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.95_m7,token_budget_r0.95_m7,13,179,0.8268156424581006,-0.04469273743016755,0.9497888351675576,5.021116483244237,1.0,8.972067039106145,5.0,177.75418994413408,1370.7150837988827,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.613685590667386,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4221.0,3275.0,122.0,1237.0,761.0,gated_cost_aware,0.6256983240223464,0.6954841713221602,0.6882681564245808,0.6256983240223464,0.5817178217080811,0.5718209233973041,0,424.09999999999997,2493.1,1740.6999999999998,0.6256983240223464,0.8268156424581006,0.776536312849162
100k,calibration,task53_e5,task53_e5:gated_cost_aware:seed13:token_budget_r0.95_m8,token_budget_r0.95_m8,13,179,0.8268156424581006,-0.04469273743016755,0.9501643253370702,4.983567466292982,1.0,8.960893854748603,5.0,177.75418994413408,1371.2569832402235,834.8324022346369,0.0,0.0,0.0,0.30484168542346174,0.613685590667386,0.5466022576815295,0.6256983240223464,0.776536312849162,2133.0,4221.0,3275.0,122.0,1237.0,761.0,gated_cost_aware,0.6256983240223464,0.6954841713221602,0.6882681564245808,0.6256983240223464,0.5817178217080811,0.5718209233973041,0,424.09999999999997,2493.1,1740.6999999999998,0.6256983240223464,0.8268156424581006,0.776536312849162
