backbone,embedding_model,route_mode,source,selected_policy,calibration_eligible,calibration_hit_delta,calibration_token_saving_percent,seed,baseline_hit@10,method_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,token_ratio,token_saving_percent,mcnemar_p_two_sided,token_down_nonworse_rate
MiniLM,sentence-transformers/all-MiniLM-L6-v2,gated_cost_aware,paper/experiments/results/task38_100k_calibrated_context_budget.json,token_budget_r0.95_m4,True,0.0018621973929236664,11.309386534998357,13,0.8705035971223022,0.86810551558753,-0.002398081534772182,-0.023980815347721823,0.019184652278177457,False,0.9357366566618819,6.426334333811812,1.0,0.6690647482014388
MiniLM,sentence-transformers/all-MiniLM-L6-v2,gated_cost_aware,paper/experiments/results/task38_100k_calibrated_context_budget.json,token_budget_r0.95_m4,True,0.0018621973929236664,11.309386534998357,17,0.8705035971223022,0.8657074340527577,-0.004796163069544364,-0.023980815347721823,0.011990407673860911,False,0.9286294532167559,7.1370546783244055,0.803619384765625,0.6714628297362111
MiniLM,sentence-transformers/all-MiniLM-L6-v2,gated_cost_aware,paper/experiments/results/task38_100k_calibrated_context_budget.json,token_budget_r0.95_m4,True,0.0018621973929236664,11.309386534998357,19,0.8705035971223022,0.8776978417266187,0.007194244604316547,-0.014448441247002293,0.03117505995203837,False,0.9501957457914656,4.98042542085344,0.6900379657745361,0.6354916067146283
BGE-base,BAAI/bge-base-en-v1.5,full_multi_route,paper/experiments/results/task53_bge_base_100k_full_context_budget.json,token_budget_r0.92_m4,True,0.003724394785847259,15.378946424627312,13,0.8992805755395683,0.8992805755395683,0.0,-0.014388489208633094,0.014388489208633094,False,0.875732001982425,12.426799801757504,1.0,0.8009592326139089
BGE-base,BAAI/bge-base-en-v1.5,full_multi_route,paper/experiments/results/task53_bge_base_100k_full_context_budget.json,token_budget_r0.92_m4,True,0.003724394785847259,15.378946424627312,17,0.8992805755395683,0.894484412470024,-0.004796163069544364,-0.02158273381294964,0.011990407673860911,False,0.8797389713573293,12.026102864267074,0.79052734375,0.7601918465227818
BGE-base,BAAI/bge-base-en-v1.5,full_multi_route,paper/experiments/results/task53_bge_base_100k_full_context_budget.json,token_budget_r0.92_m4,True,0.003724394785847259,15.378946424627312,19,0.8992805755395683,0.9016786570743405,0.002398081534772182,-0.011990407673860911,0.016786570743405275,False,0.8849716184702474,11.502838152975258,1.0,0.7937649880095923
BGE-base,BAAI/bge-base-en-v1.5,gated_cost_aware,paper/experiments/results/task53_bge_base_100k_matched_context_budget.json,token_budget_r0.88_m4,False,-0.020484171322160183,17.959416638784468,13,0.8992805755395683,0.8800959232613909,-0.019184652278177457,-0.0407673860911271,0.002398081534772182,False,0.8328220492826345,16.717795071736553,0.09625244140625,0.8321342925659473
BGE-base,BAAI/bge-base-en-v1.5,gated_cost_aware,paper/experiments/results/task53_bge_base_100k_matched_context_budget.json,token_budget_r0.88_m4,False,-0.020484171322160183,17.959416638784468,17,0.8992805755395683,0.8705035971223022,-0.02877697841726619,-0.050359712230215826,-0.007194244604316547,False,0.8332713240548734,16.672867594512663,0.01690053939819336,0.7769784172661871
BGE-base,BAAI/bge-base-en-v1.5,gated_cost_aware,paper/experiments/results/task53_bge_base_100k_matched_context_budget.json,token_budget_r0.88_m4,False,-0.020484171322160183,17.959416638784468,19,0.8992805755395683,0.8729016786570744,-0.026378896882494004,-0.045563549160671464,-0.007194244604316547,False,0.8475568578284024,15.24431421715976,0.012725830078125,0.762589928057554
E5-base,intfloat/e5-base-v2,full_multi_route,paper/experiments/results/task53_e5_base_100k_full_context_budget.json,token_budget_r0.88_m7,True,3.700743415417188e-17,13.242157610385723,13,0.8752997601918465,0.86810551558753,-0.007194244604316547,-0.023980815347721823,0.004796163069544364,False,0.8723302618511861,12.76697381488139,0.5078125,0.7817745803357314
E5-base,intfloat/e5-base-v2,full_multi_route,paper/experiments/results/task53_e5_base_100k_full_context_budget.json,token_budget_r0.88_m7,True,3.700743415417188e-17,13.242157610385723,17,0.8752997601918465,0.86810551558753,-0.007194244604316547,-0.02158273381294964,0.004796163069544364,False,0.8774686042564961,12.253139574350392,0.5078125,0.7841726618705036
E5-base,intfloat/e5-base-v2,full_multi_route,paper/experiments/results/task53_e5_base_100k_full_context_budget.json,token_budget_r0.88_m7,True,3.700743415417188e-17,13.242157610385723,19,0.8752997601918465,0.8705035971223022,-0.004796163069544364,-0.02158273381294964,0.009592326139088728,False,0.8842034469320796,11.579655306792036,0.7744140625,0.7649880095923262
E5-base,intfloat/e5-base-v2,gated_cost_aware,paper/experiments/results/task53_e5_base_100k_gated_context_budget.json,token_budget_r0.95_m4,False,-0.031657355679701994,7.404124198212358,13,0.8752997601918465,0.8369304556354916,-0.03836930455635491,-0.06474820143884892,-0.014388489208633094,False,0.947315491080969,5.268450891903099,0.005222879350185395,0.6091127098321343
E5-base,intfloat/e5-base-v2,gated_cost_aware,paper/experiments/results/task53_e5_base_100k_gated_context_budget.json,token_budget_r0.95_m4,False,-0.031657355679701994,7.404124198212358,17,0.8752997601918465,0.8345323741007195,-0.0407673860911271,-0.06474820143884892,-0.019184652278177457,False,0.9189477554714706,8.105224452852944,0.0009105205535888672,0.6139088729016786
E5-base,intfloat/e5-base-v2,gated_cost_aware,paper/experiments/results/task53_e5_base_100k_gated_context_budget.json,token_budget_r0.95_m4,False,-0.031657355679701994,7.404124198212358,19,0.8752997601918465,0.8513189448441247,-0.023980815347721823,-0.045563549160671464,-0.002398081534772182,False,0.9287970307609147,7.120296923908532,0.04138946533203125,0.6522781774580336
