setting,backbone,route_mode,role,source,selected_policy,num_queries,seed,baseline_hit@10,method_hit@10,hit_delta_pp,paired_hit_delta_ci_low_pp,paired_hit_delta_ci_high_pp,noninferior_by_ci,token_saving_percent,token_ratio,mcnemar_p_two_sided,token_down_nonworse_rate
MiniLM gated,MiniLM,gated_cost_aware,matched_backbone,paper/experiments/results/task38_100k_calibrated_context_budget.json,token_budget_r0.95_m4,417,13,0.8705035971223022,0.86810551558753,-0.2398081534772182,-2.3980815347721824,1.9184652278177456,False,6.426334333811812,0.9357366566618819,1.0,0.6690647482014388
MiniLM gated,MiniLM,gated_cost_aware,matched_backbone,paper/experiments/results/task38_100k_calibrated_context_budget.json,token_budget_r0.95_m4,417,17,0.8705035971223022,0.8657074340527577,-0.4796163069544364,-2.3980815347721824,1.1990407673860912,False,7.1370546783244055,0.9286294532167559,0.803619384765625,0.6714628297362111
MiniLM gated,MiniLM,gated_cost_aware,matched_backbone,paper/experiments/results/task38_100k_calibrated_context_budget.json,token_budget_r0.95_m4,417,19,0.8705035971223022,0.8776978417266187,0.7194244604316548,-1.4448441247002293,3.117505995203837,False,4.98042542085344,0.9501957457914656,0.6900379657745361,0.6354916067146283
BGE full,BGE-base,full_multi_route,matched_backbone,paper/experiments/results/task53_bge_base_100k_full_context_budget.json,token_budget_r0.92_m4,417,13,0.8992805755395683,0.8992805755395683,0.0,-1.4388489208633095,1.4388489208633095,False,12.426799801757504,0.875732001982425,1.0,0.8009592326139089
BGE full,BGE-base,full_multi_route,matched_backbone,paper/experiments/results/task53_bge_base_100k_full_context_budget.json,token_budget_r0.92_m4,417,17,0.8992805755395683,0.894484412470024,-0.4796163069544364,-2.158273381294964,1.1990407673860912,False,12.026102864267074,0.8797389713573293,0.79052734375,0.7601918465227818
BGE full,BGE-base,full_multi_route,matched_backbone,paper/experiments/results/task53_bge_base_100k_full_context_budget.json,token_budget_r0.92_m4,417,19,0.8992805755395683,0.9016786570743405,0.2398081534772182,-1.1990407673860912,1.6786570743405276,False,11.502838152975258,0.8849716184702474,1.0,0.7937649880095923
BGE gated,BGE-base,gated_cost_aware,cost_aggressive_boundary,paper/experiments/results/task53_bge_base_100k_matched_context_budget.json,token_budget_r0.88_m4,417,13,0.8992805755395683,0.8800959232613909,-1.9184652278177456,-4.07673860911271,0.2398081534772182,False,16.717795071736553,0.8328220492826345,0.09625244140625,0.8321342925659473
BGE gated,BGE-base,gated_cost_aware,cost_aggressive_boundary,paper/experiments/results/task53_bge_base_100k_matched_context_budget.json,token_budget_r0.88_m4,417,17,0.8992805755395683,0.8705035971223022,-2.877697841726619,-5.0359712230215825,-0.7194244604316548,False,16.672867594512663,0.8332713240548734,0.01690053939819336,0.7769784172661871
BGE gated,BGE-base,gated_cost_aware,cost_aggressive_boundary,paper/experiments/results/task53_bge_base_100k_matched_context_budget.json,token_budget_r0.88_m4,417,19,0.8992805755395683,0.8729016786570744,-2.6378896882494005,-4.556354916067146,-0.7194244604316548,False,15.24431421715976,0.8475568578284024,0.012725830078125,0.762589928057554
E5 full,E5-base,full_multi_route,matched_backbone,paper/experiments/results/task53_e5_base_100k_full_context_budget.json,token_budget_r0.88_m7,417,13,0.8752997601918465,0.86810551558753,-0.7194244604316548,-2.3980815347721824,0.4796163069544364,False,12.76697381488139,0.8723302618511861,0.5078125,0.7817745803357314
E5 full,E5-base,full_multi_route,matched_backbone,paper/experiments/results/task53_e5_base_100k_full_context_budget.json,token_budget_r0.88_m7,417,17,0.8752997601918465,0.86810551558753,-0.7194244604316548,-2.158273381294964,0.4796163069544364,False,12.253139574350392,0.8774686042564961,0.5078125,0.7841726618705036
E5 full,E5-base,full_multi_route,matched_backbone,paper/experiments/results/task53_e5_base_100k_full_context_budget.json,token_budget_r0.88_m7,417,19,0.8752997601918465,0.8705035971223022,-0.4796163069544364,-2.158273381294964,0.9592326139088728,False,11.579655306792036,0.8842034469320796,0.7744140625,0.7649880095923262
E5 gated,E5-base,gated_cost_aware,cost_aggressive_boundary,paper/experiments/results/task53_e5_base_100k_gated_context_budget.json,token_budget_r0.95_m4,417,13,0.8752997601918465,0.8369304556354916,-3.8369304556354913,-6.474820143884892,-1.4388489208633095,False,5.268450891903099,0.947315491080969,0.005222879350185395,0.6091127098321343
E5 gated,E5-base,gated_cost_aware,cost_aggressive_boundary,paper/experiments/results/task53_e5_base_100k_gated_context_budget.json,token_budget_r0.95_m4,417,17,0.8752997601918465,0.8345323741007195,-4.07673860911271,-6.474820143884892,-1.9184652278177456,False,8.105224452852944,0.9189477554714706,0.0009105205535888672,0.6139088729016786
E5 gated,E5-base,gated_cost_aware,cost_aggressive_boundary,paper/experiments/results/task53_e5_base_100k_gated_context_budget.json,token_budget_r0.95_m4,417,19,0.8752997601918465,0.8513189448441247,-2.3980815347721824,-4.556354916067146,-0.2398081534772182,False,7.120296923908532,0.9287970307609147,0.04138946533203125,0.6522781774580336
BGE positive,BGE-base,full_multi_route,quality_first_tuning,paper/experiments/results/task54_bge_base_100k_positive_hit_context_budget.json,token_budget_r0.97_m4,417,13,0.8992805755395683,0.9088729016786571,0.9592326139088728,-0.4796163069544364,2.3980815347721824,True,8.10604007811765,0.9189395992188235,0.34375,0.7026378896882494
