analysis_group,observation_label,domain,scale,num_queries,corpus_chunks,arm_count,nearest_cluster_hit_at_3,context_retention_at_10,policy_hit_delta_pp,policy_saving_pct,pca_dim_for_90pct,pca_var_at_64,static_route_reward,static_cluster_hit,learned_route_reward,learned_cluster_hit,full_hit_delta_pp,full_token_saving_pct,full_hit_at_10,gated_dense_rate,gated_primary_rate,gated_hit_delta_pp,gated_token_saving_pct,note
figure4_cross_scale,technology/search:100k,technology/search,100k,596,101311,32,0.887,0.9033,0.0,6.18,182,0.6436532661673636,,,,,,,,,,,,paper_figure_diagnostic
figure4_cross_scale,technology/search:200k,technology/search,200k,596,201010,32,0.8697,0.8947,1.2,16.0,186,0.6291609777970016,,,,,,,,,,,,paper_figure_diagnostic
figure4_cross_scale,technology/search:400k,technology/search,400k,596,400674,32,0.9016,0.8826,2.32,6.57,190,0.6109557498046004,,,,,,,,,,,,paper_figure_diagnostic
figure4_cross_scale,technology/search:638k,technology/search,638k,596,638509,32,0.9016,0.8571,-0.08,17.53,196,0.5867263588047112,,,,,,,,,,,,paper_figure_diagnostic
figure4_cross_scale,science/search:20k/q200,science/search,20k/q200,200,20490,32,0.9083,0.8939,1.67,13.8,180,0.6377112997409206,,,,,,,,,,,,paper_figure_diagnostic
figure4_cross_scale,science/search:100k,science/search,100k,596,101187,32,0.8574,0.8628,-0.72,19.09,177,0.6459377935561323,,,,,,,,,,,,paper_figure_diagnostic
task60_arm_count,technology/search:100k:K8,technology/search,100k,417,101311,8,,,,,,,0.912751677852349,0.947986577181208,0.9088366890380314,0.9038031319910514,1.4388489208633095,6.228174866286529,0.883668903803132,0.4082774049217002,0.5917225950782997,-1.8385291766586729,16.900368520401237,arm_count_control_diagnostic
task60_arm_count,technology/search:100k:K16,technology/search,100k,417,101311,16,,,,,,,0.8825503355704698,0.9121923937360178,0.8383668903803132,0.7514914243102163,0.7993605115907274,10.494563873868124,0.8808724832214766,0.6088739746457867,0.39112602535421326,-1.6786570743405276,11.94621664939483,arm_count_control_diagnostic
task60_arm_count,technology/search:100k:K32,technology/search,100k,417,101311,32,,,,,,,0.8562639821029082,0.8870246085011185,0.6789709172259508,0.5766219239373602,0.5595523581135092,4.676929356827397,0.87751677852349,0.7376957494407158,0.26230425055928414,-4.476418864908074,18.001891443374305,arm_count_control_diagnostic
task60_arm_count,technology/search:100k:K64,technology/search,100k,417,101311,64,,,,,,,0.8271812080536912,0.8495525727069352,0.4854586129753915,0.32550335570469796,0.3996802557953637,11.191440154589753,0.8791946308724832,0.8985831469052945,0.10141685309470544,-3.7569944044764187,12.470756571892583,arm_count_control_diagnostic
task60_arm_count,technology/search:100k:K128,technology/search,100k,417,101311,128,,,,,,,0.8478747203579419,0.8691275167785234,0.16331096196868009,0.12994034302759136,1.1990407673860912,10.23360362528467,0.883668903803132,0.9502237136465325,0.049776286353467564,-3.117505995203837,15.644736073797946,arm_count_control_diagnostic
