scale,split,source_group,compressor,budget_ratio,method_label,run_id,source_run_id,num_queries,hit@10,hit_delta_vs_dense@10,hit_delta_vs_source@10,evidence_recall@10,avg_context_tokens@10,context_token_saving_percent_vs_dense@10,context_token_saving_percent_vs_source@10,avg_selected_sentences@10,avg_supported_chunks@10,avg_budget_tokens@10,budget_fill_ratio@10,budget_target_run_id,context_token_ratio_vs_dense@10,context_token_ratio_vs_source@10,evidence_recall@1,evidence_recall@5,hit@1,hit@5,max_context_tokens@10,median_context_tokens@10,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,num_skipped_no_gt,p95_context_tokens@10,recall@1,recall@10,recall@5
100k,test,dense,none,,dense_top10,dense,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1470.1199040767385,0.0,0.0,0.0,10.0,1470.1199040767385,1.0,,1.0,1.0,0.27574778809584055,0.6149272625488204,0.6139088729016786,0.8105515587529976,7585.0,1318.0,0.6139088729016786,0.6989018309162194,0.690767386091127,0.6139088729016786,0.6474609527788745,0.623847826353136,0,2741.2,0.6139088729016786,0.8705035971223022,0.8105515587529976
100k,test,dense,selective_context_lite,0.75,dense_top10_selective_context,dense:selective_context_r0.75,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1099.8273381294964,25.187915959806862,25.187915959806862,44.60431654676259,9.997601918465227,1102.1990407673861,0.9978482083996023,dense,0.7481208404019314,0.7481208404019314,0.27574778809584055,0.6149272625488204,0.6139088729016786,0.8105515587529976,5675.0,985.0,0.6139088729016786,0.6989018309162194,0.690767386091127,0.6139088729016786,0.6474609527788745,0.623847826353136,0,2052.2,0.6139088729016786,0.8705035971223022,0.8105515587529976
100k,test,dense,selective_context_lite,0.85,dense_top10_selective_context,dense:selective_context_r0.85,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1245.0191846522782,15.311725172908774,15.311725172908774,51.611510791366904,10.0,1249.1175059952038,0.996719026574157,dense,0.8468827482709123,0.8468827482709123,0.27574778809584055,0.6149272625488204,0.6139088729016786,0.8105515587529976,6445.0,1116.0,0.6139088729016786,0.6989018309162194,0.690767386091127,0.6139088729016786,0.6474609527788745,0.623847826353136,0,2326.8,0.6139088729016786,0.8705035971223022,0.8105515587529976
100k,test,dense,selective_context_lite,0.9,dense_top10_selective_context,dense:selective_context_r0.90,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1316.8729016786572,10.424115881508534,10.424115881508534,54.985611510791365,10.0,1322.6498800959232,0.9956322693524555,dense,0.8957588411849147,0.8957588411849147,0.27574778809584055,0.6149272625488204,0.6139088729016786,0.8105515587529976,6804.0,1181.0,0.6139088729016786,0.6989018309162194,0.690767386091127,0.6139088729016786,0.6474609527788745,0.623847826353136,0,2461.6,0.6139088729016786,0.8705035971223022,0.8105515587529976
100k,test,dense,selective_context_lite,0.95,dense_top10_selective_context,dense:selective_context_r0.95,dense,417,0.8705035971223022,0.0,0.0,0.7081237279172036,1386.8848920863309,5.661783896646222,5.661783896646222,58.09592326139089,10.0,1396.1247002398081,0.9933818174322894,dense,0.9433821610335378,0.9433821610335378,0.27574778809584055,0.6149272625488204,0.6139088729016786,0.8105515587529976,7203.0,1245.0,0.6139088729016786,0.6989018309162194,0.690767386091127,0.6139088729016786,0.6474609527788745,0.623847826353136,0,2584.0,0.6139088729016786,0.8705035971223022,0.8105515587529976
100k,test,intentweight,none,,intentweight,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1375.6450839328538,6.426334333811812,0.0,0.0,8.908872901678658,1375.6450839328538,1.0,,0.9357366566618819,1.0,0.28339785851569516,0.6016340875649978,0.6282973621103117,0.8201438848920863,12046.0,1254.0,0.6282973621103117,0.7081810741882681,0.7016386890487608,0.6282973621103117,0.6296322387912997,0.6135239876852729,0,2486.3999999999996,0.6282973621103117,0.86810551558753,0.8201438848920863
100k,test,intentweight,selective_context_lite,0.75,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.75,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1028.9544364508392,30.00880856061595,25.20204168438963,40.63549160671463,8.904076738609113,1031.3453237410072,0.9976817781250072,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,0.6999119143938405,0.7479795831561037,0.28339785851569516,0.6016340875649978,0.6282973621103117,0.8201438848920863,9033.0,935.0,0.6282973621103117,0.7081810741882681,0.7016386890487608,0.6282973621103117,0.6296322387912997,0.6135239876852729,0,1855.7999999999995,0.6282973621103117,0.86810551558753,0.8201438848920863
100k,test,intentweight,selective_context_lite,0.85,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.85,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1164.693045563549,20.775642698681985,15.33477208861247,47.270983213429254,8.904076738609113,1168.8177458033574,0.9964710492678451,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,0.7922435730131802,0.8466522791138753,0.28339785851569516,0.6016340875649978,0.6282973621103117,0.8201438848920863,10238.0,1061.0,0.6282973621103117,0.7081810741882681,0.7016386890487608,0.6282973621103117,0.6296322387912997,0.6135239876852729,0,2108.9999999999995,0.6282973621103117,0.86810551558753,0.8201438848920863
100k,test,intentweight,selective_context_lite,0.9,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.90,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1231.4916067146282,16.231893514289442,10.478973021595284,50.46762589928058,8.906474820143885,1237.6714628297361,0.9950068687040916,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,0.8376810648571056,0.8952102697840472,0.28339785851569516,0.6016340875649978,0.6282973621103117,0.8201438848920863,10829.0,1121.0,0.6282973621103117,0.7081810741882681,0.7016386890487608,0.6282973621103117,0.6296322387912997,0.6135239876852729,0,2235.2,0.6282973621103117,0.86810551558753,0.8201438848920863
100k,test,intentweight,selective_context_lite,0.95,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.95,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,-0.0023980815347721673,0.0,0.6824474843173677,1298.3309352517986,11.685371264517808,5.6202104441081975,53.462829736211035,8.908872901678658,1306.4148681055156,0.9938121242714882,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,0.8831462873548219,0.943797895558918,0.28339785851569516,0.6016340875649978,0.6282973621103117,0.8201438848920863,11406.0,1174.0,0.6282973621103117,0.7081810741882681,0.7016386890487608,0.6282973621103117,0.6296322387912997,0.6135239876852729,0,2354.7999999999997,0.6282973621103117,0.86810551558753,0.8201438848920863
100k,test,intentweight,none,,intentweight,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,417,0.8657074340527577,-0.004796163069544446,0.0,0.6766259510677767,1365.1966426858514,7.1370546783244055,0.0,0.0,8.88968824940048,1365.1966426858514,1.0,,0.9286294532167559,1.0,0.28581592406325707,0.604265791725479,0.6282973621103117,0.8249400479616307,12779.0,1216.0,0.6282973621103117,0.7078917818126449,0.7017585931254995,0.6282973621103117,0.6280985518662682,0.6140147122186009,0,2555.3999999999996,0.6282973621103117,0.8657074340527577,0.8249400479616307
100k,test,intentweight,selective_context_lite,0.75,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.75,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,417,0.8657074340527577,-0.004796163069544446,0.0,0.6766259510677767,1020.757793764988,30.566357823306788,25.22998066001859,40.81534772182254,8.88968824940048,1023.5275779376499,0.9972938841782428,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,0.6943364217669321,0.7477001933998141,0.28581592406325707,0.604265791725479,0.6282973621103117,0.8249400479616307,9584.0,911.0,0.6282973621103117,0.7078917818126449,0.7017585931254995,0.6282973621103117,0.6280985518662682,0.6140147122186009,0,1915.6,0.6282973621103117,0.8657074340527577,0.8249400479616307
