scale,method_label,method_run_id,num_queries,method_hit@10,baseline_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,token_ratio,token_saving_percent,token_saving_ci_low,token_saving_ci_high,token_saving_wilcoxon_p_greater,method_only_hits,baseline_only_hits,mcnemar_p_two_sided,baseline_run_id,baseline_tokens_mean,budget_ratio,budget_target_run_id,comparison,compressor,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_losses,hit_ties,hit_wins,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_margin,source_group,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_saving_mean
100k,dense_top10_selective_context,dense:selective_context_r0.75,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.7481208404019314,25.187915959806862,351.2079736211031,390.91145083932855,2.2760058271668822e-70,0,0,1.0,dense,1470.1199040767385,0.75,dense,vs_dense,selective_context_lite,0.0,0.0,0.0,0,417,0,1099.8273381294964,0.0,0.0,0.01,dense,-351.8332134292566,-391.17314148681055,-370.2925659472422,0,417,0,1.0,370.2925659472422
100k,dense_top10_selective_context,dense:selective_context_r0.85,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.8468827482709123,15.311725172908774,213.53417266187049,237.0667865707434,2.274812481421129e-70,0,0,1.0,dense,1470.1199040767385,0.85,dense,vs_dense,selective_context_lite,0.0,0.0,0.0,0,417,0,1245.0191846522782,0.0,0.0,0.01,dense,-213.60911270983215,-237.44400479616309,-225.10071942446044,0,417,0,1.0,225.10071942446044
100k,dense_top10_selective_context,dense:selective_context_r0.90,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.8957588411849147,10.424115881508534,145.43399280575542,161.2273381294964,2.272537997511628e-70,0,0,1.0,dense,1470.1199040767385,0.9,dense,vs_dense,selective_context_lite,0.0,0.0,0.0,0,417,0,1316.8729016786572,0.0,0.0,0.01,dense,-145.66834532374102,-161.29532374100717,-153.24700239808155,0,417,0,1.0,153.24700239808155
100k,dense_top10_selective_context,dense:selective_context_r0.95,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.9433821610335378,5.661783896646222,78.95443645083932,87.48705035971223,2.2641954245102275e-70,0,0,1.0,dense,1470.1199040767385,0.95,dense,vs_dense,selective_context_lite,0.0,0.0,0.0,0,417,0,1386.8848920863309,0.0,0.0,0.01,dense,-79.07895683453238,-87.88741007194245,-83.23501199040767,0,417,0,1.0,83.23501199040767
100k,intentweight,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.016786570743405275,False,0.9357366566618819,6.426334333811812,46.66558752997603,139.41780575539568,1.155320141562371e-13,10,11,1.0,dense,1470.1199040767385,,,vs_dense,none,-0.002130537397220623,-0.04796835609583686,-0.02567624359983576,11,396,10,1375.6450839328538,0.009279243272049027,-0.017828713987575184,0.01,intentweight,-48.11720623501199,-139.55047961630694,-94.4748201438849,6,273,9,0.6690647482014388,94.4748201438849
100k,intentweight,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.011990407673860911,False,0.9286294532167559,7.1370546783244055,53.57673860911273,153.0410071942446,6.177566253542725e-14,7,9,0.803619384765625,dense,1470.1199040767385,,,vs_dense,none,-0.012055598206909924,-0.05280140524093637,-0.03149777684942656,9,401,7,1365.1966426858514,0.008989950896425717,-0.01936240091260671,0.01,intentweight,-51.78153477218233,-155.0333333333333,-104.92326139088729,3,277,8,0.6714628297362111,104.92326139088729
100k,intentweight,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.016786570743405275,0.03117505995203837,False,0.9501957457914656,4.98042542085344,25.969544364508412,111.77511990407672,1.0736501239574712e-10,14,11,0.6900379657745361,dense,1470.1199040767385,,,vs_dense,none,0.002671647910810021,-0.04359580323500566,-0.02106850122230921,11,392,14,1396.9016786570744,0.0255405199649804,-0.010880343802186084,0.01,intentweight,-29.93423261390889,-113.44994004796163,-73.21822541966426,7,258,8,0.6354916067146283,73.21822541966426
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.75,417,0.86810551558753,0.8705035971223022,-0.002398081534772182,-0.023980815347721823,0.019184652278177457,False,0.6999119143938405,30.00880856061595,398.7940047961631,484.4106115107914,6.172549395544509e-61,10,11,1.0,dense,1470.1199040767385,0.75,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_dense,selective_context_lite,-0.002998355830934639,-0.04883111416524342,-0.02567624359983576,11,396,10,1028.9544364508392,0.009279243272049027,-0.017828713987575184,0.01,intentweight,-398.2011990407674,-486.5275179856115,-441.1654676258993,9,367,11,0.9016786570743405,441.1654676258993
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.75,417,0.8657074340527577,0.8705035971223022,-0.004796163069544364,-0.023980815347721823,0.014388489208633094,False,0.6943364217669321,30.566357823306788,404.6533573141487,499.5966426858513,2.0270508607224706e-61,7,9,0.803619384765625,dense,1470.1199040767385,0.75,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_dense,selective_context_lite,-0.011673048969392934,-0.05213096618540366,-0.03149777684942656,9,401,7,1020.757793764988,0.008989950896425717,-0.01936240091260671,0.01,intentweight,-404.35059952038375,-494.318824940048,-449.3621103117506,7,374,9,0.9136690647482014,449.3621103117506
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:selective_context_r0.75,417,0.8776978417266187,0.8705035971223022,0.007194244604316547,-0.016786570743405275,0.03117505995203837,False,0.7105033929270521,28.94966070729479,388.389448441247,460.3576738609112,2.4189149478207225e-62,14,11,0.6900379657745361,dense,1470.1199040767385,0.75,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_dense,selective_context_lite,0.0030421428643023734,-0.04432264007423708,-0.02106850122230921,11,392,14,1044.525179856115,0.0255405199649804,-0.010880343802186084,0.01,intentweight,-388.51013189448446,-462.3008992805755,-425.5947242206235,14,362,11,0.9016786570743405,425.5947242206235
