selector,margin_pp,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
learned_confidence,0.0,13,0.8,4,0.6,0.7050349703106257,0.8705035971223022,14,dense_top10,1470.1199040767385,-0.013695114776964836,-0.061303654568508205,-0.03762212949449367,0.012050359712229888,-0.03357314148681055,-0.009592326139088728,14,393,10,0.5412561893463135,0.8609112709832134,learned_confidence,10,learned_confidence:r0.80:m4:c0.60,1314.6258992805756,0.008419930722088995,-0.02470034529742905,False,0.0,417,100k,-109.02763788968826,-205.67200239808153,-155.49400479616307,3,249,11,0.60431654676259,0.8942303927965549,203.28938848920862,111.27440047961632,155.49400479616307,10.576960720344509,4.706369395751738e-14
learned_confidence,0.0,17,0.8,4,0.6,0.6252603939165469,0.8705035971223022,12,dense_top10,1470.1199040767385,-0.02276849378088216,-0.06454327003392062,-0.044146638205184476,0.004796163069544364,-0.03597122302158273,-0.014388489208633094,12,399,6,0.237884521484375,0.8561151079136691,learned_confidence,6,learned_confidence:r0.80:m4:c0.60,1286.4340527577938,0.007678619009554261,-0.02640771892081012,False,0.0,417,100k,-139.29100719424468,-233.58087529976018,-183.68585131894486,4,268,11,0.6522781774580336,0.875053830092653,231.35713429256592,138.0025779376499,183.68585131894486,12.494616990734697,7.187755156280121e-20
learned_confidence,0.0,19,0.8,4,0.6,0.6679693475567091,0.8705035971223022,14,dense_top10,1470.1199040767385,-0.009528517319000455,-0.05749490152615929,-0.03382383807836549,0.023980815347721823,-0.02877697841726619,-0.002398081534772182,14,390,13,1.0,0.86810551558753,learned_confidence,13,learned_confidence:r0.80:m4:c0.60,1321.9592326139089,0.02424536561227209,-0.01750187718352241,False,0.0,417,100k,-106.90107913669065,-189.87002398081535,-148.16067146282973,6,261,12,0.6402877697841727,0.899218648049067,188.91480815347714,104.86900479616308,148.16067146282973,10.078135195093296,6.043604980160873e-16
geometry_similarity,0.0,13,0.8,4,0.6,0.34141799807548523,0.8705035971223022,14,dense_top10,1470.1199040767385,-0.021400312351999306,-0.06739891058492212,-0.04447328388968181,0.007194244604316547,-0.03597122302158273,-0.014388489208633094,14,395,8,0.28627872467041016,0.8561151079136691,geometry_similarity,8,geometry_similarity:r0.80:m4:c0.60,1336.0359712230215,0.007777587453846447,-0.025945258029539366,False,0.0,417,100k,-72.89478417266196,-188.10755395683452,-134.08393285371702,4,281,12,0.6834532374100719,0.9087938796815869,188.66348920863305,77.60155875299759,134.08393285371702,9.120612031841313,7.971359294984885e-17
geometry_similarity,0.0,17,0.8,4,0.6,0.32324451208114624,0.8705035971223022,11,dense_top10,1470.1199040767385,-0.020801112356867754,-0.06190486896197328,-0.04155999875424337,0.004796163069544364,-0.03117505995203837,-0.011990407673860911,11,400,6,0.332305908203125,0.8585131894484412,geometry_similarity,6,geometry_similarity:r0.80:m4:c0.60,1327.8249400479617,0.008047847436336646,-0.023692515440876298,False,0.0,417,100k,-94.33045563549162,-193.0086330935252,-142.29496402877697,4,263,10,0.6402877697841727,0.9032085997651051,192.72823741007193,94.50131894484413,142.29496402877697,9.679140023489484,4.200692257538977e-14
geometry_similarity,0.0,19,0.8,4,0.6,0.3671705424785614,0.8705035971223022,15,dense_top10,1470.1199040767385,-0.011115735117533729,-0.059058820043532266,-0.035412535772248,0.02158273381294964,-0.03117505995203837,-0.004796163069544364,15,389,13,0.8505540192127228,0.8657074340527577,geometry_similarity,13,geometry_similarity:r0.80:m4:c0.60,1355.5419664268586,0.024132122873130067,-0.0168291625680354,False,0.0,417,100k,-72.83153477218231,-154.78669064748203,-114.5779376498801,6,251,14,0.6163069544364509,0.922062181913089,155.0136690647482,73.48477218225422,114.5779376498801,7.793781808691103,3.905494268713983e-12
shuffled_confidence,0.0,13,0.8,4,0.6,0.7050349703106257,0.8705035971223022,14,dense_top10,1470.1199040767385,-0.015971188342653243,-0.06309810898855181,-0.03921942308819014,0.007194244604316547,-0.03597122302158273,-0.014388489208633094,14,395,8,0.28627872467041016,0.8561151079136691,shuffled_confidence,8,shuffled_confidence:r0.80:m4:c0.60,1360.6402877697842,0.007810894141829394,-0.02395226989448675,False,0.0,417,100k,-45.70305755395685,-166.39190647482013,-109.47961630695444,3,255,9,0.6187050359712231,0.9255301448518858,167.01498800959226,47.500359712230235,109.47961630695444,7.446985514811422,5.322132665619393e-12
shuffled_confidence,0.0,17,0.8,4,0.6,0.6252603939165469,0.8705035971223022,7,dense_top10,1470.1199040767385,-0.01585187910277839,-0.05684114721210045,-0.036458322519473604,0.014388489208633094,-0.019184652278177457,-0.002398081534772182,7,404,6,1.0,0.86810551558753,shuffled_confidence,6,shuffled_confidence:r0.80:m4:c0.60,1308.2014388489208,0.009136500323550683,-0.0224976158673207,False,0.0,417,100k,-105.33776978417268,-219.5595323741007,-161.91846522781773,3,273,6,0.6618705035971223,0.889860368002088,218.69094724220622,105.15929256594725,161.91846522781773,11.013963199791199,4.463647223170066e-19
shuffled_confidence,0.0,19,0.8,4,0.6,0.6679693475567091,0.8705035971223022,12,dense_top10,1470.1199040767385,-0.007779121082891872,-0.05441363143251631,-0.03171029082093334,0.02158273381294964,-0.023980815347721823,-0.002398081534772182,12,394,11,1.0,0.86810551558753,shuffled_confidence,11,shuffled_confidence:r0.80:m4:c0.60,1335.8489208633093,0.024162574702143048,-0.015678726101991877,False,0.0,417,100k,-77.10131894484415,-182.15953237410068,-134.27098321342925,8,263,9,0.6498800959232613,0.9086666449171343,181.59526378896874,79.05047961630696,134.27098321342925,9.133335508286567,5.934990197000204e-16
random_selector,0.0,13,0.75,4,0.6,0.36568601895344555,0.8705035971223022,11,dense_top10,1470.1199040767385,-0.012406932641675895,-0.059714141248577476,-0.036317081578803236,0.011990407673860911,-0.026378896882494004,-0.007194244604316547,11,398,8,0.6476058959960938,0.8633093525179856,random_selector,8,random_selector:r0.75:m4:c0.60,1294.9736211031175,0.008650222678999658,-0.02283003833753432,False,0.0,417,100k,-107.552757793765,-238.01708633093523,-175.1462829736211,7,284,8,0.697841726618705,0.8808625864543913,235.08663069544363,109.66007194244605,175.1462829736211,11.91374135456087,4.6669643929572565e-23
