selector,seed,action,auroc,auroc_ci_high,auroc_ci_low,average_precision,average_precision_ci_high,average_precision_ci_low,calibration_examples,isotonic_brier,isotonic_brier_ci_high,isotonic_brier_ci_low,isotonic_ece,isotonic_ece_ci_high,isotonic_ece_ci_low,raw_brier,raw_brier_ci_high,raw_brier_ci_low,raw_ece,raw_ece_ci_high,raw_ece_ci_low,test_examples,test_safe_prevalence
geometry_feedback,13,token_budget_r0.85_m4,0.48345070422535213,0.7429949139280123,0.20681221983501763,0.9725352423162401,0.9957526251505053,0.944341465327814,154,0.021728715232753725,0.03768220094049274,0.008321681326063523,0.008743562103245894,0.025401245658162607,0.00029943705833045673,0.125640243557869,0.14211439424459643,0.10975132329622822,0.24983198595123088,0.2752129912221573,0.22601252964337423,363,0.977961432506887
geometry_no_feedback,13,token_budget_r0.85_m4,0.16549295774647887,0.2742965095974466,0.07532655052484145,0.9563183303514865,0.9846085879255809,0.9236248766030285,154,0.023661544165731303,0.040128205550890896,0.00972044291361988,0.02306776317012818,0.039721558823407825,0.00966757037606228,0.3725387027693225,0.38595772453408506,0.35943185385469373,0.5763191025365482,0.5963393481207124,0.5557122297667111,363,0.977961432506887
random_feedback,13,token_budget_r0.85_m4,0.6316901408450705,0.8118856987239339,0.47930667512176905,0.9885460272938494,0.9969664669132361,0.978106601402527,154,0.021766495746411194,0.037821422813032225,0.008637959690450451,0.006504103780604509,0.02292207969848609,0.00026816435529986027,0.2701634163755964,0.28853119944510935,0.25145390238604737,0.4645123405613949,0.4888622032084641,0.43917777851539597,363,0.977961432506887
random_no_feedback,13,token_budget_r0.85_m4,0.2721830985915493,0.5129189944134074,0.06850946617008069,0.9525585361156755,0.9873321406226444,0.9153849230035457,154,0.022355012880933244,0.03875219530897737,0.00870172229858411,0.0073378412221387634,0.02295059623572035,0.00037748752624800765,0.4974806354155537,0.5083223882464171,0.4861308282931537,0.6841857716359054,0.7001443307354184,0.6650146082536248,363,0.977961432506887
dense_budget_only,13,token_budget_r0.85_m4,0.5,0.5,0.5,0.977961432506887,0.9917355371900827,0.9614325068870524,154,0.021634799674941353,0.037734402551403735,0.008218463944556036,0.009051554506100068,0.025580480125934724,0.0007870916961827401,0.02203856749311295,0.03856749311294766,0.008264462809917356,0.02203856749311295,0.038567493112947604,0.008264462809917328,363,0.977961432506887
geometry_feedback,17,token_budget_r0.85_m4,0.3799295774647887,0.5472984370164036,0.2178328611898017,0.9744600000791178,0.9923864341867457,0.9506430743415649,154,0.022037758069065196,0.03838284421343516,0.008513477599331546,0.009879299454284451,0.026082944962279996,0.0007037785303604744,0.14491286289224115,0.16266424348240352,0.12768641965653368,0.28005903432103446,0.3055405111271727,0.255164897415791,363,0.977961432506887
geometry_no_feedback,17,token_budget_r0.85_m4,0.19260563380281692,0.3619883627608345,0.03739492565262485,0.9500262809445452,0.9843525071192797,0.9121146664144392,154,0.022630961575539656,0.03906372596176357,0.00890008276583106,0.009028028719846981,0.026788004530069638,0.00045163119822320963,0.38930408518890314,0.40500847363983944,0.37459249129688843,0.5872170490010054,0.6074434313553669,0.5650008172422811,363,0.977961432506887
random_feedback,17,token_budget_r0.85_m4,0.5517605633802818,0.8238369600904714,0.2904750006137185,0.9791892237461222,0.9963449953776732,0.9566857085426023,154,0.021939296089460242,0.03783029152318401,0.009029268464940045,0.01886990996804884,0.03449055498337218,0.005556685970836974,0.26737801980066417,0.28541699257486713,0.24849259052731845,0.45896245629278526,0.4829108534594962,0.4344414190022458,363,0.977961432506887
random_no_feedback,17,token_budget_r0.85_m4,0.36091549295774644,0.5508486101032799,0.18298800984241856,0.9721667329707792,0.9922859288043581,0.9475787012831134,154,0.021859006900504793,0.037922846974456914,0.008430503568425361,0.00845995250670506,0.024492107781694698,0.00018645904149398597,0.4814755778480406,0.49191701334830096,0.4699939917084018,0.6740960397503593,0.6895173227347783,0.655489720787966,363,0.977961432506887
dense_budget_only,17,token_budget_r0.85_m4,0.5,0.5,0.5,0.977961432506887,0.9917355371900827,0.9614325068870524,154,0.021634799674941353,0.037734402551403735,0.008218463944556036,0.009051554506100068,0.025580480125934724,0.0007870916961827401,0.02203856749311295,0.03856749311294766,0.008264462809917356,0.02203856749311295,0.038567493112947604,0.008264462809917328,363,0.977961432506887
geometry_feedback,19,token_budget_r0.85_m4,0.43767605633802814,0.5880264587212908,0.28322746300244317,0.9790446364125936,0.9939870666879531,0.9607245832200744,154,0.0233108520562281,0.03988343160509421,0.009834138056920221,0.021543754986781773,0.03804288803479684,0.0077626651409276005,0.12806692117030852,0.1438311870206851,0.1119669815955605,0.2535605479023525,0.27989824668787006,0.2293512138917009,363,0.977961432506887
geometry_no_feedback,19,token_budget_r0.85_m4,0.2454225352112676,0.37604366513830817,0.12365610539879283,0.9605925020310849,0.9880916773987429,0.9279027052847276,154,0.02254812499565747,0.0390631574507482,0.008785363758272581,0.008020062312363518,0.02469446531430018,0.0004447511111275171,0.359639449797928,0.37200480698368127,0.34629084121640963,0.5681422736198121,0.5870227953044508,0.5474183509726662,363,0.977961432506887
random_feedback,19,token_budget_r0.85_m4,0.5341549295774647,0.7769142341494033,0.2928968778522645,0.9810184119573178,0.9959325570919912,0.9623794712730114,154,0.021840368401685063,0.03825038428084532,0.008308478505610001,0.009189708108176764,0.024791738507378813,0.0006872343540850868,0.26013937454366043,0.27744141024906244,0.24317158096006236,0.44956141772551633,0.4745364492749357,0.42378976383242417,363,0.977961432506887
random_no_feedback,19,token_budget_r0.85_m4,0.5084507042253521,0.7561435704623218,0.272513770853006,0.9790933993141661,0.9959343631521679,0.9600870569016383,154,0.022385204233211033,0.03849419235526378,0.009213776993492708,0.01989214121633038,0.03615663922901626,0.006726697630253099,0.4877162537616246,0.49842280365123176,0.4760016399576149,0.679918714606565,0.6951701626366329,0.6635229690729052,363,0.977961432506887
dense_budget_only,19,token_budget_r0.85_m4,0.5,0.5,0.5,0.977961432506887,0.9917355371900827,0.9614325068870524,154,0.021634799674941353,0.037734402551403735,0.008218463944556036,0.009051554506100068,0.025580480125934724,0.0007870916961827401,0.02203856749311295,0.03856749311294766,0.008264462809917356,0.02203856749311295,0.038567493112947604,0.008264462809917328,363,0.977961432506887
