seed,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,contrast,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_dense_saving_pct,method_hit@10,method_label,method_only_hits,method_run_id,method_score_threshold,method_selector,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,reference_dense_saving_pct,reference_score_threshold,reference_selector,saving_target_pct,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
13,0.8585131894484412,1,geometry_no_feedback:target5,1392.5395683453237,feedback_effect_geometry,0.008571542676293358,-0.002815314027327173,0.0026954313545730067,0.019184652278177457,-0.002398081534772182,0.007194244604316547,1,412,4,0.375,3.9954978467962885,0.8657074340527577,geometry_feedback,4,geometry_feedback:target5,0.9301249198330068,geometry_feedback,1411.8705035971223,0.0007127631228350653,-0.00039465213828351317,False,0.0,417,5.0017943364217645,0.4415777623653412,geometry_no_feedback,5.0,100k,45.37715827338129,-4.389808153477216,19.33093525179856,0,60,1,0.14388489208633093,1.0138817852585462,4.432194244604314,-44.0470623501199,-19.33093525179856,-1.388178525854622,0.999886425692212
17,0.8633093525179856,0,geometry_no_feedback:target5,1394.5395683453237,feedback_effect_geometry,0.009963725504146611,-0.0015107797326849666,0.0036913013252631213,0.016786570743405275,0.0,0.007194244604316547,0,414,3,0.25,3.9954978467962885,0.8705035971223022,geometry_feedback,3,geometry_feedback:target5,0.893437709139039,geometry_feedback,1411.021582733813,0.0007460698108180123,0.0004890993540623553,True,0.0,417,5.0017943364217645,0.44373664259910583,geometry_no_feedback,5.0,100k,36.21894484412468,-2.1223621103117507,16.48201438848921,0,64,0,0.15347721822541965,1.0118189650280385,2.1818944844124593,-35.846762589928055,-16.48201438848921,-1.1818965028038475,0.999334329536241
19,0.8609112709832134,0,geometry_no_feedback:target5,1402.68345323741,feedback_effect_geometry,0.008107388063276795,-0.0009456687523544379,0.003260823196943266,0.016786570743405275,0.0,0.007194244604316547,0,414,3,0.25,3.9954978467962885,0.86810551558753,geometry_feedback,3,geometry_feedback:target5,0.9159969741897146,geometry_feedback,1411.2517985611512,0.0007727151612043698,0.0006094573008613751,True,0.0,417,5.0017943364217645,0.45456963777542114,geometry_no_feedback,5.0,100k,24.808573141486793,-7.810011990407671,8.568345323741006,0,60,0,0.14388489208633093,1.0061085381052761,7.37529976019184,-23.550779376498795,-8.568345323741006,-0.6108538105276118,0.9984928601781308
13,0.841726618705036,1,geometry_no_feedback:target10,1320.4172661870505,feedback_effect_geometry,0.023710015492606647,0.0021396692170073464,0.01225951169203464,0.03357314148681055,0.007194244604316547,0.019184652278177457,1,407,9,0.021484375,9.506448736352166,0.8609112709832134,geometry_feedback,9,geometry_feedback:target10,0.38951424724665046,geometry_feedback,1329.6235011990407,0.002496098359407712,0.004022997128869166,True,0.0,417,10.137674539997384,0.4415777623653412,geometry_no_feedback,10.0,100k,38.93015587529975,-17.154196642685847,9.206235011990408,0,228,1,0.5467625899280576,1.0069722164710666,17.309712230215826,-37.31001199040767,-9.206235011990408,-0.6972216471066606,0.4530421296945567
17,0.8489208633093526,2,geometry_no_feedback:target10,1321.549160671463,feedback_effect_geometry,0.01879236791936804,-0.001374651883210554,0.008371193774939743,0.026378896882494004,0.0,0.011990407673860911,2,408,7,0.1796875,9.506448736352166,0.8609112709832134,geometry_feedback,7,geometry_feedback:target10,0.3354609640230188,geometry_feedback,1332.904076738609,0.001690076510220395,0.0023559857605459722,True,0.0,417,10.137674539997384,0.44373664259910583,geometry_no_feedback,10.0,100k,47.13519184652271,-24.858932853717025,11.354916067146283,0,238,2,0.5707434052757794,1.0085921253670025,24.462410071942383,-46.362949640287766,-11.354916067146283,-0.859212536700249,0.35926844039628203
19,0.8465227817745803,2,geometry_no_feedback:target10,1321.2853717026378,feedback_effect_geometry,0.02136732825263896,0.0016339645107320629,0.010688387638896197,0.02877697841726619,0.0,0.014388489208633094,2,407,8,0.109375,9.506448736352166,0.8609112709832134,geometry_feedback,8,geometry_feedback:target10,0.38713739041778533,geometry_feedback,1328.5635491606715,0.0019898367020669177,0.0032000950588597023,True,0.0,417,10.137674539997384,0.45456963777542114,geometry_no_feedback,10.0,100k,45.28818944844123,-30.4652278177458,7.278177458033573,0,243,2,0.5827338129496403,1.0055084068997562,30.08866906474819,-44.3552757793765,-7.278177458033573,-0.550840689975618,0.22943341477950974
13,0.8465227817745803,2,geometry_no_feedback:target15,1270.0263788968825,feedback_effect_geometry,0.01243985282739624,-0.008434919626621434,0.0020666822266921505,0.023980815347721823,-0.002398081534772182,0.009592326139088728,2,409,6,0.2890625,13.796272130149202,0.8561151079136691,geometry_feedback,6,geometry_feedback:target15,0.7541204010831316,geometry_feedback,1271.326139088729,0.0008935708575996346,-0.0011480728321452288,False,0.0,417,13.72477054243333,0.37102270126342773,geometry_no_feedback,15.0,100k,33.84250599520384,-30.930815347721815,1.2997601918465227,0,121,2,0.290167865707434,1.0010234119648564,30.10095923261391,-34.99142685851318,-1.2997601918465227,-0.10234119648564466,0.8942604985103793
17,0.8489208633093526,2,geometry_no_feedback:target15,1264.609112709832,feedback_effect_geometry,0.010220515146324495,-0.00797464457900763,0.0013396448090072497,0.009592326139088728,-0.009592326139088728,0.0,2,413,2,1.0,13.796272130149202,0.8489208633093526,geometry_feedback,2,geometry_feedback:target15,0.709152257364208,geometry_feedback,1266.9112709832134,-0.00020554984583761554,-0.00043980829656253194,False,0.0,417,13.72477054243333,0.3576866388320923,geometry_no_feedback,15.0,100k,30.876258992805752,-29.26043165467624,2.302158273381295,0,119,2,0.2853717026378897,1.0018204504856432,27.106354916067115,-30.38603117505994,-2.302158273381295,-0.18204504856431658,0.9430496491365609
19,0.8465227817745803,2,geometry_no_feedback:target15,1270.4124700239809,feedback_effect_geometry,0.009452081304056618,-0.01172064236951982,-0.0009756458156358934,0.011990407673860911,-0.007194244604316547,0.002398081534772182,2,412,3,1.0,13.796272130149202,0.8489208633093526,geometry_feedback,3,geometry_feedback:target15,0.7292100693809664,geometry_feedback,1263.6570743405275,0.00014750104678162233,-0.001870719200421478,False,0.0,417,13.72477054243333,0.38991880416870117,geometry_no_feedback,15.0,100k,23.642625899280564,-39.792745803357306,-6.755395683453237,0,116,2,0.27817745803357313,0.9946825178098844,39.92272182254193,-26.11978417266186,6.755395683453237,0.531748219011563,0.8133606014117328
13,0.8561151079136691,2,geometry_no_feedback:target20,1209.515587529976,feedback_effect_geometry,0.006034480931451285,-0.0034327885877594357,0.001298453698602545,0.004796163069544364,-0.009592326139088728,-0.002398081534772182,2,414,1,1.0,18.32941841750402,0.8537170263788969,geometry_feedback,1,geometry_feedback:target20,0.38951424724665046,geometry_feedback,1200.9520383693045,-0.0002664535038635758,0.0010472959340189934,False,0.0,417,17.54442341989647,0.2659912705421448,geometry_no_feedback,20.0,100k,13.29994004796163,-34.827697841726604,-8.563549160671462,0,61,0,0.14628297362110312,0.9929198521714303,33.896402877697746,-12.292266187050357,8.563549160671462,0.7080147828569694,0.9999988889200225
