split,seed,hit_delta_vs_dense_pp,token_saving_vs_dense_pct,first_relevant_rank_on_hits,hit@10,num_queries,relevant_chunks_top10,stage,tokens,variant
calibration,13,1.6759776536312887,-1.4328759976257155,2.050955414012739,0.8770949720670391,179,1.9273743016759777,source,1498.8435754189943,dynamic_gated
test,13,0.7194244604316502,-6.769215711862198,1.8770491803278688,0.8776978417266187,417,2.105515587529976,source,1569.6354916067146,dynamic_gated
calibration,13,0.0,11.3718937025289,1.896103896103896,0.8603351955307262,179,1.8435754189944134,budget_r0.95_m4,1309.6312849162011,dynamic_gated
test,13,-0.23980815347721673,6.426334333811812,1.7845303867403315,0.86810551558753,417,2.047961630695444,budget_r0.95_m4,1375.6450839328538,dynamic_gated
calibration,17,1.1173184357541888,-1.7372203717916257,1.8397435897435896,0.8715083798882681,179,2.0391061452513966,source,1503.340782122905,dynamic_gated
test,17,0.7194244604316502,-5.621329766410033,1.8469945355191257,0.8776978417266187,417,2.1103117505995206,source,1552.7601918465227,dynamic_gated
calibration,17,0.0,11.23163064313072,1.7337662337662338,0.8603351955307262,179,1.9664804469273742,budget_r0.95_m4,1311.703910614525,dynamic_gated
test,17,-0.47961630695444457,7.1370546783244055,1.734072022160665,0.8657074340527577,417,2.050359712230216,budget_r0.95_m4,1365.1966426858514,dynamic_gated
calibration,19,1.1173184357541888,-3.2215135556118213,1.955128205128205,0.8715083798882681,179,2.022346368715084,source,1525.2737430167597,dynamic_gated
test,19,1.1990407673860837,-8.183479055200316,1.809782608695652,0.882494004796163,417,2.146282973621103,source,1590.4268585131895,dynamic_gated
calibration,19,0.5586592178770999,11.324635259335448,1.903225806451613,0.8659217877094972,179,1.9441340782122905,budget_r0.95_m4,1310.3296089385474,dynamic_gated
test,19,0.7194244604316502,4.98042542085344,1.7622950819672132,0.8776978417266187,417,2.091127098321343,budget_r0.95_m4,1396.9016786570744,dynamic_gated
calibration,13,0.5586592178770999,-2.545906851718116,1.696774193548387,0.8659217877094972,179,2.122905027932961,source,1515.2905027932961,fixed_full
test,13,1.4388489208633115,-6.8979185697507495,1.9403794037940378,0.8848920863309353,417,2.304556354916067,source,1571.5275779376498,fixed_full
calibration,13,0.0,9.706506164391326,1.6493506493506493,0.8603351955307262,179,2.0279329608938546,budget_r0.95_m4,1334.2402234636872,fixed_full
test,13,0.7194244604316502,6.025871068772015,1.8743169398907105,0.8776978417266187,417,2.237410071942446,budget_r0.95_m4,1381.5323741007194,fixed_full
calibration,17,1.6759776536312887,-3.992393280983575,1.8089171974522293,0.8770949720670391,179,2.0726256983240225,source,1536.6648044692738,fixed_full
test,17,0.7194244604316502,-7.9748466657966866,1.8961748633879782,0.8776978417266187,417,2.306954436450839,source,1587.3597122302158,fixed_full
calibration,17,1.1173184357541888,9.095927078331822,1.7564102564102564,0.8715083798882681,179,1.994413407821229,budget_r0.95_m4,1343.2625698324023,fixed_full
test,17,-0.47961630695444457,4.865261646874586,1.7867036011080333,0.8657074340527577,417,2.223021582733813,budget_r0.95_m4,1398.5947242206234,fixed_full
calibration,19,1.1173184357541888,-2.1273860787968335,1.75,0.8715083798882681,179,2.089385474860335,source,1509.1061452513966,fixed_full
test,19,1.918465227817745,-8.355409108704158,1.9676549865229112,0.8896882494004796,417,2.3333333333333335,source,1592.9544364508392,fixed_full
calibration,19,0.5586592178770999,10.454323769484663,1.7032258064516128,0.8659217877094972,179,2.016759776536313,budget_r0.95_m4,1323.1899441340781,fixed_full
test,19,0.9592326139088669,4.914361216233843,1.88283378746594,0.8800959232613909,417,2.26378896882494,budget_r0.95_m4,1397.8729016786572,fixed_full
calibration,13,-6.145251396648044,-3.341739035096003,1.979020979020979,0.7988826815642458,179,1.770949720670391,source,1527.0502793296089,fixed_cluster_primary
test,13,-8.633093525179858,-5.466364348166519,1.871559633027523,0.7841726618705036,417,1.788968824940048,source,1550.4820143884892,fixed_cluster_primary
calibration,13,-7.2625698324022325,10.180980934053686,1.8652482269503545,0.7877094972067039,179,1.6983240223463687,budget_r0.95_m4,1327.2290502793296,fixed_cluster_primary
test,13,-9.352517985611508,7.3954391230588445,1.7932098765432098,0.7769784172661871,417,1.7458033573141487,budget_r0.95_m4,1361.3980815347722,fixed_cluster_primary
calibration,17,-14.525139664804465,2.9353164236322504,1.921875,0.7150837988826816,179,1.6480446927374302,source,1434.296089385475,fixed_cluster_primary
test,17,-12.230215827338132,-4.418634999347515,1.9743589743589745,0.7482014388489209,417,1.724220623501199,source,1535.0791366906474,fixed_cluster_primary
calibration,17,-15.083798882681565,15.151813022914673,1.858267716535433,0.7094972067039106,179,1.5921787709497206,budget_r0.95_m4,1253.7765363128492,fixed_cluster_primary
test,17,-13.669064748201443,8.93971029622862,1.8202614379084967,0.7338129496402878,417,1.6642685851318946,budget_r0.95_m4,1338.695443645084,fixed_cluster_primary
calibration,19,-11.731843575418988,-3.741734498285454,2.007518796992481,0.7430167597765364,179,1.670391061452514,source,1532.9608938547485,fixed_cluster_primary
test,19,-9.352517985611508,-7.805526556179054,1.845679012345679,0.7769784172661871,417,1.8465227817745804,source,1584.8705035971223,fixed_cluster_primary
calibration,19,-12.849162011173188,11.887955902201487,1.8854961832061068,0.7318435754189944,179,1.5810055865921788,budget_r0.95_m4,1302.0055865921788,fixed_cluster_primary
test,19,-9.352517985611508,4.4613728304841445,1.8425925925925926,0.7769784172661871,417,1.8081534772182255,budget_r0.95_m4,1404.5323741007194,fixed_cluster_primary
calibration,13,-3.9106145251396662,-2.657814845200246,1.9523809523809523,0.8212290502793296,179,1.9217877094972067,source,1516.9441340782123,shuffled_tiers
test,13,-3.3573141486810565,-5.829962155813662,1.8681948424068768,0.8369304556354916,417,2.0239808153477217,source,1555.8273381294964,shuffled_tiers
calibration,13,-5.027932960893855,10.69364052581635,1.8413793103448275,0.8100558659217877,179,1.8324022346368716,budget_r0.95_m4,1319.6536312849162,shuffled_tiers
test,13,-4.076738609112718,6.386695811040055,1.7976878612716762,0.829736211031175,417,1.9808153477218224,budget_r0.95_m4,1376.2278177458033,shuffled_tiers
calibration,17,-5.586592178770944,0.8328828028415725,1.9097222222222223,0.8044692737430168,179,1.888268156424581,source,1465.36312849162,shuffled_tiers
test,17,-5.515587529976019,-5.934849275740595,1.8441176470588236,0.815347721822542,417,2.028776978417266,source,1557.369304556355,shuffled_tiers
calibration,17,-6.145251396648044,12.776036566693016,1.8531468531468531,0.7988826815642458,179,1.8379888268156424,budget_r0.95_m4,1288.8826815642458,shuffled_tiers
test,17,-6.714628297362113,8.325884118491455,1.7253731343283583,0.8033573141486811,417,1.9688249400479616,budget_r0.95_m4,1347.7194244604316,shuffled_tiers
calibration,19,-3.9106145251396662,-3.466879392672295,1.91156462585034,0.8212290502793296,179,1.8659217877094971,source,1528.8994413407822,shuffled_tiers
test,19,-2.877697841726623,-8.821447213884914,1.9686609686609686,0.841726618705036,417,2.115107913669065,source,1599.8057553956835,shuffled_tiers
calibration,19,-4.469273743016755,12.309123147941614,1.856164383561644,0.8156424581005587,179,1.7932960893854748,budget_r0.95_m4,1295.782122905028,shuffled_tiers
test,19,-3.597122302158273,4.90685762756099,1.8994252873563218,0.8345323741007195,417,2.0551558752997603,budget_r0.95_m4,1397.9832134292567,shuffled_tiers
calibration,13,0.0,0.0,1.7207792207792207,0.8603351955307262,179,2.0726256983240225,source,1477.6703910614526,dense
test,13,0.0,0.0,1.8760330578512396,0.8705035971223022,417,2.2661870503597124,source,1470.1199040767385,dense
calibration,13,-1.1173184357541888,15.932900572016194,1.611842105263158,0.8491620111731844,179,2.0,budget_r0.95_m4,1242.2346368715084,dense
test,13,-1.4388489208633115,13.834660054808822,1.7478991596638656,0.8561151079136691,417,2.1774580335731413,budget_r0.95_m4,1266.7338129496402,dense
calibration,17,0.0,0.0,1.7207792207792207,0.8603351955307262,179,2.0726256983240225,source,1477.6703910614526,dense
test,17,0.0,0.0,1.8760330578512396,0.8705035971223022,417,2.2661870503597124,source,1470.1199040767385,dense
calibration,17,-1.1173184357541888,15.932900572016194,1.611842105263158,0.8491620111731844,179,2.0,budget_r0.95_m4,1242.2346368715084,dense
test,17,-1.4388489208633115,13.834660054808822,1.7478991596638656,0.8561151079136691,417,2.1774580335731413,budget_r0.95_m4,1266.7338129496402,dense
calibration,19,0.0,0.0,1.7207792207792207,0.8603351955307262,179,2.0726256983240225,source,1477.6703910614526,dense
test,19,0.0,0.0,1.8760330578512396,0.8705035971223022,417,2.2661870503597124,source,1470.1199040767385,dense
calibration,19,-1.1173184357541888,15.932900572016194,1.611842105263158,0.8491620111731844,179,2.0,budget_r0.95_m4,1242.2346368715084,dense
test,19,-1.4388489208633115,13.834660054808822,1.7478991596638656,0.8561151079136691,417,2.1774580335731413,budget_r0.95_m4,1266.7338129496402,dense
