seed,bm25_support_at100,cluster_support_at100,dense_support_at100,first_relevant_prefix_ratio,first_relevant_prefix_tokens,first_relevant_rank,maximum_safe_token_saving,minimum_safe_ratio_grid,multiple_relevant,query_id,relevant_chunks_top10,route_confidence,route_support_count_at100,route_tier,safe_r0.85_m4,safe_r0.95_m4,source_hit,total_tokens_top10,variant
13,1,1,1,0.039316239316239315,23,1,0.5606837606837607,0.01,1,lotte_technology_search_100k_q336,4,0.7074692146311494,3,hybrid_lite,1,1,1,585,dynamic_gated
13,1,1,1,0.38818973862536305,401,2,0.46176185866408515,0.01,0,lotte_technology_search_100k_q76,1,0.6677920435993405,3,hybrid_lite,1,1,1,1033,dynamic_gated
13,1,1,1,0.02834008097165992,49,1,0.684788895315211,0.01,1,lotte_technology_search_100k_q426,2,0.9578866074922813,3,linucb_primary,1,1,1,1729,dynamic_gated
13,1,1,1,0.05099502487562189,41,1,0.6753731343283582,0.01,0,lotte_technology_search_100k_q2,1,0.6480050251082479,3,hybrid_lite,1,1,1,804,dynamic_gated
13,1,1,1,0.37250712250712253,523,1,0.47435897435897434,0.01,1,lotte_technology_search_100k_q447,3,0.6659225634061318,3,hybrid_lite,1,1,1,1404,dynamic_gated
13,1,1,1,0.4503271861986913,757,2,0.36109458655562165,0.01,0,lotte_technology_search_100k_q139,1,0.9519809630716493,3,linucb_primary,1,1,1,1681,dynamic_gated
13,1,1,1,0.18590308370044054,422,1,0.4074889867841409,0.01,1,lotte_technology_search_100k_q507,2,0.8677700152657015,3,linucb_primary,1,1,1,2270,dynamic_gated
13,0,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q58,0,0.9146506792364822,2,linucb_primary,0,0,0,832,dynamic_gated
13,1,1,1,0.16970278044103548,177,2,0.6720997123681687,0.01,1,lotte_technology_search_100k_q125,2,0.5862926906679875,3,hybrid_lite,1,1,1,1043,dynamic_gated
13,1,1,1,0.023537803138373753,66,1,0.5666904422253922,0.01,1,lotte_technology_search_100k_q462,4,0.9096463032297845,3,linucb_primary,1,1,1,2804,dynamic_gated
13,0,1,1,0.35723431498079383,279,4,0.6427656850192062,0.01,0,lotte_technology_search_100k_q57,1,0.9339844479989537,2,linucb_primary,1,1,1,781,dynamic_gated
13,1,1,1,0.09253547193090685,150,1,0.5595311536088834,0.01,1,lotte_technology_search_100k_q503,5,0.7803907404718763,3,linucb_primary,1,1,1,1621,dynamic_gated
13,1,1,1,0.10166919575113809,67,1,0.725341426403642,0.01,0,lotte_technology_search_100k_q264,1,0.3234550460467394,3,full_dense_fallback,1,1,1,659,dynamic_gated
13,0,0,0,nan,0,0,nan,nan,0,lotte_technology_search_100k_q166,0,0.5367181049652912,0,hybrid_lite,0,0,0,1578,dynamic_gated
13,1,0,1,0.2741228070175439,125,2,0.5285087719298245,0.01,1,lotte_technology_search_100k_q213,2,0.25600817988294405,2,full_dense_fallback,1,1,1,456,dynamic_gated
13,1,1,1,0.07507692307692308,122,1,0.7138461538461538,0.01,1,lotte_technology_search_100k_q578,7,0.6781253066453503,3,hybrid_lite,1,1,1,1625,dynamic_gated
13,1,0,1,0.04259259259259259,46,1,0.6333333333333333,0.01,1,lotte_technology_search_100k_q244,2,0.49188656413154963,2,hybrid_lite,1,1,1,1080,dynamic_gated
13,1,1,1,0.36386138613861385,294,3,0.5891089108910892,0.01,0,lotte_technology_search_100k_q117,1,0.9851393337673471,3,linucb_primary,1,1,1,808,dynamic_gated
13,0,1,1,0.9311575726670066,1826,8,0.0688424273329934,0.94,0,lotte_technology_search_100k_q280,1,0.9796994899689562,2,linucb_primary,0,1,1,1961,dynamic_gated
13,1,1,1,0.06155451225873761,118,1,0.596244131455399,0.01,1,lotte_technology_search_100k_q378,5,0.9368978968392278,3,linucb_primary,1,1,1,1917,dynamic_gated
13,1,1,1,1.0,1425,10,0.0,1.0,0,lotte_technology_search_100k_q11,1,0.7770478937869838,3,linucb_primary,0,0,1,1425,dynamic_gated
13,1,1,1,0.7713685193834656,3303,4,0.22863148061653438,0.01,0,lotte_technology_search_100k_q102,1,0.9739025167784132,3,linucb_primary,1,1,1,4282,dynamic_gated
13,1,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q363,0,0.5981646608251958,3,hybrid_lite,0,0,0,972,dynamic_gated
13,1,1,1,0.02142857142857143,51,1,0.7050420168067226,0.01,1,lotte_technology_search_100k_q446,9,0.7293086670491006,3,hybrid_lite,1,1,1,2380,dynamic_gated
13,1,0,1,0.2012012012012012,670,1,0.7417417417417418,0.01,0,lotte_technology_search_100k_q499,1,0.37302783428058517,2,full_dense_fallback,1,1,1,3330,dynamic_gated
13,1,1,1,0.07245575221238938,131,1,0.6476769911504425,0.01,0,lotte_technology_search_100k_q476,1,0.5083473157166242,3,hybrid_lite,1,1,1,1808,dynamic_gated
13,1,1,1,0.08456659619450317,80,1,0.726215644820296,0.01,1,lotte_technology_search_100k_q98,2,0.7630399956778483,3,linucb_primary,1,1,1,946,dynamic_gated
13,1,1,0,nan,0,0,nan,nan,0,lotte_technology_search_100k_q284,0,0.669087169462904,2,hybrid_lite,0,0,0,1451,dynamic_gated
13,1,1,1,0.1990324809951624,288,2,0.7470628887353145,0.01,0,lotte_technology_search_100k_q200,1,0.4275574289966432,3,full_dense_fallback,1,1,1,1447,dynamic_gated
13,1,1,1,0.625,690,5,0.375,0.63,0,lotte_technology_search_100k_q170,1,0.8956998844789693,3,linucb_primary,1,1,1,1104,dynamic_gated
13,0,1,1,0.3588093322606597,446,3,0.3942075623491552,0.01,1,lotte_technology_search_100k_q278,2,0.9770947708708909,2,linucb_primary,1,1,1,1243,dynamic_gated
13,1,1,1,0.10291734197730956,254,1,0.4870340356564019,0.01,1,lotte_technology_search_100k_q525,5,0.8680021789383379,3,linucb_primary,1,1,1,2468,dynamic_gated
13,1,1,1,0.09707724425887265,93,1,0.4248434237995825,0.01,1,lotte_technology_search_100k_q210,2,0.9334892505044596,3,linucb_primary,1,1,1,958,dynamic_gated
13,1,1,1,0.17979127134724857,379,1,0.5944022770398483,0.01,1,lotte_technology_search_100k_q425,9,0.9595462539326571,3,linucb_primary,1,1,1,2108,dynamic_gated
13,1,1,1,0.022433132010353754,52,1,0.8278688524590164,0.01,1,lotte_technology_search_100k_q0,2,0.8800456395778483,3,linucb_primary,1,1,1,2318,dynamic_gated
13,1,1,1,0.09282178217821782,150,1,0.5581683168316831,0.01,1,lotte_technology_search_100k_q516,5,0.7653606117926314,3,linucb_primary,1,1,1,1616,dynamic_gated
13,1,1,1,0.11695278969957082,218,1,0.45493562231759654,0.01,1,lotte_technology_search_100k_q436,2,0.7682865157018154,3,linucb_primary,1,1,1,1864,dynamic_gated
13,1,0,1,0.28060413354531,706,1,0.36367249602543716,0.01,0,lotte_technology_search_100k_q419,1,0.5064759145002857,2,hybrid_lite,1,1,1,2516,dynamic_gated
13,1,1,1,0.6911689637570189,1354,4,0.30883103624298114,0.01,0,lotte_technology_search_100k_q376,1,0.5389548130684712,3,hybrid_lite,1,1,1,1959,dynamic_gated
13,1,1,1,0.21803921568627452,278,1,0.5615686274509804,0.01,0,lotte_technology_search_100k_q500,1,0.8611402957223795,3,linucb_primary,1,1,1,1275,dynamic_gated
13,0,1,1,0.4762645914396887,612,3,0.4552529182879378,0.01,0,lotte_technology_search_100k_q445,1,0.6505582781829159,2,hybrid_lite,1,1,1,1285,dynamic_gated
13,1,1,0,nan,0,0,nan,nan,0,lotte_technology_search_100k_q115,0,0.5533944003679042,2,hybrid_lite,0,0,0,1518,dynamic_gated
13,1,0,1,0.08062418725617686,124,1,0.7197659297789336,0.01,0,lotte_technology_search_100k_q273,1,0.27825358522558247,2,full_dense_fallback,1,1,1,1538,dynamic_gated
13,1,1,1,0.2802795031055901,361,2,0.31444099378881984,0.01,0,lotte_technology_search_100k_q535,1,0.4893657527906588,3,hybrid_lite,1,1,1,1288,dynamic_gated
13,1,0,1,0.016701461377870562,48,1,0.6475295755045234,0.01,1,lotte_technology_search_100k_q329,5,0.40042973474977955,2,full_dense_fallback,1,1,1,2874,dynamic_gated
13,1,1,1,0.04751847940865892,90,1,0.616156282998944,0.01,1,lotte_technology_search_100k_q568,2,0.9714501008838384,3,linucb_primary,1,1,1,1894,dynamic_gated
13,1,1,1,0.02044907778668805,51,1,0.39735364875701684,0.01,1,lotte_technology_search_100k_q595,5,0.8549944916313571,3,linucb_primary,1,1,1,2494,dynamic_gated
13,1,1,1,0.1857379767827529,448,1,0.4299336650082919,0.01,0,lotte_technology_search_100k_q359,1,0.819601501235923,3,linucb_primary,1,1,1,2412,dynamic_gated
13,0,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q21,0,0.9107928693678458,2,linucb_primary,0,0,0,717,dynamic_gated
13,1,1,1,0.10605461020973486,268,1,0.4990106846062524,0.01,1,lotte_technology_search_100k_q560,3,0.37481218419836676,3,full_dense_fallback,1,1,1,2527,dynamic_gated
13,1,1,1,0.21830585559977259,384,1,0.28936895963615694,0.01,1,lotte_technology_search_100k_q396,3,0.780081258807793,3,linucb_primary,1,1,1,1759,dynamic_gated
13,1,1,1,0.015364061456245824,23,1,0.7835671342685371,0.01,1,lotte_technology_search_100k_q163,2,0.6819564454683739,3,hybrid_lite,1,1,1,1497,dynamic_gated
13,1,1,1,0.06126331811263318,161,1,0.4387366818873668,0.01,1,lotte_technology_search_100k_q527,7,0.7187882267980482,3,hybrid_lite,1,1,1,2628,dynamic_gated
13,1,1,1,0.056021469305602145,167,1,0.758470311975847,0.01,1,lotte_technology_search_100k_q423,4,0.9687190871403304,3,linucb_primary,1,1,1,2981,dynamic_gated
13,1,1,0,nan,0,0,nan,nan,0,lotte_technology_search_100k_q283,0,0.7130847666877264,2,hybrid_lite,0,0,0,843,dynamic_gated
13,1,1,1,0.31139122315592904,667,5,0.7343604108309991,0.27,1,lotte_technology_search_100k_q339,2,0.9380018491311999,3,linucb_primary,1,1,1,2142,dynamic_gated
13,1,1,1,0.17150956768249467,242,1,0.6151665485471297,0.01,0,lotte_technology_search_100k_q474,1,0.786172164038733,3,linucb_primary,1,1,1,1411,dynamic_gated
13,1,1,1,0.14868603042876902,215,1,0.44882434301521434,0.01,1,lotte_technology_search_100k_q343,5,0.8227163378467888,3,linucb_primary,1,1,1,1446,dynamic_gated
