seed,hit@10,original_confidence_tier,queries,stage,variant
13,0.937799043062201,linucb_primary,209,source,dynamic_gated
13,0.9425837320574163,linucb_primary,209,source,fixed_full
13,0.937799043062201,linucb_primary,209,source,fixed_cluster_primary
13,0.9473684210526315,linucb_primary,209,source,shuffled_tiers
13,0.9282296650717703,linucb_primary,209,source,dense
13,0.8193548387096774,hybrid_lite,155,source,dynamic_gated
13,0.832258064516129,hybrid_lite,155,source,fixed_full
13,0.7290322580645161,hybrid_lite,155,source,fixed_cluster_primary
13,0.7677419354838709,hybrid_lite,155,source,shuffled_tiers
13,0.8129032258064516,hybrid_lite,155,source,dense
13,0.8113207547169812,full_dense_fallback,53,source,dynamic_gated
13,0.8113207547169812,full_dense_fallback,53,source,fixed_full
13,0.33962264150943394,full_dense_fallback,53,source,fixed_cluster_primary
13,0.6037735849056604,full_dense_fallback,53,source,shuffled_tiers
13,0.8113207547169812,full_dense_fallback,53,source,dense
17,0.923469387755102,linucb_primary,196,source,dynamic_gated
17,0.9183673469387755,linucb_primary,196,source,fixed_full
17,0.923469387755102,linucb_primary,196,source,fixed_cluster_primary
17,0.9183673469387755,linucb_primary,196,source,shuffled_tiers
17,0.8979591836734694,linucb_primary,196,source,dense
17,0.88125,hybrid_lite,160,source,dynamic_gated
17,0.8875,hybrid_lite,160,source,fixed_full
17,0.775,hybrid_lite,160,source,fixed_cluster_primary
17,0.84375,hybrid_lite,160,source,shuffled_tiers
17,0.89375,hybrid_lite,160,source,dense
17,0.7213114754098361,full_dense_fallback,61,source,dynamic_gated
17,0.7213114754098361,full_dense_fallback,61,source,fixed_full
17,0.11475409836065574,full_dense_fallback,61,source,fixed_cluster_primary
17,0.4098360655737705,full_dense_fallback,61,source,shuffled_tiers
17,0.7213114754098361,full_dense_fallback,61,source,dense
19,0.9112149532710281,linucb_primary,214,source,dynamic_gated
19,0.9205607476635514,linucb_primary,214,source,fixed_full
19,0.9112149532710281,linucb_primary,214,source,fixed_cluster_primary
19,0.9158878504672897,linucb_primary,214,source,shuffled_tiers
19,0.9065420560747663,linucb_primary,214,source,dense
19,0.8481012658227848,hybrid_lite,158,source,dynamic_gated
19,0.8544303797468354,hybrid_lite,158,source,fixed_full
19,0.740506329113924,hybrid_lite,158,source,fixed_cluster_primary
19,0.7974683544303798,hybrid_lite,158,source,shuffled_tiers
19,0.8291139240506329,hybrid_lite,158,source,dense
19,0.8666666666666667,full_dense_fallback,45,source,dynamic_gated
19,0.8666666666666667,full_dense_fallback,45,source,fixed_full
19,0.26666666666666666,full_dense_fallback,45,source,fixed_cluster_primary
19,0.6444444444444445,full_dense_fallback,45,source,shuffled_tiers
19,0.8444444444444444,full_dense_fallback,45,source,dense
13,0.9234449760765551,linucb_primary,209,budget_r0.95_m4,dynamic_gated
13,0.9330143540669856,linucb_primary,209,budget_r0.95_m4,fixed_full
13,0.9234449760765551,linucb_primary,209,budget_r0.95_m4,fixed_cluster_primary
13,0.9330143540669856,linucb_primary,209,budget_r0.95_m4,shuffled_tiers
13,0.9138755980861244,linucb_primary,209,budget_r0.95_m4,dense
13,0.8129032258064516,hybrid_lite,155,budget_r0.95_m4,dynamic_gated
13,0.8258064516129032,hybrid_lite,155,budget_r0.95_m4,fixed_full
13,0.7290322580645161,hybrid_lite,155,budget_r0.95_m4,fixed_cluster_primary
13,0.7677419354838709,hybrid_lite,155,budget_r0.95_m4,shuffled_tiers
13,0.7935483870967742,hybrid_lite,155,budget_r0.95_m4,dense
13,0.8113207547169812,full_dense_fallback,53,budget_r0.95_m4,dynamic_gated
13,0.8113207547169812,full_dense_fallback,53,budget_r0.95_m4,fixed_full
13,0.33962264150943394,full_dense_fallback,53,budget_r0.95_m4,fixed_cluster_primary
13,0.6037735849056604,full_dense_fallback,53,budget_r0.95_m4,shuffled_tiers
13,0.8113207547169812,full_dense_fallback,53,budget_r0.95_m4,dense
17,0.9030612244897959,linucb_primary,196,budget_r0.95_m4,dynamic_gated
17,0.9081632653061225,linucb_primary,196,budget_r0.95_m4,fixed_full
17,0.9030612244897959,linucb_primary,196,budget_r0.95_m4,fixed_cluster_primary
17,0.9030612244897959,linucb_primary,196,budget_r0.95_m4,shuffled_tiers
17,0.8826530612244898,linucb_primary,196,budget_r0.95_m4,dense
17,0.88125,hybrid_lite,160,budget_r0.95_m4,dynamic_gated
17,0.875,hybrid_lite,160,budget_r0.95_m4,fixed_full
17,0.7625,hybrid_lite,160,budget_r0.95_m4,fixed_cluster_primary
17,0.83125,hybrid_lite,160,budget_r0.95_m4,shuffled_tiers
17,0.875,hybrid_lite,160,budget_r0.95_m4,dense
17,0.7049180327868853,full_dense_fallback,61,budget_r0.95_m4,dynamic_gated
17,0.7049180327868853,full_dense_fallback,61,budget_r0.95_m4,fixed_full
17,0.11475409836065574,full_dense_fallback,61,budget_r0.95_m4,fixed_cluster_primary
17,0.4098360655737705,full_dense_fallback,61,budget_r0.95_m4,shuffled_tiers
17,0.7213114754098361,full_dense_fallback,61,budget_r0.95_m4,dense
19,0.9112149532710281,linucb_primary,214,budget_r0.95_m4,dynamic_gated
19,0.9065420560747663,linucb_primary,214,budget_r0.95_m4,fixed_full
19,0.9112149532710281,linucb_primary,214,budget_r0.95_m4,fixed_cluster_primary
19,0.9112149532710281,linucb_primary,214,budget_r0.95_m4,shuffled_tiers
19,0.8785046728971962,linucb_primary,214,budget_r0.95_m4,dense
19,0.8354430379746836,hybrid_lite,158,budget_r0.95_m4,dynamic_gated
19,0.8481012658227848,hybrid_lite,158,budget_r0.95_m4,fixed_full
19,0.740506329113924,hybrid_lite,158,budget_r0.95_m4,fixed_cluster_primary
19,0.7848101265822784,hybrid_lite,158,budget_r0.95_m4,shuffled_tiers
19,0.8291139240506329,hybrid_lite,158,budget_r0.95_m4,dense
19,0.8666666666666667,full_dense_fallback,45,budget_r0.95_m4,dynamic_gated
19,0.8666666666666667,full_dense_fallback,45,budget_r0.95_m4,fixed_full
19,0.26666666666666666,full_dense_fallback,45,budget_r0.95_m4,fixed_cluster_primary
19,0.6444444444444445,full_dense_fallback,45,budget_r0.95_m4,shuffled_tiers
19,0.8444444444444444,full_dense_fallback,45,budget_r0.95_m4,dense
