judge_model,comparison,baseline,challenger,paired_queries,baseline_correct_rate,challenger_correct_rate,correct_delta_pp,correct_delta_ci_low_pp,correct_delta_ci_high_pp,mcnemar_exact_p,baseline_only_correct,challenger_only_correct,faithful_delta_pp,faithful_delta_ci_low_pp,faithful_delta_ci_high_pp,faithful_mcnemar_exact_p,baseline_only_faithful,challenger_only_faithful,context_token_saving_percent,context_token_saving_ci_low_percent,context_token_saving_ci_high_percent
deepseek-v4-flash,BGE IntentRoute vs BGE dense,bge_dense_top10,bge_intentweight_positive_seed19,300,0.9166666666666666,0.9166666666666666,0.0,-2.666666666666667,2.666666666666667,1.0,8,8,-2.3333333333333335,-5.666666666666666,1.0,0.2295229434967041,16,9,6.000467329174491,4.038948576408272,7.949733549996007
deepseek-v4-flash,E5 IntentRoute vs E5 dense,e5_dense_top10,e5_intentweight_full_seed19,300,0.9166666666666666,0.92,0.33333333333333337,-3.0,3.6666666666666665,1.0,12,13,0.33333333333333337,-2.666666666666667,3.6666666666666665,1.0,11,12,12.035804161556003,9.873029740282162,14.164358486910679
deepseek-v4-flash,IntentRoute+SentMMR vs Dense+SentMMR,dense_sent_mmr_r0.85_l0.70,intentweight_sent_mmr_r0.85_l0.70_seed19,300,0.89,0.9133333333333333,2.3333333333333335,-1.6666666666666667,6.333333333333334,0.3240086000878364,15,22,1.6666666666666667,-2.3333333333333335,5.666666666666666,0.49955983320251107,15,20,6.647846426843026,4.277024308302042,8.964735875786058
glm-5.2,BGE IntentRoute vs BGE dense,bge_dense_top10,bge_intentweight_positive_seed19,300,0.9033333333333333,0.8733333333333333,-3.0,-6.333333333333334,0.33333333333333337,0.10775214433670044,17,8,-3.6666666666666665,-7.333333333333333,0.0,0.06142834573984146,20,9,6.000467329174491,3.9784271731722285,7.9922483846532835
glm-5.2,E5 IntentRoute vs E5 dense,e5_dense_top10,e5_intentweight_full_seed19,300,0.8966666666666666,0.8833333333333333,-1.3333333333333335,-5.0,2.3333333333333335,0.5966148958541453,18,14,-2.666666666666667,-6.333333333333334,1.3333333333333335,0.22948101302608848,21,13,12.035804161556003,9.862794610648699,14.20470729077226
glm-5.2,IntentRoute+SentMMR vs Dense+SentMMR,dense_sent_mmr_r0.85_l0.70,intentweight_sent_mmr_r0.85_l0.70_seed19,300,0.8633333333333333,0.8666666666666667,0.33333333333333337,-3.6666666666666665,4.333333333333334,1.0,18,19,1.0,-2.666666666666667,4.666666666666667,0.7283324808813632,15,18,6.647846426843026,4.278371378591901,9.05304971849348
minimax-m3,BGE IntentRoute vs BGE dense,bge_dense_top10,bge_intentweight_positive_seed19,289,0.8719723183391004,0.8477508650519031,-2.422145328719723,-5.88235294117647,1.0380622837370241,0.24778856337070465,17,10,-2.422145328719723,-5.190311418685121,0.0,0.11846923828125,11,4,6.271035991476934,4.209502144562397,8.243939455615774
minimax-m3,E5 IntentRoute vs E5 dense,e5_dense_top10,e5_intentweight_full_seed19,289,0.8788927335640139,0.8512110726643599,-2.768166089965398,-6.920415224913495,1.0380622837370241,0.22948101302608848,21,13,-1.0380622837370241,-4.1522491349480966,2.0761245674740483,0.6776394844055176,13,10,11.967568646667027,9.812549311286313,14.16268828394315
minimax-m3,IntentRoute+SentMMR vs Dense+SentMMR,dense_sent_mmr_r0.85_l0.70,intentweight_sent_mmr_r0.85_l0.70_seed19,300,0.84,0.8533333333333334,1.3333333333333335,-2.666666666666667,5.333333333333334,0.6358280026288412,18,22,3.3333333333333335,0.33333333333333337,6.666666666666667,0.06391465663909912,7,17,6.647846426843026,4.227992884900967,9.09336954990398
three_judge_majority,BGE IntentRoute vs BGE dense,bge_dense_top10,bge_intentweight_positive_seed19,289,0.9134948096885813,0.8788927335640139,-3.4602076124567476,-6.920415224913495,0.0,0.07551869750022888,18,8,-4.1522491349480966,-6.920415224913495,-1.7301038062283738,0.0018310546875,13,1,6.271035991476934,4.218558590526063,8.262252132142025
three_judge_majority,E5 IntentRoute vs E5 dense,e5_dense_top10,e5_intentweight_full_seed19,289,0.9065743944636678,0.8858131487889274,-2.0761245674740483,-5.88235294117647,1.7301038062283738,0.361594608053565,18,12,-0.6920415224913495,-3.8062283737024223,2.422145328719723,0.8238029479980469,11,9,11.967568646667027,9.782612461033132,14.174018265168465
three_judge_majority,IntentRoute+SentMMR vs Dense+SentMMR,dense_sent_mmr_r0.85_l0.70,intentweight_sent_mmr_r0.85_l0.70_seed19,300,0.8733333333333333,0.8766666666666667,0.33333333333333337,-3.3333333333333335,4.0,1.0,16,17,3.6666666666666665,0.33333333333333337,7.000000000000001,0.052238985896110535,8,19,6.647846426843026,4.188810894286292,8.96967594991615
