calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dataset,fold,hit@10,hit_delta_pp,method,saving_pct,seed,selected_policy,test_queries
True,0.21008403361344463,476,15.621481517791757,lotte_science_search_100k,0,0.8833333333333333,0.0,intentroute,18.597753481107304,13,token_budget_r0.88_m4,120
True,0.21008403361344463,476,15.621481517791757,lotte_science_search_100k,0,0.9,1.6666666666666718,intentroute,17.59330032235551,17,token_budget_r0.88_m4,120
True,0.21008403361344463,476,15.621481517791757,lotte_science_search_100k,0,0.875,-0.8333333333333304,intentroute,16.456747864810072,19,token_budget_r0.88_m4,120
False,-0.21008403361344463,476,10.783925910810721,lotte_science_search_100k,0,0.8833333333333333,0.0,dense,0.0,,dense_top10_fallback,120
True,-7.401486830834376e-15,477,17.817893938718164,lotte_science_search_100k,1,0.8739495798319328,-1.6806722689075682,intentroute,21.160012844808485,13,token_budget_r0.85_m4,119
True,-7.401486830834376e-15,477,17.817893938718164,lotte_science_search_100k,1,0.8823529411764706,-0.8403361344537896,intentroute,19.063233544850533,17,token_budget_r0.85_m4,119
True,-7.401486830834376e-15,477,17.817893938718164,lotte_science_search_100k,1,0.8991596638655462,0.8403361344537785,intentroute,22.376651394611514,19,token_budget_r0.85_m4,119
True,0.0,477,10.993934258061644,lotte_science_search_100k,1,0.8823529411764706,-0.8403361344537896,dense,12.201663493154713,,token_budget_r0.98_m4,119
True,0.20964360587002462,477,16.167574874795186,lotte_science_search_100k,2,0.8991596638655462,0.0,intentroute,15.307046017808156,13,token_budget_r0.88_m4,119
True,0.20964360587002462,477,16.167574874795186,lotte_science_search_100k,2,0.8991596638655462,0.0,intentroute,15.106123860927756,17,token_budget_r0.88_m4,119
True,0.20964360587002462,477,16.167574874795186,lotte_science_search_100k,2,0.907563025210084,0.8403361344537785,intentroute,16.007904201832,19,token_budget_r0.88_m4,119
False,-0.20964360587002462,477,11.20337760802017,lotte_science_search_100k,2,0.8991596638655462,0.0,dense,0.0,,dense_top10_fallback,119
True,0.06988120195667488,477,16.595407387882055,lotte_science_search_100k,3,0.8739495798319328,0.0,intentroute,11.112259061445783,13,token_budget_r0.88_m4,119
True,0.06988120195667488,477,16.595407387882055,lotte_science_search_100k,3,0.8907563025210085,1.6806722689075682,intentroute,11.739339409484362,17,token_budget_r0.88_m4,119
True,0.06988120195667488,477,16.595407387882055,lotte_science_search_100k,3,0.8823529411764706,0.8403361344537785,intentroute,18.515939789505843,19,token_budget_r0.88_m4,119
False,-0.20964360587002462,477,11.725613801514978,lotte_science_search_100k,3,0.8739495798319328,0.0,dense,0.0,,dense_top10_fallback,119
True,0.2096436058700172,477,18.86268926175121,lotte_science_search_100k,4,0.8907563025210085,-2.5210084033613356,intentroute,18.47068765564176,13,token_budget_r0.85_m4,119
True,0.2096436058700172,477,18.86268926175121,lotte_science_search_100k,4,0.907563025210084,-0.8403361344537785,intentroute,14.224196056925553,17,token_budget_r0.85_m4,119
True,0.2096436058700172,477,18.86268926175121,lotte_science_search_100k,4,0.907563025210084,-0.8403361344537785,intentroute,17.2322961711003,19,token_budget_r0.85_m4,119
False,-0.20964360587002462,477,11.44878416482873,lotte_science_search_100k,4,0.9159663865546218,0.0,dense,0.0,,dense_top10_fallback,119
