protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
same_query_retry,13,budgeted_before_feedback,,6,,0.0,,,0,0,977.1666666666666,0.6797681159420289,32.02318840579711
same_query_retry,13,same_arm_boost,,6,,0.8333333333333334,,,5,0,1026.3333333333333,0.7139710144927536,28.602898550724642
same_query_retry,13,same_arm_boost_conservative,,6,,0.8333333333333334,,,5,0,1150.3333333333333,0.800231884057971,19.976811594202903
same_query_retry,13,same_full_context,,6,,0.8333333333333334,,,5,0,1263.1666666666667,0.8787246376811595,12.12753623188405
same_query_retry_all_queries,13,budgeted_before_feedback,596,,0,0.8154362416107382,-0.008389261744966459,0.0,,,1582.3087248322147,0.9691553536744529,3.0844646325547065
same_query_retry_all_queries,13,same_arm_boost,596,,0,0.8238255033557047,0.0,0.008389261744966459,,,1582.8036912751677,0.9694585178866885,3.0541482113311536
same_query_retry_all_queries,13,same_arm_boost_conservative,596,,0,0.8238255033557047,0.0,0.008389261744966459,,,1584.0520134228188,0.9702231083066994,2.9776891693300556
same_query_retry_all_queries,13,same_full_context,596,,0,0.8238255033557047,0.0,0.008389261744966459,,,1585.1879194630872,0.9709188444818974,2.908115551810264
calibration_to_test,13,budgeted_before_feedback,417,,3,0.829736211031175,-0.004796163069544446,0.0,,,1596.7913669064749,0.9675878093544155,3.2412190645584538
calibration_to_test,13,generalized_arm_boost,417,,3,0.8369304556354916,0.0023980815347721673,0.007194244604316613,,,1567.9928057553957,0.9501371033484605,4.986289665153953
calibration_to_test,13,generalized_arm_boost_conservative,417,,3,0.8393285371702638,0.004796163069544335,0.00959232613908878,,,1585.3453237410072,0.9606519929028854,3.9348007097114612
calibration_to_test,13,generalized_conservative_budget,417,,3,0.8369304556354916,0.0023980815347721673,0.007194244604316613,,,1583.9688249400479,0.9598178930404974,4.018210695950264
calibration_to_test,13,generalized_full_context,417,,3,0.8393285371702638,0.004796163069544335,0.00959232613908878,,,1625.7961630695443,0.9851634850261636,1.4836514973836423
same_query_retry,17,budgeted_before_feedback,,3,,0.0,,,0,0,829,0.8991323210412148,10.086767895878523
same_query_retry,17,same_arm_boost,,3,,0.6666666666666666,,,2,0,879.3333333333334,0.9537237888647867,4.62762111352133
same_query_retry,17,same_arm_boost_conservative,,3,,0.6666666666666666,,,2,0,966.6666666666666,1.0484454085321764,-4.844540853217638
same_query_retry,17,same_full_context,,3,,0.6666666666666666,,,2,0,1267.6666666666667,1.3749096167751267,-37.49096167751267
same_query_retry_all_queries,17,budgeted_before_feedback,596,,0,0.8204697986577181,-0.003355704697986628,0.0,,,1584.494966442953,0.9704944145847677,2.9505585415232294
