calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dataset,fold,hit@10,hit_delta_pp,method,saving_pct,seed,selected_policy,test_queries
True,1.294498381877022,105,17.178517789631776,emanual_deduplicated,0,0.8518518518518519,-3.703703703703698,intentroute,8.177104108496213,13,token_budget_r0.85_m4,27
True,1.294498381877022,105,17.178517789631776,emanual_deduplicated,0,0.8518518518518519,-3.703703703703698,intentroute,17.351416035101707,17,token_budget_r0.85_m4,27
True,1.294498381877022,105,17.178517789631776,emanual_deduplicated,0,0.7777777777777778,-11.111111111111105,intentroute,18.528121260470677,19,token_budget_r0.85_m4,27
False,-2.9126213592232997,105,14.972292713242542,emanual_deduplicated,0,0.8888888888888888,0.0,dense,0.0,,dense_top10_fallback,27
True,-3.700743415417188e-15,105,14.555646425407206,emanual_deduplicated,1,0.8148148148148148,3.703703703703698,intentroute,10.317293549064932,13,token_budget_r0.85_m8,27
True,-3.700743415417188e-15,105,14.555646425407206,emanual_deduplicated,1,0.7777777777777778,0.0,intentroute,17.839882328220224,17,token_budget_r0.85_m8,27
True,-3.700743415417188e-15,105,14.555646425407206,emanual_deduplicated,1,0.8518518518518519,7.4074074074074066,intentroute,11.536036982559361,19,token_budget_r0.85_m8,27
False,-2.912621359223311,105,14.930484563483958,emanual_deduplicated,1,0.7777777777777778,0.0,dense,0.0,,dense_top10_fallback,27
True,0.0,106,15.809622348680803,emanual_deduplicated,2,0.8076923076923077,0.0,intentroute,17.744842779891854,13,token_budget_r0.85_m7,26
True,0.0,106,15.809622348680803,emanual_deduplicated,2,0.8461538461538461,3.8461538461538436,intentroute,16.823552974163835,17,token_budget_r0.85_m7,26
True,0.0,106,15.809622348680803,emanual_deduplicated,2,0.8076923076923077,0.0,intentroute,20.00801121570199,19,token_budget_r0.85_m7,26
False,-1.9230769230769273,106,15.473357475426797,emanual_deduplicated,2,0.8076923076923077,0.0,dense,0.0,,dense_top10_fallback,26
True,0.0,106,16.70707887115242,emanual_deduplicated,3,0.96,0.0,intentroute,14.490832781091234,13,token_budget_r0.85_m4,26
True,0.0,106,16.70707887115242,emanual_deduplicated,3,0.92,-3.9999999999999925,intentroute,16.964877402253144,17,token_budget_r0.85_m4,26
True,0.0,106,16.70707887115242,emanual_deduplicated,3,0.96,0.0,intentroute,17.981002871658937,19,token_budget_r0.85_m4,26
False,-3.809523809523807,106,15.179834309961604,emanual_deduplicated,3,0.96,0.0,dense,0.0,,dense_top10_fallback,26
True,3.700743415417188e-15,106,15.777743222930594,emanual_deduplicated,4,0.88,0.0,intentroute,15.984095427435385,13,token_budget_r0.85_m7,26
True,3.700743415417188e-15,106,15.777743222930594,emanual_deduplicated,4,0.92,4.0000000000000036,intentroute,18.230616302186863,17,token_budget_r0.85_m7,26
True,3.700743415417188e-15,106,15.777743222930594,emanual_deduplicated,4,0.88,0.0,intentroute,20.67594433399602,19,token_budget_r0.85_m7,26
False,-3.809523809523807,106,15.383817965065038,emanual_deduplicated,4,0.88,0.0,dense,0.0,,dense_top10_fallback,26
