protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
same_query_retry,13,budgeted_before_feedback,,15,,0.0,,,0,0,166.33333333333334,0.08318053008834805,91.68194699116519
same_query_retry,13,same_arm_boost,,15,,0.0,,,0,0,165.66666666666666,0.08284714119019836,91.71528588098016
same_query_retry,13,same_arm_boost_conservative,,15,,0.13333333333333333,,,2,0,182.8,0.09141523587264544,90.85847641273546
same_query_retry,13,same_full_context,,15,,0.13333333333333333,,,2,0,210.66666666666666,0.10535089181530254,89.46491081846975
same_query_retry_all_queries,13,budgeted_before_feedback,132,,0,0.8484848484848485,-0.11363636363636365,0.0,,,162.31060606060606,0.08668544008286197,91.33145599171381
same_query_retry_all_queries,13,same_arm_boost,132,,0,0.8484848484848485,-0.11363636363636365,0.0,,,162.2348484848485,0.08664498013416519,91.33550198658348
same_query_retry_all_queries,13,same_arm_boost_conservative,132,,0,0.8636363636363636,-0.09848484848484851,0.015151515151515138,,,164.1818181818182,0.08768480081567256,91.23151991843275
same_query_retry_all_queries,13,same_full_context,132,,0,0.8636363636363636,-0.09848484848484851,0.015151515151515138,,,167.34848484848484,0.08937602667119818,91.06239733288018
calibration_to_test,13,budgeted_before_feedback,92,,4,0.8478260869565217,-0.11956521739130432,0.0,,,163.7173913043478,0.0872870993352921,91.27129006647078
calibration_to_test,13,generalized_arm_boost,92,,4,0.8478260869565217,-0.11956521739130432,0.0,,,163.69565217391303,0.08727550896225594,91.2724491037744
calibration_to_test,13,generalized_arm_boost_conservative,92,,4,0.8478260869565217,-0.11956521739130432,0.0,,,166.3586956521739,0.08869532965918508,91.13046703408149
calibration_to_test,13,generalized_conservative_budget,92,,4,0.8478260869565217,-0.11956521739130432,0.0,,,166.30434782608697,0.0886663537265947,91.13336462734053
calibration_to_test,13,generalized_full_context,92,,4,0.8478260869565217,-0.11956521739130432,0.0,,,169.4673913043478,0.09035275300335541,90.96472469966446
same_query_retry,17,budgeted_before_feedback,,15,,0.0,,,0,0,151,0.07621386991486928,92.37861300851307
same_query_retry,17,same_arm_boost,,15,,0.13333333333333333,,,2,0,157.8,0.07964601769911506,92.03539823008849
same_query_retry,17,same_arm_boost_conservative,,15,,0.2,,,3,0,174.93333333333334,0.08829368417510684,91.17063158248932
same_query_retry,17,same_full_context,,15,,0.26666666666666666,,,4,0,193.8,0.09781621185100442,90.21837881489955
same_query_retry_all_queries,17,budgeted_before_feedback,132,,0,0.8484848484848485,-0.11363636363636365,0.0,,,154.2651515151515,0.08238859353126339,91.76114064687366
same_query_retry_all_queries,17,same_arm_boost,132,,0,0.8636363636363636,-0.09848484848484851,0.015151515151515138,,,155.03787878787878,0.0828012850079706,91.71987149920294
same_query_retry_all_queries,17,same_arm_boost_conservative,132,,0,0.8712121212121212,-0.09090909090909094,0.022727272727272707,,,156.9848484848485,0.08384110568947799,91.6158894310522
same_query_retry_all_queries,17,same_full_context,132,,0,0.8787878787878788,-0.08333333333333337,0.030303030303030276,,,159.12878787878788,0.084986122237597,91.5013877762403
calibration_to_test,17,budgeted_before_feedback,92,,5,0.8586956521739131,-0.10869565217391297,0.0,,,155.7173913043478,0.08302184205798663,91.69781579420133
calibration_to_test,17,generalized_arm_boost,92,,5,0.8695652173913043,-0.09782608695652173,0.010869565217391242,,,156.2391304347826,0.08330001101085438,91.66999889891456
calibration_to_test,17,generalized_arm_boost_conservative,92,,5,0.8695652173913043,-0.09782608695652173,0.010869565217391242,,,157.77173913043478,0.08411713230990339,91.58828676900967
calibration_to_test,17,generalized_conservative_budget,92,,5,0.8695652173913043,-0.09782608695652173,0.010869565217391242,,,157.3586956521739,0.08389691522221643,91.61030847777836
calibration_to_test,17,generalized_full_context,92,,5,0.8804347826086957,-0.08695652173913038,0.021739130434782594,,,160.66304347826087,0.08565865192371216,91.43413480762878
same_query_retry,19,budgeted_before_feedback,,16,,0.0,,,0,0,147.75,0.0752818291828546,92.47181708171453
same_query_retry,19,same_arm_boost,,16,,0.0,,,0,0,147.5625,0.0751862938666327,92.48137061333674
same_query_retry,19,same_arm_boost_conservative,,16,,0.125,,,2,0,158.0625,0.08053627157505891,91.9463728424941
same_query_retry,19,same_full_context,,16,,0.25,,,4,0,181.375,0.0924144958919814,90.75855041080186
same_query_retry_all_queries,19,budgeted_before_feedback,132,,0,0.8409090909090909,-0.12121212121212122,0.0,,,154.09848484848484,0.08229958164413047,91.77004183558695
same_query_retry_all_queries,19,same_arm_boost,132,,0,0.8409090909090909,-0.12121212121212122,0.0,,,154.07575757575756,0.08228744365952143,91.77125563404786
same_query_retry_all_queries,19,same_arm_boost_conservative,132,,0,0.8560606060606061,-0.10606060606060608,0.015151515151515138,,,155.34848484848484,0.08296717079762743,91.70328292023726
same_query_retry_all_queries,19,same_full_context,132,,0,0.8712121212121212,-0.09090909090909094,0.030303030303030276,,,158.17424242424244,0.08447632688401752,91.55236731159825
calibration_to_test,19,budgeted_before_feedback,92,,5,0.8586956521739131,-0.10869565217391297,0.0,,,156.1413043478261,0.08324785433219169,91.67521456678082
calibration_to_test,19,generalized_arm_boost,92,,5,0.8586956521739131,-0.10869565217391297,0.0,,,156.09782608695653,0.08322467358611937,91.67753264138805
calibration_to_test,19,generalized_arm_boost_conservative,92,,5,0.8695652173913043,-0.09782608695652173,0.010869565217391242,,,158.95652173913044,0.0847488076403739,91.5251192359626
calibration_to_test,19,generalized_conservative_budget,92,,5,0.8695652173913043,-0.09782608695652173,0.010869565217391242,,,159,0.08477198838644621,91.52280116135539
calibration_to_test,19,generalized_full_context,92,,5,0.8804347826086957,-0.08695652173913038,0.021739130434782594,,,166.3804347826087,0.08870692003222123,91.12930799677787
