calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dataset,fold,hit@10,hit_delta_pp,method,saving_pct,seed,selected_policy,test_queries
False,-0.041666666666669475,800,12.846199386632106,pubmedqa,0,0.995,0.0,intentroute,0.0,13,dense_top10_fallback,200
False,-0.041666666666669475,800,12.846199386632106,pubmedqa,0,0.995,0.0,intentroute,0.0,17,dense_top10_fallback,200
False,-0.041666666666669475,800,12.846199386632106,pubmedqa,0,0.995,0.0,intentroute,0.0,19,dense_top10_fallback,200
False,-0.12500000000000844,800,19.808663693197037,pubmedqa,0,0.995,0.0,dense,0.0,,dense_top10_fallback,200
False,-0.08333333333333157,800,15.32712193604256,pubmedqa,1,1.0,0.0,intentroute,0.0,13,dense_top10_fallback,200
False,-0.08333333333333157,800,15.32712193604256,pubmedqa,1,1.0,0.0,intentroute,0.0,17,dense_top10_fallback,200
False,-0.08333333333333157,800,15.32712193604256,pubmedqa,1,1.0,0.0,intentroute,0.0,19,dense_top10_fallback,200
False,-0.24999999999999467,800,19.83177845712296,pubmedqa,1,1.0,0.0,dense,0.0,,dense_top10_fallback,200
False,-0.33333333333332993,800,15.190460181138388,pubmedqa,2,0.985,0.0,intentroute,0.0,13,dense_top10_fallback,200
False,-0.33333333333332993,800,15.190460181138388,pubmedqa,2,0.985,0.0,intentroute,0.0,17,dense_top10_fallback,200
False,-0.33333333333332993,800,15.190460181138388,pubmedqa,2,0.985,0.0,intentroute,0.0,19,dense_top10_fallback,200
False,-0.24999999999999467,800,19.852532167853553,pubmedqa,2,0.985,0.0,dense,0.0,,dense_top10_fallback,200
False,-0.12500000000000105,800,15.003059670694045,pubmedqa,3,0.99,0.0,intentroute,0.0,13,dense_top10_fallback,200
False,-0.12500000000000105,800,15.003059670694045,pubmedqa,3,0.99,0.0,intentroute,0.0,17,dense_top10_fallback,200
False,-0.12500000000000105,800,15.003059670694045,pubmedqa,3,0.99,0.0,intentroute,0.0,19,dense_top10_fallback,200
False,-0.12499999999999734,800,19.820567086075336,pubmedqa,3,0.99,0.0,dense,0.0,,dense_top10_fallback,200
False,-0.20833333333333628,800,14.732592046984694,pubmedqa,4,0.995,0.0,intentroute,0.0,13,dense_top10_fallback,200
False,-0.20833333333333628,800,14.732592046984694,pubmedqa,4,0.995,0.0,intentroute,0.0,17,dense_top10_fallback,200
False,-0.20833333333333628,800,14.732592046984694,pubmedqa,4,0.995,0.0,intentroute,0.0,19,dense_top10_fallback,200
False,-0.2500000000000058,800,19.862035241599784,pubmedqa,4,0.995,0.0,dense,0.0,,dense_top10_fallback,200
