protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
same_query_retry,13,budgeted_before_feedback,,56,,0.0,,,0,0,239.71428571428572,0.8779594506213212,12.20405493786788
same_query_retry,13,same_arm_boost,,56,,0.07142857142857142,,,4,0,241.21428571428572,0.883453237410072,11.654676258992803
same_query_retry,13,same_arm_boost_conservative,,56,,0.08928571428571429,,,5,0,242.25,0.887246566383257,11.275343361674295
same_query_retry,13,same_full_context,,56,,0.3392857142857143,,,19,0,274.1607142857143,1.004120340091563,-0.4120340091563035
same_query_retry_all_queries,13,budgeted_before_feedback,1765,,0,0.5920679886685553,-0.003966005665722361,0.0,,,237.91104815864023,0.9163904195537128,8.360958044628719
same_query_retry_all_queries,13,same_arm_boost,1765,,0,0.5943342776203966,-0.0016997167138810276,0.002266288951841333,,,237.9586402266289,0.9165737356102351,8.342626438976486
same_query_retry_all_queries,13,same_arm_boost_conservative,1765,,0,0.5949008498583569,-0.001133144475920722,0.0028328611898016387,,,237.9915014164306,0.916700310982596,8.329968901740404
same_query_retry_all_queries,13,same_full_context,1765,,0,0.6028328611898017,0.0067988668555241105,0.010764872521246471,,,239.00396600566572,0.9206001418517105,7.939985814828954
calibration_to_test,13,budgeted_before_feedback,1235,,9,0.6,-0.0072874493927125306,0.0,,,238.1595141700405,0.9166604335739307,8.333956642606932
calibration_to_test,13,generalized_arm_boost,1235,,9,0.5983805668016194,-0.008906882591093068,-0.0016194331983805377,,,236.8153846153846,0.911486966603089,8.851303339691096
calibration_to_test,13,generalized_arm_boost_conservative,1235,,9,0.5975708502024292,-0.009716599190283337,-0.0024291497975708065,,,237.2995951417004,0.9133506613311392,8.664933866886082
calibration_to_test,13,generalized_conservative_budget,1235,,9,0.6008097165991902,-0.006477732793522262,0.0008097165991902688,,,237.20161943319837,0.9129735592206141,8.702644077938594
calibration_to_test,13,generalized_full_context,1235,,9,0.6089068825910932,0.0016194331983806487,0.00890688259109318,,,245.82267206477732,0.9461554284004637,5.384457159953627
same_query_retry,17,budgeted_before_feedback,,59,,0.0,,,0,0,235.33898305084745,0.8497032005385227,15.029679946147734
same_query_retry,17,same_arm_boost,,59,,0.1694915254237288,,,10,0,235.28813559322035,0.8495196132427636,15.04803867572364
