baseline,baseline_hit@10,baseline_only_hits,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_ties,mcnemar_p_two_sided,method,method_hit@10,method_only_hits,mrr_delta_ci_high,mrr_delta_ci_low,mrr_delta_mean,ndcg_delta_ci_high,ndcg_delta_ci_low,ndcg_delta_mean,queries,seed
dense,0.8926174496644296,9,0.021045296868493175,-0.007233424549909448,0.00678138043909856,0.020134228187919462,-0.010067114093959731,0.0050335570469798654,575,0.6636238098144531,learned_full_frozen,0.8976510067114094,12,0.003039459491850432,-0.0010439970171513796,0.0009387983381271972,0.00859299427235355,-0.002687608224882795,0.0030079149312320836,596,13
dense,0.8926174496644296,8,0.02415719545648236,-0.002229413018003622,0.010669010333439862,0.028523489932885907,-0.003355704697986577,0.01174496644295302,573,0.21003961563110352,learned_full_frozen,0.9043624161073825,15,0.0041960290827740485,-4.7405987003301556e-05,0.0020247416640034087,0.009505412732712822,-0.0011560974587268493,0.004159381321728847,596,17
dense,0.8926174496644296,10,0.020944581844330155,-0.0063469365273056515,0.007261493167533435,0.02348993288590604,-0.010067114093959731,0.006711409395973154,572,0.5412561893463135,learned_full_frozen,0.8993288590604027,14,0.0033584345371258113,-0.000771695563012677,0.0012890167252583356,0.008003859359708987,-0.0031159807299205263,0.0024875629089478567,596,19
static_nearest_full,0.9077181208053692,8,0.0006285076314438717,-0.019576814404834535,-0.008970638794464298,0.0,-0.020134228187919462,-0.010067114093959731,586,0.109375,learned_full_frozen,0.8976510067114094,2,8.657252050708399e-05,-0.0027737995365931605,-0.0012763662511984658,0.0007800335975740812,-0.006914362551967293,-0.0029355896453501025,596,13
static_nearest_full,0.9077181208053692,6,0.007515779801853624,-0.009999500639181844,-0.0011025886864813052,0.006711409395973154,-0.013422818791946308,-0.003355704697986577,586,0.75390625,learned_full_frozen,0.9043624161073825,4,0.0008615805102801744,-0.002007447134334718,-0.0005626131884521147,0.003597049711551511,-0.0037099811979396462,-5.953984721869075e-05,596,17
static_nearest_full,0.9026845637583892,7,0.006632375710605573,-0.013851155369611736,-0.003452974132504333,0.008389261744966443,-0.015100671140939598,-0.003355704697986577,584,0.7744140625,learned_full_frozen,0.8993288590604027,5,0.0011738474752317032,-0.001714488787685096,-0.00027032065622669657,0.0025075446411515112,-0.00563126484954462,-0.0015083275402535403,596,19
cold_no_feedback_full,0.9077181208053692,11,0.0015954956443630897,-0.02146054867950841,-0.009527864938938762,0.003355704697986577,-0.02348993288590604,-0.010067114093959731,580,0.210113525390625,learned_full_frozen,0.8976510067114094,5,0.00011130752636624948,-0.003570130233301374,-0.0016632044316608075,0.0011720728395746439,-0.007971936896317273,-0.003288530022171329,596,13
cold_no_feedback_full,0.9010067114093959,6,0.005577430585819846,-0.013913027688195474,-0.0041667271952506866,0.015100671140939598,-0.008389261744966443,0.003355704697986577,582,0.79052734375,learned_full_frozen,0.9043624161073825,8,0.002127277085330776,-0.0010273683019068924,0.0005413071268775965,0.002694491785422382,-0.005356935408528148,-0.0013103841027049974,596,17
cold_no_feedback_full,0.9043624161073825,12,0.011175711755619475,-0.01392221290082028,-0.001348274209012463,0.010067114093959731,-0.020134228187919462,-0.0050335570469798654,575,0.6636238098144531,learned_full_frozen,0.8993288590604027,9,0.0012604199957387872,-0.0028191082081602207,-0.0007616917012890168,0.004027424085089791,-0.006138863767241289,-0.0010961038410977832,596,19
dense,0.8926174496644296,43,-0.06015453552785769,-0.10817450784208335,-0.08415779317624955,-0.026845637583892617,-0.07550335570469799,-0.050335570469798654,540,7.333218396948782e-05,learned_gated_frozen,0.8422818791946308,13,-0.017370515739852998,-0.06007199118461702,-0.038436800894854586,-0.04438842580551259,-0.08140408620377021,-0.06263838518627325,596,13
dense,0.8926174496644296,36,-0.056453136954395355,-0.1024748745847739,-0.07913022845908753,-0.01174496644295302,-0.0587248322147651,-0.03523489932885906,545,0.0046013097117665325,learned_gated_frozen,0.8573825503355704,15,-0.013457191461595836,-0.053861707015020764,-0.03379074784276126,-0.04403434197450327,-0.07956302860940372,-0.061405887185916656,596,17
dense,0.8926174496644296,60,-0.09657205595020195,-0.1467992878206804,-0.12091256524981359,-0.05704697986577181,-0.10906040268456375,-0.08221476510067115,525,2.633328534504438e-09,learned_gated_frozen,0.8104026845637584,11,-0.03412094186108448,-0.07983402910940662,-0.056584904655374454,-0.07181354855072947,-0.11084946773954701,-0.09087039441440281,596,19
static_nearest_gated,0.8909395973154363,38,-0.05536334401057556,-0.0986166706615532,-0.07669147128039747,-0.026845637583892617,-0.07046979865771812,-0.04865771812080537,549,2.4904030624384174e-05,learned_gated_frozen,0.8422818791946308,9,-0.01512357515713221,-0.05603735551826994,-0.03510173644401832,-0.03808840340786378,-0.0738244100822426,-0.055952171138981405,596,13
static_nearest_gated,0.8926174496644296,32,-0.04198053309945089,-0.08737710881586719,-0.06500485439243828,-0.013422818791946308,-0.05704697986577181,-0.03523489932885906,553,0.001913961001264397,learned_gated_frozen,0.8573825503355704,11,-0.015095860631724729,-0.055355445030361126,-0.03479679343773304,-0.03453436744390706,-0.0698992368479053,-0.05192061182497969,596,17
static_nearest_gated,0.8926174496644296,56,-0.09085309742922998,-0.1394344602545106,-0.11493833347860197,-0.05704697986577181,-0.10738255033557047,-0.08221476510067115,533,1.363671398024735e-10,learned_gated_frozen,0.8104026845637584,7,-0.03860501890912965,-0.08268476350271652,-0.06008842015553424,-0.06881150202555668,-0.10666117751219828,-0.08717080672261432,596,19
cold_no_feedback_gated,0.9077181208053692,47,-0.0777690465295331,-0.12348872685386947,-0.10046703855428687,-0.04194630872483222,-0.08892617449664429,-0.06543624161073826,541,8.067609591488889e-08,learned_gated_frozen,0.8422818791946308,8,-0.02012703739213807,-0.06302401259720891,-0.0410388036646426,-0.05128411611830642,-0.0873007206060073,-0.06893483013967665,596,13
cold_no_feedback_gated,0.9010067114093959,38,-0.07171816135952043,-0.11690691520913836,-0.09396596598777808,-0.020134228187919462,-0.06711409395973154,-0.0436241610738255,546,0.00030586400160359517,learned_gated_frozen,0.8573825503355704,12,-0.015360272184936616,-0.055455600165121965,-0.03527418237988708,-0.049360501235691266,-0.084641136416006,-0.0668756526103505,596,17
cold_no_feedback_gated,0.9043624161073825,65,-0.10474104661185198,-0.15505837981928586,-0.12952233262635948,-0.06711409395973154,-0.12080536912751678,-0.09395973154362416,522,1.3509940352772294e-11,learned_gated_frozen,0.8104026845637584,9,-0.03668950410141686,-0.08129555835197613,-0.058635613081921806,-0.07593686548634408,-0.11420830943684757,-0.09445406116444845,596,19
