baseline,baseline_hit@10,baseline_only_hits,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_ties,mcnemar_p_two_sided,method,method_hit@10,method_only_hits,mrr_delta_ci_high,mrr_delta_ci_low,mrr_delta_mean,ndcg_delta_ci_high,ndcg_delta_ci_low,ndcg_delta_mean,queries,seed
dense,0.8674496644295302,10,0.03160697642962671,0.001225403531546502,0.0160599917998379,0.026845637583892617,-0.006711409395973154,0.010067114093959731,570,0.32693958282470703,learned_full_frozen,0.87751677852349,16,0.004306504341110045,-0.0004002210503888349,0.0018775966762543943,0.011667044263878167,-0.0003049619573565915,0.0056721285569973036,596,13
dense,0.8674496644295302,12,0.024684437827626613,-0.006579212881284159,0.0086411295318377,0.02181208053691275,-0.01174496644295302,0.0050335570469798654,569,0.7011080384254456,learned_full_frozen,0.87248322147651,15,0.0035201775061254924,-0.0014722322094385845,0.0009740865026099927,0.008900160243693223,-0.0029714517777427443,0.0029993119071805526,596,17
dense,0.8674496644295302,7,0.03565709914298204,0.004477216133046671,0.01985140316111156,0.03691275167785235,0.003355704697986577,0.020134228187919462,570,0.028959274291992188,learned_full_frozen,0.8875838926174496,19,0.005444431128155959,0.0007011025886864813,0.0030434377330350484,0.012696382941761645,0.00021720205240296418,0.006379267466567991,596,19
static_nearest_full,0.8741610738255033,4,0.019332261601701546,-0.0013202602497434277,0.008521299633021456,0.013422818791946308,-0.006711409395973154,0.003355704697986577,586,0.75390625,learned_full_frozen,0.87751677852349,6,0.0018197041120698832,-0.0011405567540215189,0.00032624906785980623,0.006382890619785667,-0.0016667196915831615,0.002300004649076431,596,13
static_nearest_full,0.87751677852349,7,0.010412353587616828,-0.010270811720454454,0.0002284870558996915,0.0050335570469798654,-0.016778523489932886,-0.0050335570469798654,585,0.548828125,learned_full_frozen,0.87248322147651,4,0.0008009747523170341,-0.002409016458932566,-0.0007643549589858314,0.004633167765941114,-0.0036051634381972005,0.000543956003236328,596,17
static_nearest_full,0.87751677852349,3,0.019928642487041872,-0.0008366007028245224,0.009218005550596384,0.02181208053691275,0.0,0.010067114093959731,584,0.14599609375,learned_full_frozen,0.8875838926174496,9,0.0027438212421433896,-0.0002763129860445297,0.0012011292212634494,0.006455991955206522,-0.0018810434786163213,0.002190367145500658,596,19
cold_no_feedback_full,0.8791946308724832,7,0.01322158593113667,-0.011971061837086773,0.0006407117593764208,0.010067114093959731,-0.013422818791946308,-0.0016778523489932886,583,1.0,learned_full_frozen,0.87751677852349,6,0.0015933105624800251,-0.001600001997443272,2.064024715031419e-05,0.005760350155275357,-0.003915944453239097,0.0009777222071917964,596,13
cold_no_feedback_full,0.8758389261744967,7,0.007392957025456734,-0.014487517784967738,-0.0036285759035122617,0.008389261744966443,-0.015100671140939598,-0.003355704697986577,584,0.7744140625,learned_full_frozen,0.87248322147651,5,0.0010113887557260037,-0.0024622150314264402,-0.0006877863002024075,0.0037807785716407623,-0.005329523366855118,-0.0007291995147567618,596,17
cold_no_feedback_full,0.8859060402684564,6,0.01033579215573762,-0.011208574237097724,-0.0003704046699013139,0.013422818791946308,-0.010067114093959731,0.0016778523489932886,583,1.0,learned_full_frozen,0.8875838926174496,7,0.002009511159049749,-0.0011971676254394373,0.00037352189197826775,0.004667533037583908,-0.004118719912244073,0.00021696664165063795,596,19
dense,0.8674496644295302,33,-0.043356809266375196,-0.09054239157994799,-0.06674980476400864,-0.00834731543624222,-0.053691275167785234,-0.030201342281879196,548,0.01328328156224501,learned_gated_frozen,0.837248322147651,15,-0.00943132790028765,-0.04639819364546714,-0.027906945776073295,-0.03933650894535277,-0.07450708673317345,-0.05686444039883024,596,13
dense,0.8674496644295302,45,-0.07203730361500915,-0.12135407558680165,-0.09619587450529363,-0.030201342281879196,-0.08053691275167785,-0.05536912751677853,539,1.3127443164284712e-05,learned_gated_frozen,0.8120805369127517,12,-0.014429713300308945,-0.051350021971876,-0.032750079897730905,-0.053588718242102644,-0.08815729736577074,-0.07055150306459493,596,17
dense,0.8674496644295302,39,-0.05794987643089575,-0.10740955365011573,-0.08265774354281066,-0.013422818791946308,-0.06208053691275168,-0.03691275167785235,540,0.004561532746408219,learned_gated_frozen,0.8305369127516778,17,-0.007997296793437738,-0.041383945216789175,-0.024553238521359325,-0.045316974618205615,-0.07969377301589298,-0.06257562589343131,596,19
static_nearest_gated,0.8657718120805369,26,-0.03641497016003425,-0.07708570185335184,-0.05655353102052362,-0.010067114093959731,-0.04865771812080537,-0.028523489932885907,561,0.005988120567053557,learned_gated_frozen,0.837248322147651,9,-0.012410497896026424,-0.04896121298071802,-0.030180036220304678,-0.03467371743713014,-0.06734395497385727,-0.05109836811724598,596,13
static_nearest_gated,0.8674496644295302,43,-0.0580553391658677,-0.10446784609952134,-0.08089704947781781,-0.03351510067114155,-0.07885906040268456,-0.05536912751677853,543,5.550520889130439e-06,learned_gated_frozen,0.8120805369127517,10,-0.014768130126771072,-0.05098076129221264,-0.03244913177799084,-0.04406106358558136,-0.07751713182815614,-0.060567719355532006,596,17
static_nearest_gated,0.8691275167785235,35,-0.04989368211614944,-0.09586747959477072,-0.07285862810336313,-0.016778523489932886,-0.06208053691275168,-0.03859060402684564,549,0.0010885382064742541,learned_gated_frozen,0.8305369127516778,12,-0.008771855358474488,-0.04175142484286779,-0.025026632576968143,-0.03846242082647712,-0.07168367677981645,-0.05470862900251997,596,19
