feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
trust_weighted,bm25_route,14304,174.4022,0.0076,0.0094,8.0829
trust_weighted,cluster_route,14304,198170.3537,13.4393,30.6875,82.4236
trust_weighted,dense_route,14304,214.7165,0.01,0.0128,12.0302
trust_weighted,feedback_memory_append,14304,30.2401,0.0016,0.0021,6.6642
trust_weighted,feedback_observation_and_trust,42912,1790.523,0.0316,0.0757,10.8278
trust_weighted,feedback_state_update,42912,5884.652,0.1228,0.1939,11.6182
trust_weighted,final_context_budget,14304,108.6153,0.0072,0.0095,0.7091
trust_weighted,fusion_and_dense_floor,14304,3975.9803,0.2623,0.3433,11.6939
trust_weighted,linucb_update,171648,3536.4493,0.0165,0.0352,10.8221
trust_weighted,routing_and_gating,14304,132879.4736,9.044,17.7258,43.2561
none,bm25_route,14304,158.6862,0.0078,0.0098,9.0544
none,cluster_route,14304,138916.66,6.2783,23.5802,141.4175
none,dense_route,14304,177.8441,0.0101,0.0136,4.0415
none,feedback_memory_append,14304,7.5913,0.0005,0.0007,0.0655
none,feedback_observation_and_trust,42912,1358.2984,0.0147,0.0625,11.1866
none,feedback_state_update,42912,128.5324,0.0013,0.006,4.3798
none,final_context_budget,14304,134.1124,0.0076,0.0103,7.7638
none,fusion_and_dense_floor,14304,4845.2322,0.2911,0.4338,15.2336
none,routing_and_gating,14304,84295.657,4.2422,12.1313,46.7326
