feedback_mode,stage,runs,calls_per_run_median,stage_p50_ms_median_of_runs,stage_p95_ms_median_of_runs,total_ms_per_run_median
none,bm25_route,3,596.0,0.0074,0.0087,4.6884
none,cluster_route,3,596.0,4.6442,11.2849,3395.8689
none,dense_route,3,596.0,0.0092,0.0122,6.1569
none,feedback_memory_append,3,596.0,0.0004,0.0005,0.2412
none,feedback_observation,3,1788.0,0.0018,0.0075,6.4987
none,feedback_reward_measurement,3,1788.0,0.0118,0.053,42.9501
none,feedback_state_update,3,1788.0,0.0013,0.0057,4.8194
none,feedback_trust_weighting,3,1788.0,0.001,0.0031,2.8335
none,final_context_budget,3,596.0,0.0071,0.0084,4.2144
none,fusion_and_dense_floor,3,596.0,0.24,0.3093,158.6007
none,routing_and_gating,3,596.0,3.8734,7.5794,2612.9556
trust_weighted,bm25_route,3,596.0,0.0072,0.0081,4.3953
trust_weighted,cluster_route,3,596.0,4.789,8.6815,3190.3266
trust_weighted,dense_route,3,596.0,0.009,0.0109,5.4824
trust_weighted,feedback_memory_append,3,596.0,0.0013,0.0018,0.8394
trust_weighted,feedback_observation,3,1788.0,0.0073,0.0225,21.3374
trust_weighted,feedback_reward_measurement,3,1788.0,0.0193,0.0509,50.592
trust_weighted,feedback_state_update,3,1788.0,0.1325,0.2107,266.64
trust_weighted,feedback_trust_weighting,3,1788.0,0.0018,0.0041,4.3071
trust_weighted,final_context_budget,3,596.0,0.007,0.008,4.1169
trust_weighted,fusion_and_dense_floor,3,596.0,0.2387,0.2992,152.3694
trust_weighted,linucb_update,3,7152.0,0.0226,0.0411,171.2528
trust_weighted,routing_and_gating,3,596.0,4.2167,5.6812,2639.9535
