feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
trust_weighted,bm25_route,4768,72.6801,0.008,0.01,8.0866
trust_weighted,cluster_route,4768,98679.128,21.0477,33.4359,94.0371
trust_weighted,dense_route,4768,125.1437,0.0104,0.0138,12.0583
trust_weighted,feedback_memory_append,4768,7.5296,0.0015,0.002,0.0179
trust_weighted,feedback_observation_and_trust,14304,642.6864,0.0345,0.0843,4.5855
trust_weighted,feedback_state_update,14304,2106.5449,0.1351,0.2053,17.3816
trust_weighted,final_context_budget,4768,47.6443,0.0074,0.0101,8.0396
trust_weighted,fusion_and_dense_floor,4768,1324.0424,0.2571,0.3456,15.9102
trust_weighted,linucb_update,57216,1284.6014,0.0186,0.0379,11.2056
trust_weighted,routing_and_gating,4768,60135.0562,13.1757,23.0415,52.5783
none,bm25_route,4768,44.7466,0.0084,0.0109,0.4028
none,cluster_route,4768,99505.7175,22.7388,31.733,69.9692
none,dense_route,4768,62.9856,0.0107,0.0143,6.2079
none,feedback_memory_append,4768,2.8023,0.0005,0.0008,0.0348
none,feedback_observation_and_trust,14304,469.2787,0.0145,0.0669,23.3149
none,feedback_state_update,14304,57.7991,0.0013,0.0054,15.4705
none,final_context_budget,4768,38.9721,0.0077,0.0106,0.0824
none,fusion_and_dense_floor,4768,1525.1909,0.2772,0.4023,20.0123
none,routing_and_gating,4768,50362.5002,11.8344,16.0736,42.6248
