feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
trust_weighted,bm25_route,1192,25.9357,0.0079,0.01,8.0316
trust_weighted,cluster_route,1192,30740.7313,22.7946,34.8915,61.9213
trust_weighted,dense_route,1192,13.0334,0.0105,0.0137,0.0482
trust_weighted,feedback_memory_append,1192,1.627,0.0013,0.0018,0.0094
trust_weighted,feedback_observation_and_trust,3576,160.4351,0.0358,0.0887,0.3681
trust_weighted,feedback_state_update,3576,580.5268,0.1448,0.2211,12.2637
trust_weighted,final_context_budget,1192,9.5591,0.0075,0.01,0.1263
trust_weighted,fusion_and_dense_floor,1192,301.5083,0.2411,0.3105,2.1555
trust_weighted,linucb_update,14304,373.4721,0.024,0.0422,8.0678
trust_weighted,routing_and_gating,1192,16577.6941,12.88,17.6248,147.0761
none,bm25_route,1192,9.9673,0.008,0.0102,0.0428
none,cluster_route,1192,30814.9193,23.6205,35.4377,50.7155
none,dense_route,1192,13.7197,0.0109,0.0145,0.1553
none,feedback_memory_append,1192,0.73,0.0006,0.0008,0.0249
none,feedback_observation_and_trust,3576,97.5338,0.014,0.0602,0.5777
none,feedback_state_update,3576,8.4376,0.0013,0.005,0.0837
none,final_context_budget,1192,9.2822,0.0075,0.0098,0.027
none,fusion_and_dense_floor,1192,311.2027,0.246,0.3093,4.3454
none,routing_and_gating,1192,15291.1231,12.114,16.3848,25.9344
