feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
trust_weighted,bm25_route,596,13.3754,0.008,0.0099,8.2865
trust_weighted,cluster_route,596,15013.6979,22.8004,36.3359,67.1025
trust_weighted,dense_route,596,19.59,0.0106,0.0141,12.0695
trust_weighted,feedback_memory_append,596,1.0041,0.0015,0.0022,0.032
trust_weighted,feedback_observation_and_trust,1788,104.2651,0.0431,0.1006,8.2343
trust_weighted,feedback_state_update,1788,313.4358,0.1512,0.2297,8.2595
trust_weighted,final_context_budget,596,4.5405,0.0071,0.0098,0.0589
trust_weighted,fusion_and_dense_floor,596,159.6196,0.2498,0.3436,2.3734
trust_weighted,linucb_update,7152,201.7994,0.0242,0.0433,8.0735
trust_weighted,routing_and_gating,596,7906.8014,12.5145,16.7469,112.0434
