feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
trust_weighted,bm25_route,596,4.481,0.0073,0.0083,0.0371
trust_weighted,cluster_route,596,3078.8508,4.8255,7.5381,16.5214
trust_weighted,dense_route,596,5.8967,0.0092,0.0112,0.0636
trust_weighted,feedback_memory_append,596,0.8499,0.0013,0.0018,0.0325
trust_weighted,feedback_observation_and_trust,1788,73.8345,0.032,0.0752,0.3162
trust_weighted,feedback_state_update,1788,250.8319,0.13,0.193,1.1416
trust_weighted,final_context_budget,596,4.0335,0.0066,0.0082,0.0205
trust_weighted,fusion_and_dense_floor,596,157.6324,0.2566,0.3056,1.3654
trust_weighted,linucb_update,7152,162.574,0.0219,0.0366,0.8217
trust_weighted,routing_and_gating,596,2522.4785,4.0565,4.9876,17.2267
none,bm25_route,596,4.7372,0.0074,0.0094,0.0615
none,cluster_route,596,3165.4534,4.5673,9.9477,17.479
none,dense_route,596,6.2151,0.0094,0.0121,0.0803
none,feedback_memory_append,596,0.2882,0.0004,0.0007,0.0036
none,feedback_observation_and_trust,1788,68.4288,0.0142,0.0729,5.1455
none,feedback_state_update,1788,4.2326,0.0012,0.005,0.234
none,final_context_budget,596,4.1146,0.0067,0.0083,0.0239
none,fusion_and_dense_floor,596,180.558,0.2658,0.3591,4.1588
none,routing_and_gating,596,2523.4967,3.8425,6.6704,11.9213
