feedback_mode,stage,calls,total_ms,p50_ms,p95_ms,max_ms
trust_weighted,bm25_route,596,4.9152,0.0079,0.0095,0.0687
trust_weighted,cluster_route,596,14727.6847,22.7687,34.6543,99.8931
trust_weighted,dense_route,596,12.8968,0.0107,0.013,6.2993
trust_weighted,feedback_memory_append,596,0.9357,0.0014,0.0021,0.0329
trust_weighted,feedback_observation_and_trust,1788,93.4736,0.0408,0.1003,0.3074
trust_weighted,feedback_state_update,1788,286.6322,0.1493,0.2209,2.5035
trust_weighted,final_context_budget,596,4.4391,0.0071,0.0096,0.0203
trust_weighted,fusion_and_dense_floor,596,157.1878,0.2505,0.3317,1.6558
trust_weighted,linucb_update,7152,187.5972,0.0242,0.0419,2.3715
trust_weighted,routing_and_gating,596,7400.7066,12.3847,16.6595,131.8295
none,bm25_route,596,13.1351,0.008,0.0108,8.0322
none,cluster_route,596,14479.1636,23.5308,35.3907,55.9303
none,dense_route,596,6.8739,0.0109,0.0149,0.0459
none,feedback_memory_append,596,0.3256,0.0005,0.0008,0.0012
none,feedback_observation_and_trust,1788,58.6698,0.0144,0.0635,8.1166
none,feedback_state_update,1788,4.3901,0.0013,0.0055,0.0561
none,final_context_budget,596,4.5814,0.0072,0.0097,0.0884
none,fusion_and_dense_floor,596,157.1293,0.2493,0.3396,0.9004
none,routing_and_gating,596,7025.05,12.0335,16.0656,27.2469
