dataset,method,seed,total_feedback_updates,total_update_weight
lotte_technology_search_100k,cluster_static_nearest,13,0,0.0
lotte_technology_search_100k,cluster_static_nearest,17,0,0.0
lotte_technology_search_100k,cluster_static_nearest,19,0,0.0
lotte_technology_search_100k,cluster_cold_no_feedback,13,0,0.0
lotte_technology_search_100k,cluster_cold_no_feedback,17,0,0.0
lotte_technology_search_100k,cluster_cold_no_feedback,19,0,0.0
lotte_technology_search_100k,cluster_equal_noisy,13,2544,747.2558250225367
lotte_technology_search_100k,cluster_equal_noisy,17,2544,747.8525108559916
lotte_technology_search_100k,cluster_equal_noisy,19,2544,752.7780046652523
lotte_technology_search_100k,cluster_trust_weighted,13,2544,582.7078981484535
lotte_technology_search_100k,cluster_trust_weighted,17,2544,588.6281800721116
lotte_technology_search_100k,cluster_trust_weighted,19,2544,560.4627726561481
lotte_technology_search_100k,cluster_oracle,13,2544,741.697435640113
lotte_technology_search_100k,cluster_oracle,17,2544,742.010219388421
lotte_technology_search_100k,cluster_oracle,19,2544,742.3227571029119
lotte_science_search_100k,cluster_static_nearest,13,0,0.0
lotte_science_search_100k,cluster_static_nearest,17,0,0.0
lotte_science_search_100k,cluster_static_nearest,19,0,0.0
lotte_science_search_100k,cluster_cold_no_feedback,13,0,0.0
lotte_science_search_100k,cluster_cold_no_feedback,17,0,0.0
lotte_science_search_100k,cluster_cold_no_feedback,19,0,0.0
lotte_science_search_100k,cluster_equal_noisy,13,2544,748.4954904814117
lotte_science_search_100k,cluster_equal_noisy,17,2544,745.0169676096608
lotte_science_search_100k,cluster_equal_noisy,19,2544,744.9500244745913
lotte_science_search_100k,cluster_trust_weighted,13,2544,576.7752124626508
lotte_science_search_100k,cluster_trust_weighted,17,2544,586.9981889144433
lotte_science_search_100k,cluster_trust_weighted,19,2544,563.9690408701058
lotte_science_search_100k,cluster_oracle,13,2544,740.9378055683455
lotte_science_search_100k,cluster_oracle,17,2544,745.4213628490362
lotte_science_search_100k,cluster_oracle,19,2544,740.5979571681683
