blocks,ci_high,ci_low,comparison,condition,dataset,delta,metric,seed
48,0.0625,-0.1875,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,-0.0625,hit_at_10,13
48,0.00279513888888864,-0.1625,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,-0.07152777777777777,evidence_recall_at_10,13
48,0.041666666666666664,-0.1875,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,-0.07291666666666667,mrr_at_10,13
48,0.0093845867894738,-0.1637999237760048,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,-0.0718541716235054,ndcg_at_10,13
48,0.0625,-0.1875,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,-0.0625,selected_cluster_hit,13
48,0.0625,-0.1875,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,-0.0625,route_true_reward,13
48,0.7083333333333334,0.4166666666666667,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5625,hit_at_10,13
48,0.5895833333333332,0.32776909722222225,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.4614583333333333,evidence_recall_at_10,13
48,0.6280505952380941,0.3333333333333333,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.48214285714285715,mrr_at_10,13
48,0.5575965035190225,0.3054809491544072,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.43246948928272505,ndcg_at_10,13
48,0.75,0.4375,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.6041666666666666,selected_cluster_hit,13
48,0.75,0.4583333333333333,cluster_trust_weighted_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.6041666666666666,route_true_reward,13
48,0.75,0.4791666666666667,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.625,hit_at_10,13
48,0.6559027777777777,0.40832465277777774,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.5329861111111112,evidence_recall_at_10,13
48,0.6801339285714274,0.42552083333333335,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.5550595238095238,mrr_at_10,13
48,0.6232736694252019,0.38077547267181444,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.5043236609062305,ndcg_at_10,13
48,0.7916666666666666,0.5208333333333334,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.6666666666666666,selected_cluster_hit,13
48,0.7916666666666666,0.5208333333333334,cluster_trust_weighted_minus_cluster_equal_noisy,nearby,lotte_science_search_100k,0.6666666666666666,route_true_reward,13
48,0.020833333333333332,-0.14583333333333334,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.0625,hit_at_10,13
48,0.060763888888888895,-0.12361111111111112,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.028124999999999997,evidence_recall_at_10,13
48,0.028645833333333332,-0.125,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.044270833333333336,mrr_at_10,13
48,0.06348113838598589,-0.09557802583216066,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.016159709602204683,ndcg_at_10,13
48,0.020833333333333332,-0.1875,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.08333333333333333,selected_cluster_hit,13
48,0.0,-0.1875,cluster_trust_weighted_minus_cluster_static_nearest,nearby,lotte_science_search_100k,-0.08333333333333333,route_true_reward,13
48,0.7083333333333334,0.4166666666666667,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5625,hit_at_10,13
48,0.5895833333333332,0.32776909722222225,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.4614583333333333,evidence_recall_at_10,13
48,0.6280505952380941,0.3333333333333333,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.48214285714285715,mrr_at_10,13
48,0.5575965035190225,0.3054809491544072,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.43246948928272505,ndcg_at_10,13
48,0.75,0.4375,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.6041666666666666,selected_cluster_hit,13
48,0.75,0.4583333333333333,cluster_oracle_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.6041666666666666,route_true_reward,13
40,0.07500000000000001,-0.15,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,-0.04583333333333333,hit_at_10,13
40,0.06007812499999987,-0.0892361111111111,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,-0.02006944444444444,evidence_recall_at_10,13
40,0.018753472222222182,-0.1520833333333333,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,-0.0711111111111111,mrr_at_10,13
40,0.024281407144861863,-0.10059797700393917,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,-0.040393923282957815,ndcg_at_10,13
40,0.075,-0.15,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,-0.04583333333333333,selected_cluster_hit,13
40,0.075,-0.15010416666666662,cluster_equal_noisy_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,-0.04583333333333333,route_true_reward,13
40,0.6416666666666666,0.3625,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5041666666666667,hit_at_10,13
40,0.5376388888888888,0.28971874999999997,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.41263888888888883,evidence_recall_at_10,13
40,0.5876785714285713,0.31634424603174605,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.4524553571428571,mrr_at_10,13
40,0.5243601887290434,0.2826224417156422,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.40357836395445335,ndcg_at_10,13
40,0.6541666666666666,0.3833333333333333,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5208333333333333,selected_cluster_hit,13
40,0.6416666666666666,0.3625,cluster_trust_weighted_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5041666666666667,route_true_reward,13
40,0.7083333333333333,0.375,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,0.55,hit_at_10,13
40,0.5637656249999997,0.28977083333333337,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,0.43270833333333325,evidence_recall_at_10,13
40,0.6529170386904762,0.38582254464285715,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,0.5235664682539682,mrr_at_10,13
40,0.5685360439980144,0.3161332023456526,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,0.44397228723741106,ndcg_at_10,13
40,0.7166666666666666,0.39999999999999997,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,0.5666666666666667,selected_cluster_hit,13
40,0.7,0.375,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,0.55,route_true_reward,13
40,-0.20833333333333334,-0.4333333333333334,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.3166666666666667,hit_at_10,13
40,-0.18875000000000003,-0.39253125000000005,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.2866666666666667,evidence_recall_at_10,13
40,-0.13601190476190478,-0.3270442708333333,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.22725694444444447,mrr_at_10,13
40,-0.15439445839284271,-0.30930450380129715,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.2282024032882247,ndcg_at_10,13
40,-0.2166666666666667,-0.4416666666666667,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.325,selected_cluster_hit,13
40,-0.2,-0.4416666666666667,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.3166666666666667,route_true_reward,13
40,0.7041666666666667,0.4166666666666667,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5625,hit_at_10,13
40,0.6023715277777776,0.3444409722222222,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.47430555555555554,evidence_recall_at_10,13
40,0.6500117807539681,0.36884114583333333,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5105902777777778,mrr_at_10,13
40,0.5890696545868285,0.3364730434920923,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.4642844929219029,ndcg_at_10,13
40,0.7083333333333334,0.425,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5708333333333333,selected_cluster_hit,13
40,0.7,0.41666666666666663,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5625,route_true_reward,13
64,0.171875,-0.046875,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.0625,hit_at_10,13
64,0.08854166666666666,-0.043229166666666666,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.022916666666666665,evidence_recall_at_10,13
64,0.12369791666666666,-0.05338541666666667,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.035807291666666664,mrr_at_10,13
64,0.08654688047965176,-0.03853452343106791,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.022843339668643665,ndcg_at_10,13
64,0.1875,-0.03125,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.078125,selected_cluster_hit,13
64,0.171875,-0.03125,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.0625,route_true_reward,13
64,0.421875,0.171875,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.296875,hit_at_10,13
64,0.2356808035714285,0.08080171130952381,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.15688244047619046,evidence_recall_at_10,13
64,0.3741319444444444,0.1484375,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.2569444444444444,mrr_at_10,13
64,0.25225487837631716,0.09045963440507271,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.169925523640359,ndcg_at_10,13
64,0.4375,0.1875,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.3125,selected_cluster_hit,13
64,0.4375,0.1875,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.3125,route_true_reward,13
64,0.359375,0.12460937500000013,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.234375,hit_at_10,13
64,0.2180812872023809,0.053049665178571424,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.1339657738095238,evidence_recall_at_10,13
64,0.3385416666666667,0.109375,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.2211371527777778,mrr_at_10,13
64,0.2315838686034115,0.06679756451845435,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.14708218397171535,ndcg_at_10,13
64,0.359375,0.109375,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.234375,selected_cluster_hit,13
64,0.375,0.125,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.25,route_true_reward,13
64,-0.21875,-0.546875,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.390625,hit_at_10,13
64,-0.19605003720238104,-0.4661160714285715,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.33225446428571426,evidence_recall_at_10,13
64,-0.18081597222222223,-0.46336805555555555,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.32339409722222223,mrr_at_10,13
64,-0.180653146652676,-0.42176337555505694,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.3019234962378261,ndcg_at_10,13
64,-0.296875,-0.609375,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.453125,selected_cluster_hit,13
64,-0.265625,-0.609375,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.4375,route_true_reward,13
64,0.4375,0.1875,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.3125,hit_at_10,13
64,0.25070870535714285,0.0872265625,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.16788194444444443,evidence_recall_at_10,13
64,0.36199001736111097,0.14583333333333331,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.2504340277777778,mrr_at_10,13
64,0.2557787515632259,0.09095845596480652,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.1716803189883513,ndcg_at_10,13
64,0.453125,0.203125,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.328125,selected_cluster_hit,13
64,0.453125,0.203125,cluster_oracle_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.328125,route_true_reward,13
48,0.625,0.2916666666666667,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.4583333333333333,hit_at_10,17
48,0.5256944444444445,0.23888020833333337,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.3815972222222222,evidence_recall_at_10,17
48,0.5494791666666666,0.262109375,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.40434027777777776,mrr_at_10,17
48,0.47910482831212303,0.2350262847417344,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.3582400602714833,ndcg_at_10,17
48,0.6666666666666666,0.3333333333333333,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5,selected_cluster_hit,17
48,0.6458333333333334,0.3333333333333333,cluster_equal_noisy_minus_cluster_cold_no_feedback,nearby,lotte_science_search_100k,0.5,route_true_reward,17
