affected_repeated_queries,dataset,method,recovered_queries,recovery_rate,seed
2,lotte_science_search_100k,cluster_static_nearest,0,0.0,13
4,lotte_science_search_100k,cluster_static_nearest,0,0.0,17
7,lotte_science_search_100k,cluster_static_nearest,0,0.0,19
36,lotte_science_search_100k,cluster_cold_no_feedback,8,0.2222222222222222,13
38,lotte_science_search_100k,cluster_cold_no_feedback,5,0.13157894736842105,17
34,lotte_science_search_100k,cluster_cold_no_feedback,10,0.29411764705882354,19
37,lotte_science_search_100k,cluster_equal_noisy,1,0.02702702702702703,13
14,lotte_science_search_100k,cluster_equal_noisy,3,0.21428571428571427,17
38,lotte_science_search_100k,cluster_equal_noisy,12,0.3157894736842105,19
23,lotte_science_search_100k,cluster_trust_weighted,13,0.5652173913043478,13
15,lotte_science_search_100k,cluster_trust_weighted,4,0.26666666666666666,17
37,lotte_science_search_100k,cluster_trust_weighted,5,0.13513513513513514,19
18,lotte_science_search_100k,cluster_oracle,9,0.5,13
24,lotte_science_search_100k,cluster_oracle,13,0.5416666666666666,17
20,lotte_science_search_100k,cluster_oracle,0,0.0,19
4,lotte_technology_search_100k,cluster_static_nearest,0,0.0,13
3,lotte_technology_search_100k,cluster_static_nearest,0,0.0,17
3,lotte_technology_search_100k,cluster_static_nearest,0,0.0,19
33,lotte_technology_search_100k,cluster_cold_no_feedback,7,0.21212121212121213,13
36,lotte_technology_search_100k,cluster_cold_no_feedback,5,0.1388888888888889,17
36,lotte_technology_search_100k,cluster_cold_no_feedback,7,0.19444444444444445,19
22,lotte_technology_search_100k,cluster_equal_noisy,2,0.09090909090909091,13
31,lotte_technology_search_100k,cluster_equal_noisy,0,0.0,17
35,lotte_technology_search_100k,cluster_equal_noisy,1,0.02857142857142857,19
40,lotte_technology_search_100k,cluster_trust_weighted,5,0.125,13
34,lotte_technology_search_100k,cluster_trust_weighted,3,0.08823529411764706,17
27,lotte_technology_search_100k,cluster_trust_weighted,6,0.2222222222222222,19
13,lotte_technology_search_100k,cluster_oracle,7,0.5384615384615384,13
30,lotte_technology_search_100k,cluster_oracle,10,0.3333333333333333,17
14,lotte_technology_search_100k,cluster_oracle,9,0.6428571428571429,19
