condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
nearby,lotte_science_search_100k,0.0,24,0.0625,1761.4166666666667,0.08333333333333333,cluster_cold_no_feedback,0.08333333333333333,0.06386949924640191,A_nearby,0.08333333333333333,13,0.08333333333333333,24
nearby,lotte_science_search_100k,0.0,24,0.125,2016.0833333333333,0.16666666666666666,cluster_cold_no_feedback,0.16666666666666666,0.13477664012547408,B_nearby,0.16666666666666666,13,0.16666666666666666,24
repeated,lotte_science_search_100k,0.0,20,0.09166666666666666,1693.7,0.3,cluster_cold_no_feedback,0.25833333333333336,0.11826815468337204,A_recurrent_return,0.3,13,0.3,20
repeated,lotte_science_search_100k,0.0,20,0.0875,1897.35,0.15,cluster_cold_no_feedback,0.15,0.10135312443624667,A_recurrent_warmup_1,0.15,13,0.15,20
repeated,lotte_science_search_100k,0.0,20,0.0375,1662.0,0.1,cluster_cold_no_feedback,0.1,0.050176362137878,A_recurrent_warmup_2,0.1,13,0.1,20
repeated,lotte_science_search_100k,0.0,20,0.025,2422.7,0.05,cluster_cold_no_feedback,0.025,0.01934264036172708,B_recurrent_shift_1,0.05,13,0.05,20
repeated,lotte_science_search_100k,0.0,20,0.1,2000.25,0.1,cluster_cold_no_feedback,0.1,0.1,B_recurrent_shift_2,0.1,13,0.1,20
unseen,lotte_science_search_100k,0.0,64,0.05520833333333333,1980.203125,0.078125,cluster_cold_no_feedback,0.0703125,0.052485773031500274,unseen_tail,0.078125,13,0.078125,64
nearby,lotte_science_search_100k,0.0,24,0.08888888888888889,1443.7916666666667,0.125,cluster_cold_no_feedback,0.08854166666666667,0.06889743855400597,A_nearby,0.16666666666666666,17,0.16666666666666666,24
nearby,lotte_science_search_100k,0.0,24,0.0625,2237.6666666666665,0.08333333333333333,cluster_cold_no_feedback,0.0625,0.05444056651594705,B_nearby,0.08333333333333333,17,0.08333333333333333,24
repeated,lotte_science_search_100k,0.0,20,0.0325,1840.65,0.1,cluster_cold_no_feedback,0.075,0.03677856961194855,A_recurrent_return,0.1,17,0.1,20
repeated,lotte_science_search_100k,0.0,20,0.0,1712.4,0.0,cluster_cold_no_feedback,0.0,0.0,A_recurrent_warmup_1,0.0,17,0.0,20
repeated,lotte_science_search_100k,0.0,20,0.05,1782.85,0.05,cluster_cold_no_feedback,0.05,0.05,A_recurrent_warmup_2,0.05,17,0.05,20
repeated,lotte_science_search_100k,0.0,20,0.1,1784.55,0.1,cluster_cold_no_feedback,0.1,0.09449801582169487,B_recurrent_shift_1,0.1,17,0.1,20
repeated,lotte_science_search_100k,0.0,20,0.1,2030.1,0.15,cluster_cold_no_feedback,0.15,0.10487491300216875,B_recurrent_shift_2,0.15,17,0.15,20
unseen,lotte_science_search_100k,0.0,64,0.07767857142857143,2029.4375,0.171875,cluster_cold_no_feedback,0.15104166666666666,0.08805745848963036,unseen_tail,0.1875,17,0.203125,64
nearby,lotte_science_search_100k,0.0,24,0.010416666666666666,1898.8333333333333,0.041666666666666664,cluster_cold_no_feedback,0.041666666666666664,0.01626583541633757,A_nearby,0.041666666666666664,19,0.041666666666666664,24
nearby,lotte_science_search_100k,0.0,24,0.10555555555555556,1947.1666666666667,0.16666666666666666,cluster_cold_no_feedback,0.1111111111111111,0.1007038839027233,B_nearby,0.16666666666666666,19,0.16666666666666666,24
repeated,lotte_science_search_100k,0.0,20,0.05,1890.95,0.1,cluster_cold_no_feedback,0.1,0.062491481574914506,A_recurrent_return,0.1,19,0.1,20
repeated,lotte_science_search_100k,0.0,20,0.041666666666666664,1838.35,0.1,cluster_cold_no_feedback,0.075,0.046638217484934845,A_recurrent_warmup_1,0.1,19,0.1,20
repeated,lotte_science_search_100k,0.0,20,0.15,1855.55,0.25,cluster_cold_no_feedback,0.2125,0.1571291711134168,A_recurrent_warmup_2,0.25,19,0.25,20
repeated,lotte_science_search_100k,0.0,20,0.13333333333333333,1991.35,0.2,cluster_cold_no_feedback,0.2,0.1457874803132136,B_recurrent_shift_1,0.2,19,0.2,20
repeated,lotte_science_search_100k,0.0,20,0.10833333333333334,1877.95,0.2,cluster_cold_no_feedback,0.15,0.10381540139839483,B_recurrent_shift_2,0.2,19,0.2,20
unseen,lotte_science_search_100k,0.0,64,0.065625,1740.546875,0.109375,cluster_cold_no_feedback,0.087890625,0.0647770906508804,unseen_tail,0.140625,19,0.140625,64
nearby,lotte_science_search_100k,0.0,24,0.044444444444444446,2069.2083333333335,0.125,cluster_equal_noisy,0.10416666666666667,0.054937796124865226,A_nearby,0.125,13,0.125,24
nearby,lotte_science_search_100k,0.0,24,0.0,2206.625,0.0,cluster_equal_noisy,0.0,0.0,B_nearby,0.0,13,0.0,24
repeated,lotte_science_search_100k,0.0,20,0.01,2455.25,0.05,cluster_equal_noisy,0.016666666666666666,0.008479005131840403,A_recurrent_return,0.05,13,0.05,20
repeated,lotte_science_search_100k,0.0,20,0.0,1944.9,0.0,cluster_equal_noisy,0.0,0.0,A_recurrent_warmup_1,0.0,13,0.0,20
repeated,lotte_science_search_100k,0.0,20,0.0,1870.95,0.0,cluster_equal_noisy,0.0,0.0,A_recurrent_warmup_2,0.0,13,0.0,20
repeated,lotte_science_search_100k,0.0,20,0.085,1982.3,0.15,cluster_equal_noisy,0.08333333333333333,0.06034379452876907,B_recurrent_shift_1,0.15,13,0.15,20
repeated,lotte_science_search_100k,0.0,20,0.0975,2236.7,0.15,cluster_equal_noisy,0.085,0.07163557678489758,B_recurrent_shift_2,0.15,13,0.15,20
unseen,lotte_science_search_100k,0.0,64,0.078125,2042.046875,0.140625,cluster_equal_noisy,0.10611979166666667,0.07532911270014395,unseen_tail,0.140625,13,0.15625,64
