dataset,evidence_recall_at_10_delta,hit_at_10_delta,method,phase_transition,query_blocks,route_true_reward_delta,seed,selected_cluster_hit_delta
lotte_science_search_100k,0.0,0.0,dense,B_recurrent_shift_1_to_2,20,nan,13,nan
lotte_science_search_100k,0.0,0.0,dense,B_recurrent_shift_1_to_2,20,nan,17,nan
lotte_science_search_100k,0.0,0.0,dense,B_recurrent_shift_1_to_2,20,nan,19,nan
lotte_science_search_100k,0.0,0.0,static_nearest,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_science_search_100k,0.0,0.0,static_nearest,B_recurrent_shift_1_to_2,20,0.0,17,0.0
lotte_science_search_100k,0.0,0.0,static_nearest,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_science_search_100k,0.0,0.0,cold_no_feedback,B_recurrent_shift_1_to_2,20,0.05,13,0.05
lotte_science_search_100k,0.0,0.0,cold_no_feedback,B_recurrent_shift_1_to_2,20,0.05,17,0.05
lotte_science_search_100k,0.0,0.0,cold_no_feedback,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_science_search_100k,0.0,0.0,learned_feedback,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_science_search_100k,0.0,0.0,learned_feedback,B_recurrent_shift_1_to_2,20,0.05,17,0.05
lotte_science_search_100k,0.008333333333333331,0.0,learned_feedback,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_technology_search_100k,0.0,0.0,dense,B_recurrent_shift_1_to_2,20,nan,13,nan
lotte_technology_search_100k,0.0,0.0,dense,B_recurrent_shift_1_to_2,20,nan,17,nan
lotte_technology_search_100k,0.0,0.0,dense,B_recurrent_shift_1_to_2,20,nan,19,nan
lotte_technology_search_100k,0.0,0.0,static_nearest,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_technology_search_100k,0.0,0.0,static_nearest,B_recurrent_shift_1_to_2,20,0.0,17,0.0
lotte_technology_search_100k,0.0,0.0,static_nearest,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_technology_search_100k,-0.007142857142857143,0.0,cold_no_feedback,B_recurrent_shift_1_to_2,20,-0.1,13,-0.1
lotte_technology_search_100k,0.0,0.0,cold_no_feedback,B_recurrent_shift_1_to_2,20,0.1,17,0.1
lotte_technology_search_100k,0.005555555555555555,0.0,cold_no_feedback,B_recurrent_shift_1_to_2,20,0.2,19,0.2
lotte_technology_search_100k,0.0,0.0,learned_feedback,B_recurrent_shift_1_to_2,20,0.05,13,0.05
lotte_technology_search_100k,0.0125,0.0,learned_feedback,B_recurrent_shift_1_to_2,20,0.1,17,0.1
lotte_technology_search_100k,0.01825396825396825,0.0,learned_feedback,B_recurrent_shift_1_to_2,20,0.0,19,0.0
