bm25_queried,condition,confidence,dataset,dense_queried,event_index,evidence_recall_at_10,final_context_k,final_context_tokens,final_true_reward,hit_at_10,method,mrr_at_10,ndcg_at_10,observed_reward,occurrence,phase,query_id,query_index,region,route,route_reason,route_true_reward,seed,selected_cluster_hit,semantic_drift
0,repeated,nan,lotte_technology_search_100k,1,0,1.0,10,1360.0,nan,1.0,dense,1.0,1.0,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q487,487,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,1,0.6666666666666666,10,829.0,nan,1.0,dense,1.0,0.6508205185601091,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q272,272,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,2,1.0,10,1396.0,nan,1.0,dense,1.0,0.9896062251871524,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q348,348,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,3,1.0,10,2844.0,nan,1.0,dense,1.0,1.0,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q455,455,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,4,1.0,10,1669.0,nan,1.0,dense,1.0,1.0,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q441,441,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,5,1.0,10,4174.0,nan,1.0,dense,0.2,0.38685280723454163,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q379,379,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,6,0.9,10,3619.0,nan,1.0,dense,1.0,0.933745776545611,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q291,291,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,7,1.0,10,801.0,nan,1.0,dense,1.0,1.0,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q451,451,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,8,1.0,10,1656.0,nan,1.0,dense,1.0,0.9197207891481876,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q484,484,A,dense,dense_only,nan,13,nan,nan
0,repeated,nan,lotte_technology_search_100k,1,9,1.0,10,2497.0,nan,1.0,dense,1.0,0.9197207891481876,nan,1,A_recurrent_warmup_1,lotte_technology_search_100k_q468,468,A,dense,dense_only,nan,13,nan,nan
