blocks,ci_high,ci_low,comparison,condition,dataset,delta,metric,seed
48,0.0,0.0,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.0,hit_at_10,13
48,0.035763888888888894,-0.021180555555555553,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.004513888888888889,evidence_recall_at_10,13
48,0.0,0.0,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.0,mrr_at_10,13
48,0.01559893332981193,-0.010467704614731756,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.0016045564870996148,ndcg_at_10,13
0,nan,nan,learned_feedback_minus_dense,nearby,lotte_science_search_100k,nan,selected_cluster_hit,13
0,nan,nan,learned_feedback_minus_dense,nearby,lotte_science_search_100k,nan,route_true_reward,13
48,166.62604166666665,-66.296875,learned_feedback_minus_dense,nearby,lotte_science_search_100k,48.104166666666664,final_context_tokens,13
48,0.0,0.0,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,0.0,hit_at_10,13
48,0.012500000000000004,-0.015625,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,-0.0010416666666666654,evidence_recall_at_10,13
48,0.0,0.0,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,0.0,mrr_at_10,13
48,0.007940795444621028,-0.007227648873627826,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,0.000420553031376845,ndcg_at_10,13
48,0.0,-0.1875,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,-0.08333333333333333,selected_cluster_hit,13
48,0.0,-0.1875,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,-0.08333333333333333,route_true_reward,13
48,95.91770833333332,-84.6515625,learned_feedback_minus_static_nearest,nearby,lotte_science_search_100k,7.208333333333333,final_context_tokens,13
48,0.0,-0.0625,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,-0.020833333333333332,hit_at_10,13
48,-0.0020833333333333307,-0.09306423611111111,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,-0.04027777777777778,evidence_recall_at_10,13
48,0.0,-0.010416666666666666,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,-0.003472222222222222,mrr_at_10,13
48,-0.0012776645190373907,-0.03640379890015632,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,-0.016783623107714297,ndcg_at_10,13
48,0.75,0.4583333333333333,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,0.6041666666666666,selected_cluster_hit,13
48,0.75,0.4375,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,0.6041666666666666,route_true_reward,13
48,161.146875,-156.0046875,learned_feedback_minus_cold_no_feedback,nearby,lotte_science_search_100k,-2.8333333333333335,final_context_tokens,13
40,0.0,-0.075,learned_feedback_minus_dense,repeated,lotte_science_search_100k,-0.025,hit_at_10,13
40,0.035416666666666666,-0.06499999999999999,learned_feedback_minus_dense,repeated,lotte_science_search_100k,-0.004583333333333337,evidence_recall_at_10,13
40,9.920634920634885e-05,-0.01,learned_feedback_minus_dense,repeated,lotte_science_search_100k,-0.003387896825396826,mrr_at_10,13
40,0.017202721652312233,-0.02221322191091005,learned_feedback_minus_dense,repeated,lotte_science_search_100k,0.0010886398638768695,ndcg_at_10,13
0,nan,nan,learned_feedback_minus_dense,repeated,lotte_science_search_100k,nan,selected_cluster_hit,13
0,nan,nan,learned_feedback_minus_dense,repeated,lotte_science_search_100k,nan,route_true_reward,13
40,166.77302083333322,-141.69020833333335,learned_feedback_minus_dense,repeated,lotte_science_search_100k,11.262499999999998,final_context_tokens,13
40,0.0,-0.125,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.05,hit_at_10,13
40,-0.0037500000000000046,-0.10291666666666668,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.04208333333333333,evidence_recall_at_10,13
40,0.00031249999999999995,-0.019925595238095235,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.007971230158730159,mrr_at_10,13
40,-0.002150298913057741,-0.044352119082156284,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.019270746170332816,ndcg_at_10,13
40,-0.20833333333333334,-0.45,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.325,selected_cluster_hit,13
40,-0.20000000000000004,-0.43354166666666666,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-0.3166666666666667,route_true_reward,13
40,35.6371874999999,-216.58145833333333,learned_feedback_minus_static_nearest,repeated,lotte_science_search_100k,-86.2875,final_context_tokens,13
