cluster_recovered_queries,cluster_recovery_rate,dataset,final_affected_repeated_queries,final_hit_recovered_queries,final_hit_recovery_rate,method,route_affected_repeated_queries,seed
0,0.0,lotte_science_search_100k,2,0,0.0,static_nearest,1,13
0,0.0,lotte_science_search_100k,2,0,0.0,static_nearest,4,17
0,0.0,lotte_science_search_100k,3,0,0.0,static_nearest,6,19
8,0.2222222222222222,lotte_science_search_100k,2,0,0.0,cold_no_feedback,36,13
5,0.13157894736842105,lotte_science_search_100k,2,0,0.0,cold_no_feedback,38,17
10,0.29411764705882354,lotte_science_search_100k,2,0,0.0,cold_no_feedback,34,19
13,0.5909090909090909,lotte_science_search_100k,4,0,0.0,learned_feedback,22,13
4,0.26666666666666666,lotte_science_search_100k,2,0,0.0,learned_feedback,15,17
7,0.20588235294117646,lotte_science_search_100k,3,0,0.0,learned_feedback,34,19
0,0.0,lotte_technology_search_100k,1,0,0.0,static_nearest,3,13
0,0.0,lotte_technology_search_100k,1,0,0.0,static_nearest,2,17
0,0.0,lotte_technology_search_100k,1,0,0.0,static_nearest,3,19
7,0.21212121212121213,lotte_technology_search_100k,1,0,0.0,cold_no_feedback,33,13
6,0.16666666666666666,lotte_technology_search_100k,1,0,0.0,cold_no_feedback,36,17
7,0.2,lotte_technology_search_100k,1,0,0.0,cold_no_feedback,35,19
6,0.15,lotte_technology_search_100k,1,0,0.0,learned_feedback,40,13
2,0.05714285714285714,lotte_technology_search_100k,1,0,0.0,learned_feedback,35,17
7,0.25925925925925924,lotte_technology_search_100k,1,0,0.0,learned_feedback,27,19
