condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
nearby,lotte_science_search_100k,1.0,24,0.7256944444444444,1889.4583333333333,0.8333333333333334,cold_no_feedback,0.7083333333333334,0.6513164042796521,A_nearby,0.08333333333333333,13,0.08333333333333333,24
nearby,lotte_science_search_100k,1.0,24,0.8944444444444445,2094.5416666666665,1.0,cold_no_feedback,0.9017857142857143,0.8270877876872874,B_nearby,0.16666666666666666,13,0.16666666666666666,24
repeated,lotte_science_search_100k,1.0,20,0.7991666666666667,1896.85,0.95,cold_no_feedback,0.8654761904761905,0.780544903605405,A_recurrent_return,0.3,13,0.3,20
repeated,lotte_science_search_100k,1.0,20,0.7616666666666667,1847.95,0.95,cold_no_feedback,0.8645833333333334,0.7618194883266722,A_recurrent_warmup_1,0.15,13,0.15,20
repeated,lotte_science_search_100k,1.0,20,0.7866666666666666,1869.95,0.95,cold_no_feedback,0.8638888888888889,0.7749399323375908,A_recurrent_warmup_2,0.1,13,0.1,20
repeated,lotte_science_search_100k,1.0,20,0.8508333333333333,2353.35,0.95,cold_no_feedback,0.7716666666666666,0.7417339379464374,B_recurrent_shift_1,0.05,13,0.05,20
repeated,lotte_science_search_100k,1.0,20,0.8508333333333333,2384.6,0.95,cold_no_feedback,0.7716666666666666,0.7407991378145788,B_recurrent_shift_2,0.1,13,0.1,20
unseen,lotte_science_search_100k,1.0,64,0.8108630952380952,2163.421875,0.9375,cold_no_feedback,0.7924479166666667,0.7386548357020547,unseen_tail,0.078125,13,0.078125,64
nearby,lotte_science_search_100k,1.0,24,0.6652777777777777,1893.7916666666667,0.7916666666666666,cold_no_feedback,0.7013888888888888,0.6266543150458463,A_nearby,0.16666666666666666,17,0.16666666666666666,24
nearby,lotte_science_search_100k,1.0,24,0.8944444444444445,2252.8333333333335,1.0,cold_no_feedback,0.9017857142857143,0.8274658080143833,B_nearby,0.08333333333333333,17,0.08333333333333333,24
repeated,lotte_science_search_100k,1.0,20,0.7991666666666667,1984.7,0.95,cold_no_feedback,0.8654761904761905,0.7810220211202056,A_recurrent_return,0.1,17,0.1,20
repeated,lotte_science_search_100k,1.0,20,0.7866666666666666,1900.45,0.95,cold_no_feedback,0.8654761904761905,0.7748644614016873,A_recurrent_warmup_1,0.0,17,0.0,20
repeated,lotte_science_search_100k,1.0,20,0.7991666666666667,1881.5,0.95,cold_no_feedback,0.8645833333333334,0.7816009115155712,A_recurrent_warmup_2,0.05,17,0.05,20
repeated,lotte_science_search_100k,1.0,20,0.8508333333333333,2281.95,0.95,cold_no_feedback,0.7716666666666666,0.7420156924271343,B_recurrent_shift_1,0.1,17,0.1,20
repeated,lotte_science_search_100k,1.0,20,0.8508333333333333,2305.55,0.95,cold_no_feedback,0.7716666666666666,0.7418718302359825,B_recurrent_shift_2,0.15,17,0.15,20
unseen,lotte_science_search_100k,1.0,64,0.8044642857142857,2152.140625,0.921875,cold_no_feedback,0.790234375,0.736164603842368,unseen_tail,0.1875,17,0.203125,64
nearby,lotte_science_search_100k,1.0,24,0.7152777777777778,1888.4583333333333,0.8333333333333334,cold_no_feedback,0.7083333333333334,0.6467340745063409,A_nearby,0.041666666666666664,19,0.041666666666666664,24
nearby,lotte_science_search_100k,1.0,24,0.8944444444444445,2260.0416666666665,1.0,cold_no_feedback,0.9004629629629629,0.8271514711193392,B_nearby,0.16666666666666666,19,0.16666666666666666,24
repeated,lotte_science_search_100k,1.0,20,0.7866666666666666,1966.05,0.95,cold_no_feedback,0.8654761904761905,0.7755826695173366,A_recurrent_return,0.1,19,0.1,20
repeated,lotte_science_search_100k,1.0,20,0.7991666666666667,1870.55,0.95,cold_no_feedback,0.8666666666666667,0.782353981025157,A_recurrent_warmup_1,0.1,19,0.1,20
repeated,lotte_science_search_100k,1.0,20,0.7991666666666667,1955.1,0.95,cold_no_feedback,0.8654761904761905,0.7809431721040864,A_recurrent_warmup_2,0.25,19,0.25,20
repeated,lotte_science_search_100k,1.0,20,0.8425,2239.6,0.95,cold_no_feedback,0.7716666666666666,0.7365463336654869,B_recurrent_shift_1,0.2,19,0.2,20
repeated,lotte_science_search_100k,1.0,20,0.8425,2397.1,0.95,cold_no_feedback,0.775,0.7385767884517846,B_recurrent_shift_2,0.2,19,0.2,20
unseen,lotte_science_search_100k,1.0,64,0.8039186507936508,2041.96875,0.9375,cold_no_feedback,0.7928385416666667,0.7353142208341414,unseen_tail,0.140625,19,0.140625,64
nearby,lotte_science_search_100k,1.0,24,0.6486111111111111,1751.7916666666667,0.7916666666666666,dense,0.7013888888888888,0.6179935406551635,A_nearby,nan,13,nan,24
nearby,lotte_science_search_100k,1.0,24,0.8819444444444444,2130.3333333333335,1.0,dense,0.9017857142857143,0.823634292122148,B_nearby,nan,13,nan,24
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_return,nan,13,nan,20
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_warmup_1,nan,13,nan,20
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_warmup_2,nan,13,nan,20
repeated,lotte_science_search_100k,1.0,20,0.83,2276.15,0.95,dense,0.7708333333333334,0.7293461304569968,B_recurrent_shift_1,nan,13,nan,20
repeated,lotte_science_search_100k,1.0,20,0.83,2276.15,0.95,dense,0.7708333333333334,0.7293461304569968,B_recurrent_shift_2,nan,13,nan,20
unseen,lotte_science_search_100k,1.0,64,0.7901785714285714,1883.5625,0.90625,dense,0.7876302083333333,0.7314037149084264,unseen_tail,nan,13,nan,64
nearby,lotte_science_search_100k,1.0,24,0.6486111111111111,1751.7916666666667,0.7916666666666666,dense,0.7013888888888888,0.6179935406551635,A_nearby,nan,17,nan,24
nearby,lotte_science_search_100k,1.0,24,0.8819444444444444,2130.3333333333335,1.0,dense,0.9017857142857143,0.823634292122148,B_nearby,nan,17,nan,24
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_return,nan,17,nan,20
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_warmup_1,nan,17,nan,20
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_warmup_2,nan,17,nan,20
repeated,lotte_science_search_100k,1.0,20,0.83,2276.15,0.95,dense,0.7708333333333334,0.7293461304569968,B_recurrent_shift_1,nan,17,nan,20
repeated,lotte_science_search_100k,1.0,20,0.83,2276.15,0.95,dense,0.7708333333333334,0.7293461304569968,B_recurrent_shift_2,nan,17,nan,20
unseen,lotte_science_search_100k,1.0,64,0.7901785714285714,1883.5625,0.90625,dense,0.7876302083333333,0.7314037149084264,unseen_tail,nan,17,nan,64
nearby,lotte_science_search_100k,1.0,24,0.6486111111111111,1751.7916666666667,0.7916666666666666,dense,0.7013888888888888,0.6179935406551635,A_nearby,nan,19,nan,24
nearby,lotte_science_search_100k,1.0,24,0.8819444444444444,2130.3333333333335,1.0,dense,0.9017857142857143,0.823634292122148,B_nearby,nan,19,nan,24
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_return,nan,19,nan,20
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_warmup_1,nan,19,nan,20
repeated,lotte_science_search_100k,1.0,20,0.735,1886.65,0.9,dense,0.8571428571428571,0.7490996441577509,A_recurrent_warmup_2,nan,19,nan,20
repeated,lotte_science_search_100k,1.0,20,0.83,2276.15,0.95,dense,0.7708333333333334,0.7293461304569968,B_recurrent_shift_1,nan,19,nan,20
repeated,lotte_science_search_100k,1.0,20,0.83,2276.15,0.95,dense,0.7708333333333334,0.7293461304569968,B_recurrent_shift_2,nan,19,nan,20
unseen,lotte_science_search_100k,1.0,64,0.7901785714285714,1883.5625,0.90625,dense,0.7876302083333333,0.7314037149084264,unseen_tail,nan,19,nan,64
nearby,lotte_science_search_100k,1.0,24,0.6590277777777778,1737.0833333333333,0.7916666666666666,learned_feedback,0.7013888888888888,0.623304521186207,A_nearby,0.625,13,0.625,24
nearby,lotte_science_search_100k,1.0,24,0.8805555555555555,2241.25,1.0,learned_feedback,0.9017857142857143,0.8215324245653037,B_nearby,0.8333333333333334,13,0.8333333333333334,24
repeated,lotte_science_search_100k,1.0,20,0.735,1840.35,0.9,learned_feedback,0.85625,0.7498278734474515,A_recurrent_return,0.7,13,0.7,20
repeated,lotte_science_search_100k,1.0,20,0.77,1879.15,0.9,learned_feedback,0.8583333333333333,0.7675278092465827,A_recurrent_warmup_1,0.05,13,0.1,20
repeated,lotte_science_search_100k,1.0,20,0.76,1850.15,0.9,learned_feedback,0.8571428571428571,0.7619764646814333,A_recurrent_warmup_2,0.65,13,0.7,20
repeated,lotte_science_search_100k,1.0,20,0.8008333333333333,2336.85,0.9,learned_feedback,0.7645833333333333,0.7212503498048429,B_recurrent_shift_1,0.8,13,0.8,20
repeated,lotte_science_search_100k,1.0,20,0.8008333333333333,2320.7,0.9,learned_feedback,0.7633333333333333,0.7204409939631817,B_recurrent_shift_2,0.8,13,0.8,20
unseen,lotte_science_search_100k,1.0,64,0.8195684523809523,2127.0625,0.9375,learned_feedback,0.791796875,0.7420999949083918,unseen_tail,0.421875,13,0.421875,64
nearby,lotte_science_search_100k,1.0,24,0.6840277777777778,1805.0416666666667,0.7916666666666666,learned_feedback,0.7013888888888888,0.6365145138825707,A_nearby,0.5416666666666666,17,0.5416666666666666,24
nearby,lotte_science_search_100k,1.0,24,0.8805555555555555,2166.1666666666665,1.0,learned_feedback,0.9017857142857143,0.8204535294775382,B_nearby,0.6666666666666666,17,0.6666666666666666,24
repeated,lotte_science_search_100k,1.0,20,0.7866666666666666,1804.2,0.95,learned_feedback,0.8625,0.7756899465340183,A_recurrent_return,0.7,17,0.7,20
repeated,lotte_science_search_100k,1.0,20,0.7741666666666667,1808.45,0.95,learned_feedback,0.8625,0.7687371375584796,A_recurrent_warmup_1,0.6,17,0.6,20
repeated,lotte_science_search_100k,1.0,20,0.7866666666666666,1785.6,0.95,learned_feedback,0.8625,0.7756899465340183,A_recurrent_warmup_2,0.7,17,0.7,20
repeated,lotte_science_search_100k,1.0,20,0.8091666666666667,2241.35,0.95,learned_feedback,0.7708333333333334,0.722577034612241,B_recurrent_shift_1,0.65,17,0.65,20
repeated,lotte_science_search_100k,1.0,20,0.8091666666666667,2319.85,0.95,learned_feedback,0.7708333333333334,0.722577034612241,B_recurrent_shift_2,0.7,17,0.7,20
unseen,lotte_science_search_100k,1.0,64,0.8057415674603174,2014.921875,0.9375,learned_feedback,0.7921875,0.7332374693538165,unseen_tail,0.3125,17,0.328125,64
nearby,lotte_science_search_100k,1.0,24,0.7423611111111111,1877.0,0.875,learned_feedback,0.7129629629629629,0.6510017842427597,A_nearby,0.16666666666666666,19,0.16666666666666666,24
nearby,lotte_science_search_100k,1.0,24,0.8944444444444445,2299.7916666666665,1.0,learned_feedback,0.9017857142857143,0.8266405288140116,B_nearby,0.20833333333333334,19,0.20833333333333334,24
repeated,lotte_science_search_100k,1.0,20,0.7891666666666667,1863.25,0.95,learned_feedback,0.8645833333333334,0.7770113444104971,A_recurrent_return,0.25,19,0.3,20
repeated,lotte_science_search_100k,1.0,20,0.7891666666666667,1842.9,0.95,learned_feedback,0.8654761904761905,0.7761200568286377,A_recurrent_warmup_1,0.05,19,0.05,20
repeated,lotte_science_search_100k,1.0,20,0.7725,1841.2,0.9,learned_feedback,0.8583333333333333,0.7693275421556536,A_recurrent_warmup_2,0.25,19,0.25,20
repeated,lotte_science_search_100k,1.0,20,0.7925,2202.05,0.9,learned_feedback,0.7654761904761904,0.7180081342911111,B_recurrent_shift_1,0.25,19,0.25,20
repeated,lotte_science_search_100k,1.0,20,0.8008333333333333,2207.15,0.9,learned_feedback,0.7654761904761904,0.7223817199961815,B_recurrent_shift_2,0.25,19,0.25,20
unseen,lotte_science_search_100k,1.0,64,0.791703869047619,2139.125,0.9375,learned_feedback,0.7915984623015873,0.7290197711082139,unseen_tail,0.21875,19,0.25,64
nearby,lotte_science_search_100k,1.0,24,0.6611111111111111,1743.125,0.7916666666666666,static_nearest,0.7013888888888888,0.6229106739967291,A_nearby,0.75,13,0.75,24
nearby,lotte_science_search_100k,1.0,24,0.8805555555555555,2220.7916666666665,1.0,static_nearest,0.9017857142857143,0.821085165692028,B_nearby,0.875,13,0.875,24
repeated,lotte_science_search_100k,1.0,20,0.7891666666666667,1893.9,0.95,static_nearest,0.8654761904761905,0.7774306087367298,A_recurrent_return,0.95,13,0.95,20
repeated,lotte_science_search_100k,1.0,20,0.7891666666666667,1893.9,0.95,static_nearest,0.8654761904761905,0.7774306087367298,A_recurrent_warmup_1,0.95,13,0.95,20
repeated,lotte_science_search_100k,1.0,20,0.7891666666666667,1893.9,0.95,static_nearest,0.8654761904761905,0.7774306087367298,A_recurrent_warmup_2,0.95,13,0.95,20
repeated,lotte_science_search_100k,1.0,20,0.8508333333333333,2464.0,0.95,static_nearest,0.7716666666666666,0.7417339379464374,B_recurrent_shift_1,0.95,13,1.0,20
repeated,lotte_science_search_100k,1.0,20,0.8508333333333333,2464.0,0.95,static_nearest,0.7716666666666666,0.7417339379464374,B_recurrent_shift_2,0.95,13,1.0,20
unseen,lotte_science_search_100k,1.0,64,0.8104910714285715,2072.453125,0.9375,static_nearest,0.7928385416666667,0.7379778290531537,unseen_tail,0.828125,13,0.84375,64
nearby,lotte_science_search_100k,1.0,24,0.6861111111111111,1862.4583333333333,0.7916666666666666,static_nearest,0.7013888888888888,0.6368210920138379,A_nearby,0.6666666666666666,17,0.6666666666666666,24
nearby,lotte_science_search_100k,1.0,24,0.8805555555555555,2217.375,1.0,static_nearest,0.9017857142857143,0.821085165692028,B_nearby,0.9166666666666666,17,0.9166666666666666,24
repeated,lotte_science_search_100k,1.0,20,0.7991666666666667,1909.65,0.95,static_nearest,0.8654761904761905,0.7814215071366786,A_recurrent_return,0.9,17,0.9,20
repeated,lotte_science_search_100k,1.0,20,0.7991666666666667,1909.65,0.95,static_nearest,0.8654761904761905,0.7814215071366786,A_recurrent_warmup_1,0.9,17,0.9,20
repeated,lotte_science_search_100k,1.0,20,0.7991666666666667,1909.65,0.95,static_nearest,0.8654761904761905,0.7814215071366786,A_recurrent_warmup_2,0.9,17,0.9,20
repeated,lotte_science_search_100k,1.0,20,0.8258333333333333,2256.3,0.95,static_nearest,0.7716666666666666,0.7308135661055292,B_recurrent_shift_1,0.9,17,0.9,20
repeated,lotte_science_search_100k,1.0,20,0.8258333333333333,2256.3,0.95,static_nearest,0.7716666666666666,0.7308135661055292,B_recurrent_shift_2,0.9,17,0.9,20
unseen,lotte_science_search_100k,1.0,64,0.8117559523809523,2056.015625,0.921875,static_nearest,0.790234375,0.7390898760191811,unseen_tail,0.84375,17,0.875,64
