protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
same_query_retry,13,budgeted_before_feedback,,17,,0.0,,,0,0,1123.1176470588234,1.062374805252615,-6.237480525261496
same_query_retry,13,same_arm_boost,,17,,0.11764705882352941,,,2,0,1200.5882352941176,1.1356554640551968,-13.56554640551968
same_query_retry,13,same_arm_boost_conservative,,17,,0.11764705882352941,,,2,0,1230,1.1634765190296015,-16.34765190296015
same_query_retry,13,same_full_context,,17,,0.11764705882352941,,,2,0,1371.764705882353,1.2975740040062318,-29.75740040062318
same_query_retry_compression_only,13,budgeted_before_feedback,,13,,0.0,,,0,0,1502.923076923077,0.9454633438180499,5.453665618195014
same_query_retry_compression_only,13,same_arm_boost,,13,,0.3076923076923077,,,4,0,1617.7692307692307,1.0177111057343335,-1.7711105734333543
same_query_retry_compression_only,13,same_arm_boost_conservative,,13,,0.3076923076923077,,,4,0,1647.923076923077,1.0366803774497944,-3.6680377449794355
same_query_retry_compression_only,13,same_full_context,,13,,0.38461538461538464,,,5,0,1685.4615384615386,1.0602951850955724,-6.029518509557241
same_query_retry_all_queries,13,budgeted_before_feedback,924,,0,0.8398268398268398,-0.009740259740259716,0.0,,,1287.3419913419914,0.9511930455587551,4.880695444124495
same_query_retry_all_queries,13,same_arm_boost,924,,0,0.841991341991342,-0.007575757575757569,0.0021645021645021467,,,1288.767316017316,0.9522461914422501,4.775380855774991
same_query_retry_all_queries,13,same_arm_boost_conservative,924,,0,0.841991341991342,-0.007575757575757569,0.0021645021645021467,,,1289.3084415584415,0.9526460190365913,4.73539809634087
same_query_retry_all_queries,13,same_full_context,924,,0,0.841991341991342,-0.007575757575757569,0.0021645021645021467,,,1291.9166666666667,0.9545731880413166,4.542681195868337
calibration_to_test,13,budgeted_before_feedback,647,,5,0.8377125193199382,-0.007727975270479082,0.0,,,1303.5347758887171,0.9473927202182834,5.260727978171664
calibration_to_test,13,generalized_arm_boost,647,,5,0.8377125193199382,-0.007727975270479082,0.0,,,1302.5054095826893,0.9466445897020844,5.335541029791557
calibration_to_test,13,generalized_arm_boost_conservative,647,,5,0.8377125193199382,-0.007727975270479082,0.0,,,1311.4157650695518,0.9531205242754872,4.687947572451279
calibration_to_test,13,generalized_conservative_budget,647,,5,0.8377125193199382,-0.007727975270479082,0.0,,,1312.7326120556413,0.9540775921430569,4.592240785694313
calibration_to_test,13,generalized_full_context,647,,5,0.8377125193199382,-0.007727975270479082,0.0,,,1326.9335394126738,0.9643986479731391,3.5601352026860877
same_query_retry,17,budgeted_before_feedback,,16,,0.0,,,0,0,947.875,0.9388386777268788,6.1161322273121215
same_query_retry,17,same_arm_boost,,16,,0.0,,,0,0,969.625,0.9603813297016219,3.9618670298378067
same_query_retry,17,same_arm_boost_conservative,,16,,0.0,,,0,0,987,0.9775906896124799,2.2409310387520143
same_query_retry,17,same_full_context,,16,,0.0,,,0,0,1175.75,1.1645412900829515,-16.454129008295148
same_query_retry_compression_only,17,budgeted_before_feedback,,13,,0.0,,,0,0,1274,0.9652077626901334,3.479223730986658
same_query_retry_compression_only,17,same_arm_boost,,13,,0.23076923076923078,,,3,0,1301.8461538461538,0.9863045632029839,1.3695436797016125
same_query_retry_compression_only,17,same_arm_boost_conservative,,13,,0.23076923076923078,,,3,0,1308,0.9909668395594149,0.9033160440585108
same_query_retry_compression_only,17,same_full_context,,13,,0.38461538461538464,,,5,0,1421.2307692307693,1.076752724517746,-7.675272451774595
same_query_retry_all_queries,17,budgeted_before_feedback,924,,0,0.8463203463203464,-0.0032467532467531646,0.0,,,1281.8160173160172,0.9471100061653415,5.288999383465853
same_query_retry_all_queries,17,same_arm_boost,924,,0,0.8463203463203464,-0.0032467532467531646,0.0,,,1282.1926406926407,0.947388286171003,5.261171382899699
