method,seed,all_queries,canonical_evidence_recall@10,canonical_hit@10,canonical_mrr@10,canonical_ndcg@10,canonical_only_hits,canonical_only_text_hits,canonical_text_hit@10,delta_evidence_recall@10,delta_hit@10,delta_mrr@10,delta_ndcg@10,delta_text_hit@10,evaluated_queries,historical_evidence_recall@10,historical_hit@10,historical_mrr@10,historical_ndcg@10,historical_only_hits,historical_only_text_hits,historical_text_hit@10,hit_change_significant_0.05,hit_delta_ci_high,hit_delta_ci_low,mcnemar_p_two_sided,member_top10_equal,member_top10_equal_rate,member_top10_text_equal,member_top10_text_equal_rate,ordered_top10_equal,ordered_top10_equal_rate,ordered_top10_text_equal,ordered_top10_text_equal_rate
bm25,,1765,0.20369394387525364,0.4884125144843569,0.2701691221100254,0.1789358397618366,0,0,0.5011587485515643,0.0,0.0,0.0,0.0,0.0,1726,0.20369394387525364,0.4884125144843569,0.2701691221100254,0.1789358397618366,0,0,0.5011587485515643,False,0.0,0.0,1.0,1764,0.9994334277620397,1764,0.9994334277620397,1761,0.9977337110481587,1761,0.9977337110481587
dense,,1765,0.2600540073684368,0.6112398609501738,0.33330091596314054,0.22534826698980104,12,0,0.6286210892236385,0.0002447165732728518,0.0017381228273464222,0.0006260460924423228,-0.0005331600553966087,0.0,1726,0.25980929079516396,0.6095017381228274,0.3326748698706982,0.22588142704519765,9,0,0.6286210892236385,False,0.006952491309385863,-0.0034762456546929316,0.6636238098144531,1181,0.6691218130311615,1765,1.0,336,0.19036827195467423,1763,0.9988668555240793
hybrid_rrf,,1765,0.25863680010679146,0.6048667439165701,0.33218056245286826,0.2247820004919948,11,4,0.6292004634994206,1.8935691350585593e-05,0.0011587485515643925,0.0009985009840168257,-0.0007766695711713678,0.0,1726,0.2586178644154409,0.6037079953650057,0.33118206146885143,0.22555867006316616,9,4,0.6292004634994206,False,0.006373117033603708,-0.004055619930475087,0.8238029479980469,1211,0.6861189801699716,1635,0.9263456090651558,510,0.28895184135977336,1292,0.7320113314447592
intentroute_trust,13,1765,0.2669557616267959,0.6326767091541136,0.3464258125034488,0.23188090023901256,49,36,0.6546929316338355,0.0007741038205048567,0.0011587485515642815,0.0030566591256047104,-0.0001434181565519721,-0.0005793742757821553,1726,0.26618165780629105,0.6315179606025493,0.34336915337784407,0.23202431839556453,47,37,0.6552723059096176,False,0.01216685979142526,-0.009849362688296639,0.9187780353645374,504,0.2855524079320113,849,0.4810198300283286,133,0.07535410764872522,751,0.42549575070821527
intentroute_trust,17,1765,0.2661485190223855,0.6292004634994206,0.338311583806949,0.22941702976872766,48,35,0.6541135573580533,-0.0025450004690512062,0.0005793742757821407,-0.005587743015321112,-0.004267631160744578,-0.0028968713789107765,1726,0.2686935194914367,0.6286210892236385,0.3438993268222701,0.23368466092947224,47,40,0.657010428736964,False,0.011587485515643106,-0.010428736964078795,1.0,519,0.29405099150141645,864,0.48951841359773374,134,0.07592067988668555,766,0.4339943342776204
intentroute_trust,19,1765,0.26618537013619104,0.6292004634994206,0.340711388842907,0.22977450518083575,51,41,0.6546929316338355,-0.0021439685909558914,-0.0005793742757821407,0.0038213412054663998,-0.00043144090030000637,0.0,1726,0.2683293387271469,0.6297798377752027,0.3368900476374406,0.23020594608113576,52,41,0.6546929316338355,False,0.01100811123986095,-0.01216685979142526,1.0,467,0.26458923512747873,784,0.4441926345609065,117,0.06628895184135977,672,0.38073654390934847
intentroute_none,13,1765,0.2712005019401411,0.6303592120509849,0.3360361603119423,0.23001999819937222,22,0,0.6599073001158748,0.0018377779794860882,0.0028968713789107037,0.0005407493240633943,-5.0300812084846935e-05,0.0,1726,0.269362723960655,0.6274623406720742,0.3354954109878789,0.23007029901145706,17,0,0.6599073001158748,False,0.009849362688296639,-0.004055619930475087,0.5223973804968411,974,0.5518413597733711,1676,0.9495750708215297,318,0.1801699716713881,1564,0.8861189801699717
intentroute_none,17,1765,0.27051518156333715,0.63441483198146,0.3366332376905956,0.2296018099855372,20,0,0.660486674391657,0.0014990845498309424,0.005214368482039378,0.0008221596865862213,-0.00018701630918291356,0.0,1726,0.2690160970135062,0.6292004634994206,0.3358110780040094,0.2297888262947201,11,0,0.660486674391657,False,0.011587485515643106,-0.0011587485515643105,0.14961278438568115,980,0.5552407932011332,1689,0.9569405099150141,329,0.18640226628895185,1578,0.8940509915014164
intentroute_none,19,1765,0.2723687588152344,0.6349942062572422,0.3368764829222534,0.2304815899975355,18,0,0.6616454229432214,0.001896557876041205,0.0034762456546929554,0.0006734076403834277,-0.0001560429864935764,0.0,1726,0.2704722009391932,0.6315179606025493,0.33620307528187,0.2306376329840291,12,0,0.6616454229432214,False,0.009849362688296639,-0.0028968713789107765,0.36159460805356514,995,0.5637393767705382,1681,0.9524079320113314,317,0.17960339943342776,1563,0.8855524079320113
intentroute_crossfit,13,1765,0.25502356883568084,0.6089223638470452,0.3409330224944362,0.22518018405230078,59,45,0.63441483198146,0.00017257855936203548,0.0034762456546929554,0.0015355717412497971,-0.0014163704627288554,-0.0005793742757821553,1726,0.2548509902763188,0.6054461181923523,0.3393974507531864,0.22659655451502964,53,46,0.6349942062572422,False,0.015643105446118192,-0.008111239860950173,0.6367997716142331,262,0.14844192634560907,470,0.26628895184135976,81,0.04589235127478754,428,0.2424929178470255
intentroute_crossfit,17,1765,0.2547017593525156,0.6100811123986095,0.33473348783314005,0.2234577362991425,55,43,0.6373117033603708,0.00047431533015340754,0.0034762456546929554,-0.005330933068476651,-0.0028639759921682273,0.002317497103128621,1726,0.2542274440223622,0.6066048667439166,0.3400644209016167,0.22632171229131073,49,39,0.6349942062572422,False,0.015063731170336037,-0.008111239860950173,0.624143515844679,287,0.16260623229461757,473,0.2679886685552408,89,0.05042492917847025,437,0.24759206798866856
