protocol,seed,method,num_queries,affected_count,learned_arm_count,hit_rate,hit_delta_vs_dense,hit_delta_vs_before,recovered_count,regressed_count,avg_context_tokens,token_ratio_vs_dense,token_saving_percent_vs_dense
same_query_retry,13,budgeted_before_feedback,,55,,0.0,,,0,0,240.2,0.8456663679426448,15.433363205735517
same_query_retry,13,same_arm_boost,,55,,0.14545454545454545,,,8,0,241.05454545454546,0.8486749455895531,15.132505441044685
same_query_retry,13,same_arm_boost_conservative,,55,,0.16363636363636364,,,9,0,248.3090909090909,0.874215849443093,12.578415055690694
same_query_retry,13,same_full_context,,55,,0.32727272727272727,,,18,0,276.92727272727274,0.9749711944693381,2.502880553066189
same_query_retry_compression_only,13,budgeted_before_feedback,,44,,0.0,,,0,0,231.38636363636363,0.8870012197246906,11.29987802753094
same_query_retry_compression_only,13,same_arm_boost,,44,,0.36363636363636365,,,16,0,232.25,0.8903119010280537,10.968809897194632
same_query_retry_compression_only,13,same_arm_boost_conservative,,44,,0.4090909090909091,,,18,0,235.79545454545453,0.9039031190102804,9.609688098971958
same_query_retry_compression_only,13,same_full_context,,44,,0.7272727272727273,,,32,0,258.27272727272725,0.990067956089911,0.993204391008895
same_query_retry_all_queries,13,budgeted_before_feedback,1765,,0,0.5954674220963173,-0.002266288951841333,0.0,,,236.23342776203967,0.9099285285612964,9.007147143870364
same_query_retry_all_queries,13,same_arm_boost,1765,,0,0.6,0.002266288951841333,0.004532577903682666,,,236.2600566572238,0.9100310982595887,8.996890174041127
same_query_retry_all_queries,13,same_arm_boost_conservative,1765,,0,0.6005665722379604,0.0028328611898017497,0.005099150141643083,,,236.48611898016998,0.9109018495280704,8.909815047192959
same_query_retry_all_queries,13,same_full_context,1765,,0,0.6056657223796034,0.007932011331444722,0.010198300283286055,,,237.37790368271953,0.91433684325386,8.566315674614
calibration_to_test,13,budgeted_before_feedback,1235,,9,0.5959514170040486,-0.011336032388663875,0.0,,,236.76923076923077,0.9113093234601144,8.86906765398856
calibration_to_test,13,generalized_arm_boost,1235,,9,0.5927125506072874,-0.014574898785425061,-0.0032388663967611864,,,236.85587044534412,0.911642793921488,8.835720607851204
calibration_to_test,13,generalized_arm_boost_conservative,1235,,9,0.5927125506072874,-0.014574898785425061,-0.0032388663967611864,,,238.10202429149797,0.9164391587818043,8.356084121819574
