judge_scope,comparison,baseline,challenger,paired_queries,baseline_context_tokens_mean,challenger_context_tokens_mean,context_token_saving_percent,context_token_saving_ci_low_percent,context_token_saving_ci_high_percent,baseline_prompt_tokens_mean,challenger_prompt_tokens_mean,prompt_token_saving_percent,prompt_token_saving_ci_low_percent,prompt_token_saving_ci_high_percent,baseline_is_correct_rate,challenger_is_correct_rate,is_correct_delta_pp,is_correct_delta_ci_low_pp,is_correct_delta_ci_high_pp,is_correct_mcnemar_exact_p,is_correct_baseline_only,is_correct_challenger_only,baseline_is_faithful_rate,challenger_is_faithful_rate,is_faithful_delta_pp,is_faithful_delta_ci_low_pp,is_faithful_delta_ci_high_pp,is_faithful_mcnemar_exact_p,is_faithful_baseline_only,is_faithful_challenger_only,baseline_citations_supported_rate,challenger_citations_supported_rate,citations_supported_delta_pp,citations_supported_delta_ci_low_pp,citations_supported_delta_ci_high_pp,citations_supported_mcnemar_exact_p,citations_supported_baseline_only,citations_supported_challenger_only,correctness_score_delta,correctness_score_delta_ci_low,correctness_score_delta_ci_high,faithfulness_score_delta,faithfulness_score_delta_ci_low,faithfulness_score_delta_ci_high,relevance_score_delta,relevance_score_delta_ci_low,relevance_score_delta_ci_high,citation_support_score_delta,citation_support_score_delta_ci_low,citation_support_score_delta_ci_high
deepseek-v4-flash,IntentRoute+LLMLingua-2 vs Dense+LLMLingua-2,dense_llmlingua2_matched_sent_mmr,intentroute_llmlingua2_matched_sent_mmr_seed19,300,1259.22,1175.02,6.686679055288197,4.278251660860544,9.106048586432681,1640.3066666666666,1529.3233333333333,6.766011233671754,4.894624566069955,8.564816042045706,0.88,0.91,3.0,-1.0,7.000000000000001,0.19959086691960692,15,24,0.8966666666666666,0.9333333333333333,3.6666666666666665,-0.33333333333333337,7.666666666666666,0.10812902140605729,14,25,0.88,0.8833333333333333,0.33333333333333337,-4.666666666666667,5.333333333333334,1.0,28,29,0.09,-0.02666666666666667,0.20666666666666667,0.10333333333333333,-0.02,0.22666666666666666,0.01,-0.08333333333333333,0.10333333333333333,0.07333333333333333,-0.06333333333333334,0.21333333333333335
deepseek-v4-flash,Dense: LLMLingua-2 vs Sentence-MMR,dense_sent_mmr_r0.85_l0.70,dense_llmlingua2_matched_sent_mmr,300,1239.8,1259.22,-1.566381674463629,-1.762915095183845,-1.3808779368486264,2572.1133333333332,1640.3066666666666,36.227278735773695,35.47187061483679,36.95935738293468,0.89,0.88,-1.0,-4.666666666666667,2.666666666666667,0.7358788008568808,19,16,0.91,0.8966666666666666,-1.3333333333333335,-5.0,2.3333333333333335,0.6075913612730801,19,15,0.87,0.88,1.0,-3.3333333333333335,5.333333333333334,0.765991824244793,21,24,-0.05,-0.16666666666666666,0.06666666666666667,-0.06,-0.17,0.05333333333333334,-0.02,-0.11333333333333333,0.07,0.013333333333333334,-0.10333333333333333,0.13
deepseek-v4-flash,IntentRoute: LLMLingua-2 vs Sentence-MMR,intentweight_sent_mmr_r0.85_l0.70_seed19,intentroute_llmlingua2_matched_sent_mmr_seed19,300,1157.38,1175.02,-1.5241320914479142,-1.7201076736386212,-1.3334991035970363,2402.7466666666664,1529.3233333333333,36.35103714637692,35.63294935099096,37.050802645902365,0.9133333333333333,0.91,-0.33333333333333337,-3.3333333333333335,2.666666666666667,1.0,12,11,0.9266666666666666,0.9333333333333333,0.6666666666666667,-2.666666666666667,4.0,0.8450189828872681,12,14,0.88,0.8833333333333333,0.33333333333333337,-4.333333333333334,5.0,1.0,25,26,-0.023333333333333334,-0.12,0.07333333333333333,-0.013333333333333334,-0.11333333333333333,0.08,-0.01,-0.09666666666666666,0.07333333333333333,0.013333333333333334,-0.10666666666666667,0.13
deepseek-v4-flash,IntentRoute+Sentence-MMR vs Dense+Sentence-MMR,dense_sent_mmr_r0.85_l0.70,intentweight_sent_mmr_r0.85_l0.70_seed19,300,1239.8,1157.38,6.647846426843026,4.2617353849614705,9.02193091959561,2572.1133333333332,2402.7466666666664,6.5847279928048845,4.375819267950391,8.644295187068776,0.89,0.9133333333333333,2.3333333333333335,-1.6666666666666667,6.333333333333334,0.3240086000878364,15,22,0.91,0.9266666666666666,1.6666666666666667,-2.0,5.666666666666666,0.49955983320251107,15,20,0.87,0.88,1.0,-3.6666666666666665,5.666666666666666,0.7797679305530743,24,27,0.06333333333333334,-0.06,0.18666666666666668,0.056666666666666664,-0.05,0.16333333333333333,0.0,-0.09333333333333334,0.09333333333333334,0.07333333333333333,-0.05333333333333334,0.20333333333333334
glm-5.2,IntentRoute+LLMLingua-2 vs Dense+LLMLingua-2,dense_llmlingua2_matched_sent_mmr,intentroute_llmlingua2_matched_sent_mmr_seed19,300,1259.22,1175.02,6.686679055288197,4.258013747891586,9.022202618564894,1640.3066666666666,1529.3233333333333,6.766011233671754,4.898317280239749,8.599557880979653,0.87,0.8766666666666667,0.6666666666666667,-3.3333333333333335,4.666666666666667,0.8679394004284404,17,19,0.9166666666666666,0.92,0.33333333333333337,-3.0,3.6666666666666665,1.0,14,15,0.91,0.9,-1.0,-5.0,3.0,0.7358788008568808,19,16,0.006666666666666667,-0.1,0.11333333333333333,-0.02,-0.12,0.07666666666666666,-0.013333333333333334,-0.1,0.07,0.0033333333333333335,-0.11,0.11333333333333333
glm-5.2,Dense: LLMLingua-2 vs Sentence-MMR,dense_sent_mmr_r0.85_l0.70,dense_llmlingua2_matched_sent_mmr,300,1239.8,1259.22,-1.566381674463629,-1.7597616119137987,-1.3795792282005797,2572.1133333333332,1640.3066666666666,36.227278735773695,35.44733798975472,36.9671574657465,0.8633333333333333,0.87,0.6666666666666667,-3.0,4.333333333333334,0.860050065908581,15,17,0.93,0.9166666666666666,-1.3333333333333335,-5.333333333333334,2.3416666666665455,0.6271025701571489,21,17,0.9233333333333333,0.91,-1.3333333333333335,-5.666666666666666,3.0,0.6587380770236564,25,21,0.023333333333333334,-0.08333333333333333,0.12666666666666668,-0.006666666666666667,-0.11333333333333333,0.1,-0.06,-0.13666666666666666,0.013333333333333334,0.006666666666666667,-0.11333333333333333,0.13
glm-5.2,IntentRoute: LLMLingua-2 vs Sentence-MMR,intentweight_sent_mmr_r0.85_l0.70_seed19,intentroute_llmlingua2_matched_sent_mmr_seed19,300,1157.38,1175.02,-1.5241320914479142,-1.7209685107268158,-1.3375481596754442,2402.7466666666664,1529.3233333333333,36.35103714637692,35.62291157163506,37.042709631731206,0.8666666666666667,0.8766666666666667,1.0,-2.666666666666667,4.666666666666667,0.720100131817162,14,17,0.94,0.92,-2.0,-5.666666666666666,1.6666666666666667,0.37708558747544885,19,13,0.9166666666666666,0.9,-1.6666666666666667,-6.0,2.3333333333333335,0.5327092552361137,23,18,0.016666666666666666,-0.08666666666666667,0.12,-0.07333333333333333,-0.18333333333333332,0.03333333333333333,-0.07333333333333333,-0.16,0.01,-0.03666666666666667,-0.15666666666666668,0.08
glm-5.2,IntentRoute+Sentence-MMR vs Dense+Sentence-MMR,dense_sent_mmr_r0.85_l0.70,intentweight_sent_mmr_r0.85_l0.70_seed19,300,1239.8,1157.38,6.647846426843026,4.205443716643767,9.044195518723779,2572.1133333333332,2402.7466666666664,6.5847279928048845,4.458895881646015,8.727540964787003,0.8633333333333333,0.8666666666666667,0.33333333333333337,-3.6666666666666665,4.333333333333334,1.0,18,19,0.93,0.94,1.0,-2.666666666666667,4.666666666666667,0.7283324808813632,15,18,0.9233333333333333,0.9166666666666666,-0.6666666666666667,-5.0,3.6666666666666665,0.8776143287523155,22,20,0.013333333333333334,-0.09666666666666666,0.13,0.04666666666666667,-0.05333333333333334,0.15,0.0,-0.07666666666666666,0.08,0.04666666666666667,-0.06666666666666667,0.16333333333333333
minimax-m3,IntentRoute+LLMLingua-2 vs Dense+LLMLingua-2,dense_llmlingua2_matched_sent_mmr,intentroute_llmlingua2_matched_sent_mmr_seed19,300,1259.22,1175.02,6.686679055288197,4.310263585740462,9.076288918284233,1640.3066666666666,1529.3233333333333,6.766011233671754,4.849426353778522,8.607157317960183,0.8633333333333333,0.8633333333333333,0.0,-3.6666666666666665,4.0,1.0,17,17,0.9466666666666667,0.9333333333333333,-1.3333333333333335,-4.666666666666667,1.6666666666666667,0.5412561893463135,14,10,0.9333333333333333,0.9333333333333333,0.0,-3.3333333333333335,3.3333333333333335,1.0,14,14,-0.03666666666666667,-0.14008333333333328,0.06666666666666667,0.01,-0.07666666666666666,0.1,-0.02666666666666667,-0.11,0.056666666666666664,-0.016666666666666666,-0.11666666666666667,0.08333333333333333
minimax-m3,Dense: LLMLingua-2 vs Sentence-MMR,dense_sent_mmr_r0.85_l0.70,dense_llmlingua2_matched_sent_mmr,300,1239.8,1259.22,-1.566381674463629,-1.7615170495032122,-1.379651746162041,2572.1133333333332,1640.3066666666666,36.227278735773695,35.465867045935646,36.955178820244164,0.84,0.8633333333333333,2.3333333333333335,-1.0,6.0,0.26493089646101,11,18,0.9366666666666666,0.9466666666666667,1.0,-2.0,4.0,0.6636238098144531,9,12,0.9366666666666666,0.9333333333333333,-0.33333333333333337,-4.0,3.3333333333333335,1.0,15,14,0.07333333333333333,-0.016666666666666666,0.16,0.013333333333333334,-0.08,0.10333333333333333,-0.0033333333333333335,-0.07666666666666666,0.07,-0.0033333333333333335,-0.10666666666666667,0.1
