panel,domain,scale,corpus_chunks,pca_var64,nearest_cluster_hit_at_3,context_retention_at_10,setting,route_reward,selected_cluster_hit,final_fused_hit_at_10,arm_count,static_route_reward,gated_dense_rate,gated_hit_delta_pp
A_geometry_profile,technology/search,100k,101311,0.6437,0.8870,0.9033,,,,,,,,
A_geometry_profile,technology/search,200k,201010,0.6292,0.8697,0.8947,,,,,,,,
A_geometry_profile,technology/search,400k,400674,0.6110,0.9016,0.8826,,,,,,,,
A_geometry_profile,technology/search,638k,638509,0.5867,0.9016,0.8571,,,,,,,,
A_geometry_profile,science/search,20k/q200,20490,0.6377,0.9083,0.8939,,,,,,,,
A_geometry_profile,science/search,100k,101187,0.6459,0.8574,0.8628,,,,,,,,
B_geometry_random,,,,,,,Static-nearest geometry,0.8563,0.8870,0.8764,,,,
B_geometry_random,,,,,,,Uniform-random arms,0.1499,0.1577,0.8842,,,,
C_arm_fallback,,,,,,,,,,,8,0.9128,0.4083,-1.84
C_arm_fallback,,,,,,,,,,,16,0.8826,0.6089,-1.68
C_arm_fallback,,,,,,,,,,,32,0.8563,0.7377,-4.48
C_arm_fallback,,,,,,,,,,,64,0.8272,0.8986,-3.76
C_arm_fallback,,,,,,,,,,,128,0.8479,0.9502,-3.12
